Race,Gender,Education,Years,Warnings,Bonus
B,F,Bachelors,>6,low,yes
B,F,Bachelors,>6,low,no
B,M,Highschool,3-6,high,no
W,M,Highschool,>6,high,no
W,F,Masters,>6,medium,no
B,M,Bachelors,>6,low,no
B,F,Highschool,3-6,low,no
B,F,Bachelors,<3,high,no
W,F,Highschool,>6,high,no
B,F,Masters,>6,high,yes
B,F,Bachelors,<3,medium,yes
W,F,Bachelors,3-6,high,yes
W,M,Masters,<3,medium,yes
W,M,Highschool,3-6,high,no
B,F,Highschool,3-6,low,no
B,M,Bachelors,3-6,high,yes
B,F,Bachelors,>6,low,no
B,F,Bachelors,>6,high,no
W,F,Masters,>6,medium,yes
W,F,Bachelors,<3,low,no
B,F,Bachelors,>6,low,no
W,F,Highschool,<3,low,no
B,M,Highschool,<3,high,no
W,F,Bachelors,3-6,high,yes
W,M,Highschool,<3,medium,no
W,M,Bachelors,<3,low,no
B,F,Highschool,3-6,high,no
B,M,Bachelors,3-6,medium,yes
W,M,Bachelors,<3,low,no
B,F,Highschool,3-6,high,no
B,F,Bachelors,>6,high,yes
W,F,Masters,>6,medium,yes
B,F,Masters,>6,high,yes
B,F,Masters,>6,medium,no
W,M,Bachelors,<3,low,no
W,F,Masters,3-6,high,yes
B,M,Highschool,<3,high,yes
W,M,Highschool,>6,medium,yes
B,M,Highschool,3-6,low,no
W,F,Highschool,<3,medium,no
B,F,Masters,>6,high,yes
B,M,Bachelors,<3,medium,no
B,F,Bachelors,<3,high,yes
B,F,Bachelors,3-6,medium,yes
W,M,Bachelors,>6,high,yes
W,F,Bachelors,3-6,high,yes
B,M,Highschool,>6,low,no
B,M,Highschool,>6,medium,no
W,M,Bachelors,3-6,low,yes
W,M,Bachelors,>6,high,no
B,F,Bachelors,>6,high,yes
W,M,Bachelors,3-6,medium,no
W,M,Masters,3-6,low,yes
W,F,Masters,>6,low,yes
B,M,Bachelors,>6,high,no
W,M,Bachelors,3-6,low,no
B,M,Highschool,>6,high,no
B,F,Masters,3-6,high,yes
B,M,Highschool,3-6,medium,yes
W,F,Bachelors,<3,medium,yes
B,M,Highschool,<3,high,no
W,F,Bachelors,>6,medium,yes
B,M,Masters,>6,high,yes
B,F,Bachelors,>6,low,yes
B,M,Highschool,3-6,high,no
B,M,Highschool,>6,medium,no
B,M,Highschool,3-6,high,no
W,F,Masters,<3,high,yes
W,F,Highschool,>6,high,yes
B,M,Highschool,>6,medium,no
W,F,Masters,>6,low,yes
B,M,Highschool,<3,high,yes
W,M,Bachelors,<3,medium,yes
B,M,Highschool,3-6,high,yes
B,M,Highschool,>6,high,no
