Feature_A_(i),Feature_B_(2i),Feature_C_(-i),Constant_Feature,Random_Feature,Outcome
0,0,0,1,0.3581485321045217,A
1,2,-1,1,0.8839101610867179,A
3,6,-3,1,0.6316865682867979,A
5,10,-5,1,0.1179020570763114,A
7,14,-7,1,0.7025658670285041,A
10,20,-10,1,0.36802664311794664,A
11,22,-11,1,0.3360509643974219,A
12,24,-12,1,0.7115493583210833,A
13,26,-13,1,0.9001961335411152,A
14,28,-14,1,0.12983388824365016,A
18,36,-18,1,0.5350356937942453,A
21,42,-21,1,0.6573315481857762,A
22,44,-22,1,0.5982458560217326,A
23,46,-23,1,0.45243048498421456,A
24,48,-24,1,0.5715065219420598,A
26,52,-26,1,0.7883168386108598,A
27,54,-27,1,0.06236974384899474,A
28,56,-28,1,0.8851762289017996,A
31,62,-31,1,0.3837438429114993,A
32,64,-32,1,0.08907858337601626,A
33,66,-33,1,0.03685874487641183,A
35,70,-35,1,0.18909655388762214,A
36,72,-36,1,0.9814074756527397,A
38,76,-38,1,0.8533625788942175,A
39,78,-39,1,0.40683512717298975,A
41,82,-41,1,0.42509986469827554,A
42,84,-42,1,0.34792892870247305,A
44,88,-44,1,0.9054135171710901,A
45,90,-45,1,0.702852864781662,A
46,92,-46,1,0.782790506984652,A
49,98,-49,1,0.18577998682076147,A
51,102,-51,1,0.17336566860538916,A
53,106,-53,1,0.5809270792949821,A
54,108,-54,1,0.7626275755393541,A
55,110,-55,1,0.3305735447074689,A
58,116,-58,1,0.10748435250109534,A
59,118,-59,1,0.31815206615596414,A
60,120,-60,1,0.17615374435243925,A
62,124,-62,1,0.41427400112941626,A
63,126,-63,1,0.49938782495874,A
64,128,-64,1,0.5947312267231223,A
65,130,-65,1,0.8171358104150716,A
67,134,-67,1,0.7695838355598332,A
69,138,-69,1,0.06343830372503745,A
70,140,-70,1,0.9595882794162985,A
73,146,-73,1,0.6168416704429529,A
75,150,-75,1,0.24786944985703308,A
76,152,-76,1,0.07574345645986724,A
77,154,-77,1,0.9576917662311247,A
78,156,-78,1,0.3444122032974388,A
79,158,-79,1,0.00018798835706279604,A
81,162,-81,1,0.08338800327535068,A
82,164,-82,1,0.8371076701450203,A
86,172,-86,1,0.5928400284910654,A
87,174,-87,1,0.31353758449725977,A
89,178,-89,1,0.2044281416563637,A
90,180,-90,1,0.46052453367336,A
91,182,-91,1,0.27655555095419226,A
93,186,-93,1,0.2156697601069203,A
94,188,-94,1,0.14628113311681623,A
95,190,-95,1,0.6364167409499052,A
96,192,-96,1,0.2323360157373191,A
99,198,-99,1,0.7964356400542186,A
100,200,-100,1,0.2875327944914716,A
101,202,-101,1,0.49383332900746946,A
102,204,-102,1,0.19739142058166181,A
103,206,-103,1,0.7548063603256833,A
104,208,-104,1,0.3645628592530845,A
105,210,-105,1,0.3656840437206773,A
106,212,-106,1,0.84754785192232,A
107,214,-107,1,0.15569631768405867,A
109,218,-109,1,0.8776157882608909,A
111,222,-111,1,0.6848139489241195,A
114,228,-114,1,0.8967573771245423,A
115,230,-115,1,0.5144574291580433,A
118,236,-118,1,0.9119564155005877,A
120,240,-120,1,0.7449259240416669,A
122,244,-122,1,0.0025256535814799363,A
124,248,-124,1,0.4804421953497041,A
125,250,-125,1,0.039918173844016636,A
