name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.4,SVM,,0,0.985074627,1,0.976190476,0.988095238,0.968836771,0.737394958,0.737394958,0.885531136,0.964285714,1,0.982142857,0.964285714,0.964285714,0.964285714,0.964285714,1,1,1,1,1,1,1,0.95,1,0.975,0.95,0.95,0.95,0.95,0.05,0,0.025,0,1,1.05,1.05,0,0,1,1,1,1,1,0.888888889,1,0.944444444,0.888888889,0.888888889,0.888888889,0.888888889,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,SVM,,1,0.970149254,0.9,1,0.95,0.929120717,0.739002933,0.739002933,0.920250896,1,0.944444444,0.972222222,1.058823529,1.058823529,1.055555556,1.055555556,1,0.846153846,0.923076923,1.181818182,1.181818182,1.153846154,1.153846154,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.153846154,0.076923077,0,1,0.846153846,0.846153846,1,1,1,1,1,1,1,0,0.08,0.04,0,1,0.92,0.92
two-gaussians,sensitive-attr,0.4,SVM,,2,0.970149254,0.928571429,1,0.964285714,0.939827251,0.571428571,0.571428571,0.785714286,0.942857143,1,0.971428571,0.942857143,0.942857143,0.942857143,0.942857143,0.833333333,1,0.916666667,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.166666667,0,0.083333333,0,1,1.166666667,1.166666667,1,1,1,1,1,1,1,0.08,0,0.04,0,1,1.08,1.08
two-gaussians,sensitive-attr,0.4,SVM,,3,0.970149254,0.913043478,1,0.956521739,0.934529794,0.412121212,0.412121212,0.740641711,0.939393939,1,0.96969697,0.939393939,0.939393939,0.939393939,0.939393939,0.75,1,0.875,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.25,0,0.125,0,1,1.25,1.25,1,1,1,1,1,1,1,0.074074074,0,0.037037037,0,1,1.074074074,1.074074074
two-gaussians,sensitive-attr,0.4,SVM,,4,0.985074627,0.96,1,0.98,0.968335902,1.017676768,1.017676768,1.006272401,0.972222222,1,0.986111111,0.972222222,0.972222222,0.972222222,0.972222222,0.928571429,1,0.964285714,0.928571429,0.928571429,0.928571429,0.928571429,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.071428571,0,0.035714286,0,1,1.071428571,1.071428571,1,1,1,1,1,1,1,0.043478261,0,0.02173913,0,1,1.043478261,1.043478261
two-gaussians,sensitive-attr,0.4,SVM,,5,0.985074627,0.961538462,1,0.980769231,0.968836771,0.826754386,0.826754386,0.92831216,1,0.965517241,0.982758621,1.035714286,1.035714286,1.034482759,1.034482759,1,0.923076923,0.961538462,1.083333333,1.083333333,1.076923077,1.076923077,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.076923077,0.038461538,0,1,0.923076923,0.923076923,1,1,1,1,1,1,1,0,0.058823529,0.029411765,0,1,0.941176471,0.941176471
two-gaussians,sensitive-attr,0.4,SVM,,6,0.970149254,0.931034483,1,0.965517241,0.940469435,0.875,0.875,0.946428571,0.96875,0.971428571,0.970089286,0.997242647,0.997242647,0.997321429,0.997321429,0.923076923,0.9375,0.930288462,0.984615385,0.984615385,0.985576923,0.985576923,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.076923077,0.0625,0.069711538,1.230769231,1.230769231,1.014423077,1.014423077,1,1,1,1,1,1,1,0.05,0.05,0.05,1,1,1,1
two-gaussians,sensitive-attr,0.4,SVM,,7,1,1,1,1,1,0.587044534,0.587044534,0.814882033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,SVM,,8,1,1,1,1,1,0.625,0.625,0.775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,SVM,,9,0.955223881,0.896551724,1,0.948275862,0.911564797,0.693711968,0.693711968,0.862976407,0.965517241,0.947368421,0.956442831,1.019157088,1.019157088,1.01814882,1.01814882,0.9,0.894736842,0.897368421,1.005882353,1.005882353,1.005263158,1.005263158,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.1,0.105263158,0.102631579,0.95,0.95,0.994736842,0.994736842,1,1,1,1,1,1,1,0.05,0.095238095,0.072619048,0.525,0.525,0.954761905,0.954761905
two-gaussians,sensitive-attr,0.4,GaussianNB,,0,1,1,1,1,1,0.655462185,0.655462185,0.84981685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,GaussianNB,,1,0.985074627,0.95,1,0.975,0.964473086,0.677419355,0.677419355,0.892473118,1,0.972222222,0.986111111,1.028571429,1.028571429,1.027777778,1.027777778,1,0.923076923,0.961538462,1.083333333,1.083333333,1.076923077,1.076923077,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.076923077,0.038461538,0,1,0.923076923,0.923076923,1,1,1,1,1,1,1,0,0.041666667,0.020833333,0,1,0.958333333,0.958333333
two-gaussians,sensitive-attr,0.4,GaussianNB,,2,0.970149254,0.928571429,1,0.964285714,0.939827251,0.571428571,0.571428571,0.785714286,0.942857143,1,0.971428571,0.942857143,0.942857143,0.942857143,0.942857143,0.833333333,1,0.916666667,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.166666667,0,0.083333333,0,1,1.166666667,1.166666667,1,1,1,1,1,1,1,0.08,0,0.04,0,1,1.08,1.08
two-gaussians,sensitive-attr,0.4,GaussianNB,,3,0.970149254,0.913043478,1,0.956521739,0.934529794,0.412121212,0.412121212,0.740641711,0.939393939,1,0.96969697,0.939393939,0.939393939,0.939393939,0.939393939,0.75,1,0.875,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.25,0,0.125,0,1,1.25,1.25,1,1,1,1,1,1,1,0.074074074,0,0.037037037,0,1,1.074074074,1.074074074
two-gaussians,sensitive-attr,0.4,GaussianNB,,4,0.985074627,0.96,1,0.98,0.968335902,1.017676768,1.017676768,1.006272401,0.972222222,1,0.986111111,0.972222222,0.972222222,0.972222222,0.972222222,0.928571429,1,0.964285714,0.928571429,0.928571429,0.928571429,0.928571429,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.071428571,0,0.035714286,0,1,1.071428571,1.071428571,1,1,1,1,1,1,1,0.043478261,0,0.02173913,0,1,1.043478261,1.043478261
two-gaussians,sensitive-attr,0.4,GaussianNB,,5,0.985074627,0.961538462,1,0.980769231,0.968836771,0.826754386,0.826754386,0.92831216,1,0.965517241,0.982758621,1.035714286,1.035714286,1.034482759,1.034482759,1,0.923076923,0.961538462,1.083333333,1.083333333,1.076923077,1.076923077,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.076923077,0.038461538,0,1,0.923076923,0.923076923,1,1,1,1,1,1,1,0,0.058823529,0.029411765,0,1,0.941176471,0.941176471
two-gaussians,sensitive-attr,0.4,GaussianNB,,6,0.970149254,0.931034483,1,0.965517241,0.940469435,0.875,0.875,0.946428571,0.96875,0.971428571,0.970089286,0.997242647,0.997242647,0.997321429,0.997321429,0.923076923,0.9375,0.930288462,0.984615385,0.984615385,0.985576923,0.985576923,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.076923077,0.0625,0.069711538,1.230769231,1.230769231,1.014423077,1.014423077,1,1,1,1,1,1,1,0.05,0.05,0.05,1,1,1,1
two-gaussians,sensitive-attr,0.4,GaussianNB,,7,1,1,1,1,1,0.587044534,0.587044534,0.814882033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,GaussianNB,,8,0.985074627,0.96969697,1,0.984848485,0.970562384,0.65625,0.65625,0.803571429,1,0.971428571,0.985714286,1.029411765,1.029411765,1.028571429,1.028571429,1,0.952380952,0.976190476,1.05,1.05,1.047619048,1.047619048,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.047619048,0.023809524,0,1,0.952380952,0.952380952,1,1,1,1,1,1,1,0,0.066666667,0.033333333,0,1,0.933333333,0.933333333
two-gaussians,sensitive-attr,0.4,GaussianNB,,9,0.955223881,0.896551724,1,0.948275862,0.911564797,0.693711968,0.693711968,0.862976407,0.965517241,0.947368421,0.956442831,1.019157088,1.019157088,1.01814882,1.01814882,0.9,0.894736842,0.897368421,1.005882353,1.005882353,1.005263158,1.005263158,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.1,0.105263158,0.102631579,0.95,0.95,0.994736842,0.994736842,1,1,1,1,1,1,1,0.05,0.095238095,0.072619048,0.525,0.525,0.954761905,0.954761905
two-gaussians,sensitive-attr,0.4,LR,,0,0.985074627,1,0.976190476,0.988095238,0.968836771,0.737394958,0.737394958,0.885531136,0.964285714,1,0.982142857,0.964285714,0.964285714,0.964285714,0.964285714,1,1,1,1,1,1,1,0.95,1,0.975,0.95,0.95,0.95,0.95,0.05,0,0.025,0,1,1.05,1.05,0,0,1,1,1,1,1,0.888888889,1,0.944444444,0.888888889,0.888888889,0.888888889,0.888888889,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.4,LR,,1,0.985074627,0.95,1,0.975,0.964473086,0.677419355,0.677419355,0.892473118,1,0.972222222,0.986111111,1.028571429,1.028571429,1.027777778,1.027777778,1,0.923076923,0.961538462,1.083333333,1.083333333,1.076923077,1.076923077,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.076923077,0.038461538,0,1,0.923076923,0.923076923,1,1,1,1,1,1,1,0,0.041666667,0.020833333,0,1,0.958333333,0.958333333
two-gaussians,sensitive-attr,0.4,LR,,2,0.970149254,0.928571429,1,0.964285714,0.939827251,0.571428571,0.571428571,0.785714286,0.942857143,1,0.971428571,0.942857143,0.942857143,0.942857143,0.942857143,0.833333333,1,0.916666667,0.833333333,0.833333333,0.833333333,0.833333333,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.166666667,0,0.083333333,0,1,1.166666667,1.166666667,1,1,1,1,1,1,1,0.08,0,0.04,0,1,1.08,1.08
two-gaussians,sensitive-attr,0.4,LR,,3,0.970149254,0.913043478,1,0.956521739,0.934529794,0.412121212,0.412121212,0.740641711,0.939393939,1,0.96969697,0.939393939,0.939393939,0.939393939,0.939393939,0.75,1,0.875,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.25,0,0.125,0,1,1.25,1.25,1,1,1,1,1,1,1,0.074074074,0,0.037037037,0,1,1.074074074,1.074074074
two-gaussians,sensitive-attr,0.4,LR,,4,1,1,1,1,1,1.095959596,1.095959596,1.034050179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
