algorithm,accuracy,stdev,TPR,stdev,TNR,stdev,BCRoutcome,stdev,MCC,stdev,DIbinary,stdev,DIavgall,stdev,CV,stdev,BCRRace,stdev
SVM,0.7743589743592,0.06708176707804774,0.6981125384762,0.20276962829742007,0.87823885918,0.13819084357658523,0.7881756988282,0.0564651572167551,0.6023689574591,0.10321264958773277,0.6548438435203141,0.2726055860496583,0.6607688475757386,0.3000869332063503,0.8478067025853404,0.10780269287156544,0.8110267656321,0.07494647807730552
GaussianNB,0.9435897435898,0.03972290611490815,0.9714985994398,0.038900474431049416,0.9201963330786,0.0640050334506613,0.9458474662591,0.038504399725285056,0.889313113109,0.0778066172071402,0.4313514254922924,0.11119467527147227,0.4358158257130296,0.11769802395743392,0.6002372620499555,0.11333924543165852,0.9495141388825,0.04643872119277303
LR,0.8000000000002,0.05643615049300061,0.8080229539983,0.0878841447961858,0.8044301841949,0.1140732027945828,0.8062265690966,0.05295330940656254,0.6132982838613,0.11045449532314303,0.5047275183536793,0.14231093934163563,0.5114324825908834,0.15461445483453326,0.6789428897555833,0.11905915078634549,0.8088472229526,0.06657427367229721
DecisionTree,0.9897435897436,0.013240968704969389,0.9899749373434,0.021167684977886375,0.9914545454545,0.018061216178530765,0.9907147413989,0.012082047528890258,0.9795797043086,0.026378566169315186,0.4915104695724444,0.13308102943086852,0.491995059134765,0.13868458216315152,0.6706438087196601,0.10930608528056589,0.9938098275993,0.008054698352546363
Feldman-SVM,0.6666666666669,0.10878565864423734,0.69095493859427,0.32747129009680154,0.6908550207961,0.2406864336037507,0.6909049796951,0.08382099523766366,0.4243544679135,0.14254678647557092,0.9921936701806229,0.39671388401115476,1.0548602874296193,0.27753802656819704,1.0356210803300585,0.07443788054344233,0.6708415113154,0.08154693599101158
Feldman-GaussianNB,0.8076923076925,0.04720239750930007,0.8071417402687,0.10627060009706886,0.8151970970207,0.10761794775723112,0.8111694186447,0.05136803110336077,0.6249078194824,0.09648403875782105,1.0630885839184159,0.12050369563220384,1.06072126286412,0.12542329568995855,1.0260472594141326,0.05464985928527682,0.8063940279994,0.06543621275806347
Feldman-LR,0.6820512820515,0.11025309741274168,0.762591192777,0.08825827991876269,0.6191590696886,0.16621029668267842,0.6908751312328,0.09686934848808992,0.3847954191208,0.19350419128899451,0.9852041471600296,0.16366888137053578,0.9781206078973936,0.1726862099049033,0.9912862414503281,0.09995287893373797,0.6489347718558,0.11813875373232154
Feldman-DecisionTree,0.7820512820515,0.05952302682551367,0.8043774766685,0.14020564713455508,0.7678002716239,0.1389017916586777,0.7860888741462,0.05812589655576566,0.5834507826199,0.10820221890718983,0.9360795403181515,0.1707978873792195,0.9492510561354546,0.17231049874905846,0.9513520030021578,0.10561784321424664,0.7799234293971999,0.062191499713458
Feldman-SVM-DIavgall,0.6743589743592,0.08465422573978021,0.7331988058382,0.2794929239900219,0.6618506917918,0.24552503688617447,0.697524748815,0.06450433698278993,0.43733780666809996,0.10365584711549412,1.0408718337537444,0.1219574910127736,1.061933586637534,0.15838692136024696,1.0144210548653272,0.04878197353745138,0.6774408379145,0.08329750162763219
Feldman-SVM-accuracy,0.7461538461541,0.08836962068752076,0.7559948780151,0.2257912881820214,0.7789409218232,0.1743680289441617,0.767467899919,0.0648715233463312,0.5557824310464,0.11408731674592007,1.0314211684673869,0.5408766319274315,1.0515635538403396,0.5587592679206775,0.9331598917078793,0.14397565437984014,0.752541673726,0.07652497106980527
Feldman-GaussianNB-DIavgall,0.8128205128207,0.0419587613969959,0.8116871948141,0.10340838606330009,0.8207425515662,0.11658490663632234,0.8162148731901,0.0444131177311245,0.636949474419,0.08324471271457065,1.0180398826197146,0.10273347226152846,1.0165124334990407,0.10786932390883147,1.0060618792971734,0.05682727515380423,0.8129729753677001,0.06111054639083395
Feldman-GaussianNB-accuracy,0.8384615384617,0.024325212770501654,0.8385236710314,0.07832307393495615,0.8453774722011,0.08243103734671506,0.8419505716162,0.024899411213806465,0.6841387797607,0.0482365706083962,0.9167330970849878,0.12064981138109437,0.9179942965434037,0.12735730375685403,0.9545788334472545,0.06833763388925825,0.8384019645074,0.037088607259972685
