algorithm,accuracy,stdev,MCC,stdev,DisparateImpact,stdev
SVM,0.8256410256412,0.06708176707804771,0.6855658683674,0.10255045356863292,0.5814272451404804,0.17244914018551982
GaussianNB,0.9384615384616,0.04554841912636209,0.8792026141604,0.09015796109247977,0.38686765924436994,0.1265163746899461
LR,0.8128205128207,0.06625999125912795,0.6294567617657,0.13064800932861514,0.5318525057244098,0.12315256623331039
DecisionTree,0.9897435897436,0.013240968704969389,0.9796030410924,0.026337265347784217,0.43727458235778666,0.1323766961275051
Kamishima,0.7307692307695001,0.06309753444537881,0.47408052188,0.11774692931759967,0.13396500420140933,0.13071457323402275
Kamishima-accuracy,0.7307692307695001,0.06309753444537881,0.47408052188,0.11774692931759967,0.13396500420140933,0.13071457323402275
Kamishima-DisparateImpact,0.7307692307695001,0.06309753444537881,0.47408052188,0.11774692931759967,0.13396500420140933,0.13071457323402275
Feldman-SVM,0.6128205128208,0.07396990264432014,0.262888965709228,0.13262394635956185,1.5326769742984914,0.7817006217203216
Feldman-GaussianNB,0.8102564102566,0.03860372577991428,0.6272179280266,0.07732095066160008,0.9881099380209287,0.09370620188552466
Feldman-LR,0.6512820512823,0.12279169228083237,0.303140105460171,0.24395628597952412,1.0277498866372705,0.3331062216336831
Feldman-DecisionTree,0.7461538461541,0.07297563831150501,0.5111952031135,0.13579873737694473,1.107466228516925,0.2287972848276932
Feldman-SVM-DisparateImpact,0.6641025641029,0.0832620777979171,0.3649987012387,0.14372658521857565,0.9917065079620364,0.09631201094019759
Feldman-SVM-accuracy,0.7410256410259,0.06885515918325706,0.5067597491707,0.12252710929825116,1.0859801954867745,0.4301957635673005
Feldman-GaussianNB-DisparateImpact,0.820512820513,0.04983719568238862,0.6500990501253,0.09493614121230401,0.940818184796513,0.06803519864781908
Feldman-GaussianNB-accuracy,0.846153846154,0.048349181619544636,0.6983841548901,0.09003955663150978,0.8259479001927725,0.10307281204728592
