age,education-num,capital-gain,capital-loss,hours-per-week,sex,income-per-year
39,13,2105,0,40,1,0
50,13,0,0,13,1,0
38,9,0,0,40,1,0
53,7,0,0,40,1,0
31,13,0,0,40,0,0
39,14,0,0,40,0,0
50,5,0,0,23,0,0
52,9,0,0,45,1,1
34,14,15024,0,59,0,1
42,13,5178,0,40,1,1
37,10,0,0,80,1,1
30,13,0,0,40,1,1
25,13,0,0,39,0,0
32,12,0,0,50,1,0
34,4,0,0,45,1,0
25,9,0,0,35,1,0
32,9,0,0,40,1,0
38,7,0,0,50,1,0
45,14,0,0,50,0,1
40,16,0,0,60,1,1
55,9,0,0,25,0,0
35,5,0,0,40,1,0
43,7,0,2042,40,1,0
59,9,0,0,40,0,0
56,13,0,0,40,1,1
19,9,0,0,40,1,0
39,9,0,0,80,1,0
49,9,0,0,40,1,0
23,12,0,0,52,1,0
20,10,0,0,44,1,0
45,13,0,1408,40,1,0
30,10,0,0,40,1,0
22,10,0,0,15,1,0
48,7,0,0,40,1,0
21,10,0,0,40,1,0
20,9,0,0,37,0,0
48,12,0,0,40,1,0
31,5,0,0,43,1,0
53,13,0,0,40,1,0
24,13,0,0,50,1,0
50,9,0,0,40,0,0
25,9,0,0,35,1,0
57,13,0,0,40,1,1
53,9,0,0,38,1,0
46,14,0,0,40,0,0
41,11,0,0,40,1,0
29,11,0,0,43,1,0
28,10,0,0,40,0,0
48,15,0,1977,65,0,1
50,13,0,0,54,1,1
47,9,0,0,60,1,0
43,10,0,0,40,1,1
46,3,0,0,40,1,0
35,11,0,0,40,1,0
41,9,0,0,48,1,0
30,9,5013,0,40,1,0
30,13,2407,0,40,1,0
48,9,0,0,40,1,0
42,16,0,0,45,1,1
29,10,0,0,58,1,0
36,9,0,0,40,1,0
31,10,0,0,40,0,0
54,9,0,0,40,0,1
49,10,0,0,50,1,1
19,10,0,0,32,1,0
34,13,0,0,40,0,0
29,13,0,0,70,1,1
23,10,0,0,40,1,0
79,10,0,0,20,1,0
27,9,0,0,40,1,0
40,12,0,0,40,1,0
18,7,0,0,34,0,0
31,4,0,0,40,1,0
18,9,0,0,30,1,0
52,13,0,0,40,1,0
47,9,0,0,40,0,0
59,9,0,0,48,1,0
46,9,20051,0,40,0,1
54,9,0,0,40,0,0
49,9,0,0,40,1,1
33,14,0,0,50,1,0
30,6,0,0,40,1,0
45,16,0,0,59,0,1
57,11,0,0,40,1,0
39,10,0,0,40,0,0
31,10,0,0,37,0,0
34,13,0,0,40,1,1
29,10,0,0,50,1,0
48,16,0,1902,60,1,1
37,10,0,0,48,1,1
50,12,0,0,40,0,0
32,9,0,0,40,1,0
76,14,0,0,40,1,1
44,13,15024,0,60,1,1
48,14,0,0,59,0,0
21,10,0,0,40,0,0
29,9,0,0,40,1,0
32,9,7688,0,40,1,1
30,7,0,0,40,1,0
34,9,0,0,40,0,0
42,9,0,0,40,1,0
24,13,0,0,40,1,0
38,15,0,0,40,1,1
56,9,0,1876,50,1,1
31,10,7298,0,37,0,0
38,9,0,0,40,0,0
53,6,0,0,50,1,0
56,10,0,0,50,1,0
49,11,0,0,40,1,1
55,10,0,0,56,1,0
22,9,0,0,41,1,0
23,10,0,0,40,0,0
40,13,0,0,60,1,0
30,13,0,0,40,1,0
29,13,0,0,50,1,1
19,10,0,0,35,1,0
48,13,0,0,40,0,1
21,10,0,1887,39,0,0
31,12,0,0,40,1,1
39,10,0,0,40,1,0
31,12,0,0,65,0,0
27,9,0,1974,40,0,0
38,9,4386,0,35,1,0
37,13,0,0,50,1,0
47,12,0,0,40,0,0
38,14,0,0,40,1,1
43,9,0,0,60,1,0
30,11,0,0,40,0,0
20,10,0,0,20,1,0
49,10,0,0,40,1,1
61,9,0,0,40,1,0
30,10,0,0,40,0,0
19,10,0,0,30,1,0
46,11,0,1844,40,0,1
70,10,0,0,40,1,0
34,9,0,0,39,0,0
22,10,0,0,24,1,0
38,9,0,0,34,0,0
64,7,0,2179,40,1,0
48,10,0,0,40,0,0
37,9,0,0,40,0,0
36,13,0,0,40,0,0
21,9,0,0,35,1,0
48,9,0,0,46,1,0
23,13,0,0,40,1,0
71,10,0,1816,2,1,0
29,9,0,0,60,1,0
42,13,0,0,50,1,0
28,9,0,0,40,0,0
46,14,0,0,40,0,0
31,9,0,0,40,0,0
45,14,0,0,40,1,1
38,10,0,0,40,0,0
39,12,0,0,42,1,0
46,14,0,0,40,1,0
18,7,0,0,16,1,0
66,11,0,0,25,0,0
27,9,0,1980,40,1,0
28,9,0,0,40,1,0
51,10,0,1977,40,1,1
27,13,0,0,50,1,0
28,13,0,0,40,1,1
30,9,0,0,37,0,0
21,9,0,0,40,1,0
34,9,0,0,40,1,0
