age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
39,State-gov,77572,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,2174,0,38,United-States,<=50K
49,Self-emp-not-inc,83253,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,12,United-States,<=50K
38,Private,208451,HS-grad,8,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,38,United-States,<=50K
52,Private,226508,11th,7,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,38,United-States,<=50K
28,Private,336984,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Male,0,0,38,Cuba,<=50K
37,Local-gov,279872,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,38,United-States,<=50K
48,Private,158040,11th,5,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,0,0,15,Jamaica,<=50K
52,Self-emp-not-inc,209642,HS-grad,8,Never-married,Prof-specialty,Husband,White,Female,0,0,45,United-States,<=50K
29,Private,45781,HS-grad,14,Never-married,Prof-specialty,Not-in-family,White,Female,3908,0,50,United-States,>50K
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2062,0,40,United-States,>50K
36,Private,280464,Some-college,10,Never-married,Transport-moving,Husband,Black,Male,0,0,80,United-States,<=50K
28,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
23,Private,121127,Bachelors,13,Never-married,Adm-clerical,Husband,White,Female,0,0,29,United-States,<=50K
32,Private,199381,Assoc-acdm,12,Married-civ-spouse,Sales,Not-in-family,Black,Male,0,0,47,United-States,<=50K
39,Private,121772,10th,11,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
34,Private,237833,Assoc-voc,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,43,United-States,<=50K
25,Self-emp-not-inc,173839,HS-grad,8,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,34,United-States,<=50K
32,Private,182985,HS-grad,8,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,United-States,<=50K
38,Private,28281,Some-college,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,47,United-States,<=50K
43,Private,292175,HS-grad,14,Divorced,Tech-support,Unmarried,White,Female,0,0,45,United-States,>50K
39,Private,193524,Some-college,16,Never-married,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K
53,Private,298113,HS-grad,8,Married-civ-spouse,Other-service,Not-in-family,Black,Male,0,0,18,United-States,<=50K
35,Federal-gov,76773,HS-grad,5,Married-civ-spouse,Sales,Husband,Black,Male,0,0,38,United-States,<=50K
43,Private,116508,HS-grad,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,38,United-States,<=50K
57,Private,108001,HS-grad,8,Divorced,Tech-support,Unmarried,White,Male,0,0,38,United-States,<=50K
56,Local-gov,216851,Some-college,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
19,Private,165799,HS-grad,8,Divorced,Craft-repair,Unmarried,White,Male,0,0,38,United-States,<=50K
54,?,180211,Some-college,10,Married-civ-spouse,?,Not-in-family,Asian-Pac-Islander,Male,0,0,60,South,>50K
39,Private,359259,HS-grad,8,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,72,United-States,<=50K
