age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,37,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,12,United-States,<=50K
38,Private,210029,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,37,United-States,<=50K
53,Private,227146,11th,7,Never-married,Handlers-cleaners,Husband,Black,Male,0,0,37,United-States,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,40,United-States,<=50K
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
52,Self-emp-not-inc,204629,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,41,United-States,>50K
31,Private,45599,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,13550,0,50,United-States,>50K
42,Private,156805,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,5060,0,37,United-States,>50K
37,Private,271753,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,74,United-States,>50K
30,State-gov,139660,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,37,India,>50K
23,Private,122272,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,<=50K
32,Private,200500,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,46,United-States,<=50K
34,Private,237848,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,41,Mexico,<=50K
25,Self-emp-not-inc,174543,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,32,United-States,<=50K
32,Private,183893,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,37,United-States,<=50K
38,Private,27939,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,<=50K
43,Self-emp-not-inc,292175,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,>50K
40,Private,190561,11th,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
54,Private,302146,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,76767,9th,5,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,37,United-States,<=50K
43,Private,116562,11th,7,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,2001,37,United-States,<=50K
59,Private,109015,HS-grad,9,Never-married,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,211115,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,37,United-States,>50K
19,Private,166193,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,37,United-States,<=50K
39,Private,356689,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,74,United-States,<=50K
49,Private,190406,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37,United-States,<=50K
23,Local-gov,187821,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,48,United-States,<=50K
20,Private,256963,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
45,Private,375499,Assoc-acdm,13,Divorced,Exec-managerial,Own-child,White,Male,0,1258,37,United-States,<=50K
30,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,37,United-States,<=50K
22,State-gov,301383,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,14,United-States,<=50K
48,Private,234854,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,37,Puerto-Rico,<=50K
21,Private,193434,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,37,United-States,<=50K
19,Private,544091,HS-grad,9,Married-AF-spouse,Sales,Unmarried,White,Male,0,0,25,United-States,<=50K
48,Self-emp-not-inc,256609,Assoc-acdm,12,Divorced,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
31,Private,495888,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
53,Self-emp-not-inc,88506,Bachelors,13,Never-married,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
24,Private,170336,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,46,United-States,<=50K
49,Private,94638,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
25,Private,280344,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K
57,Federal-gov,328518,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Male,0,0,37,United-States,>50K
