age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
39,State-gov,77336,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2105,0,35,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Never-married,Other-service,Other-relative,White,Male,0,0,11,United-States,<=50K
38,Private,206535,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
53,Private,222756,11th,7,Never-married,Sales,Not-in-family,Black,Male,0,0,35,United-States,<=50K
28,?,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Male,0,0,40,Cuba,<=50K
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
49,Private,160187,9th,5,Married-civ-spouse,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
52,Self-emp-not-inc,201729,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,39,United-States,>50K
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,13550,0,50,United-States,>50K
42,Private,155621,Some-college,13,Married-civ-spouse,Tech-support,Husband,White,Male,5013,0,35,United-States,>50K
37,Private,266119,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,70,United-States,<=50K
30,State-gov,138892,Bachelors,13,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,35,United-States,>50K
23,Private,122272,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
32,Private,198265,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,44,United-States,<=50K
40,Private,120539,Assoc-voc,11,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,35,?,>50K
34,Private,233014,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,39,United-States,<=50K
25,Private,172898,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States,<=50K
32,Private,182246,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,35,United-States,<=50K
38,Private,27444,11th,7,Married-civ-spouse,Sales,Own-child,White,Male,0,0,44,United-States,<=50K
43,Self-emp-not-inc,292175,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K
40,Private,188488,Doctorate,16,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,52,United-States,>50K
54,Private,302146,HS-grad,9,Divorced,Prof-specialty,Unmarried,Black,Male,0,0,20,United-States,<=50K
35,Federal-gov,76432,9th,5,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,35,United-States,<=50K
43,Private,116103,11th,7,Never-married,Transport-moving,Husband,White,Male,0,1980,35,United-States,<=50K
59,Private,109015,HS-grad,9,Married-civ-spouse,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
56,Local-gov,207564,Bachelors,13,Divorced,Tech-support,Other-relative,White,Male,0,0,35,United-States,>50K
19,Private,164712,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
54,?,175990,Some-college,10,Married-civ-spouse,?,Not-in-family,Asian-Pac-Islander,Male,0,0,52,South,>50K
39,Private,351228,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,<=50K
49,Private,188335,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,35,United-States,<=50K
23,Local-gov,186030,Assoc-acdm,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,46,United-States,<=50K
20,Private,251585,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,38,United-States,<=50K
45,Private,369386,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1138,35,United-States,<=50K
30,Federal-gov,59944,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,35,United-States,<=50K
22,State-gov,294708,Some-college,10,Separated,Other-service,Not-in-family,Black,Male,0,0,13,United-States,<=50K
48,Private,230095,11th,7,Never-married,Other-service,Unmarried,White,Male,0,0,35,Puerto-Rico,<=50K
21,Private,191380,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,35,United-States,<=50K
19,Private,544091,HS-grad,9,Married-AF-spouse,Prof-specialty,Wife,White,Male,0,0,25,United-States,<=50K
31,Private,84154,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,33,United-States,<=50K
48,Self-emp-not-inc,250832,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,<=50K
31,Private,485496,9th,5,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,37,United-States,<=50K
53,Self-emp-not-inc,87745,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
24,Private,169003,Bachelors,13,Separated,Tech-support,Own-child,White,Male,0,0,44,United-States,<=50K
49,Private,94638,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,274502,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K
57,Federal-gov,322658,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,35,United-States,>50K
53,Private,142075,HS-grad,9,Divorced,Machine-op-inspct,Husband,White,Male,0,0,33,United-States,<=50K
44,Private,128354,Masters,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,State-gov,99870,Assoc-voc,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
29,Private,256916,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,37,United-States,<=50K
25,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Male,0,0,40,United-States,<=50K
18,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,<=50K
47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,1902,60,United-States,>50K
50,Federal-gov,238401,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,>50K
47,Self-emp-inc,108386,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,52,United-States,<=50K
43,Private,225603,Some-college,10,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,35,United-States,>50K
46,Private,207352,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,35,Mexico,<=50K
35,Private,55965,Assoc-voc,11,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,35,Puerto-Rico,<=50K
41,Private,144515,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,42,United-States,<=50K
30,Private,183597,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,4934,0,35,United-States,<=50K
30,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2387,0,35,United-States,<=50K
32,?,278391,HS-grad,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,35,?,<=50K
48,Private,146788,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
42,Private,115498,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,39,United-States,>50K
29,Private,103851,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,51,United-States,<=50K
36,Private,152023,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
49,State-gov,186909,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,>50K
25,?,194740,Some-college,10,Never-married,?,Own-child,White,Male,0,0,35,United-States,<=50K
19,Private,99761,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,28,United-States,<=50K
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Male,0,0,40,United-States,<=50K
29,Private,158924,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,61,United-States,>50K
23,Private,203313,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,35,United-States,<=50K
79,Private,123345,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Male,0,0,18,United-States,<=50K
27,Private,205249,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K
40,Private,30759,Assoc-acdm,12,Never-married,Adm-clerical,Husband,White,Male,0,0,35,United-States,<=50K
67,?,204196,10th,6,Married-civ-spouse,?,Own-child,White,Male,0,0,2,United-States,<=50K
18,Private,309634,Assoc-acdm,7,Never-married,Other-service,Own-child,White,Male,0,0,22,United-States,>50K
31,Local-gov,124569,7th-8th,4,Divorced,Transport-moving,Not-in-family,White,Male,0,0,35,United-States,<=50K
18,Private,425497,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,26,United-States,<=50K
52,Private,261677,Bachelors,13,Married-civ-spouse,Other-service,Unmarried,White,Male,0,0,35,Cuba,<=50K
46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
59,Private,156310,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,42,United-States,<=50K
44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14084,0,40,United-States,>50K
53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
49,Local-gov,254773,HS-grad,9,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,35,United-States,<=50K
