,Position,Oral,Written,Race,Combine,Class
0,Captain,89.52,86,1,79.676,1
1,Captain,70.48,86,1,78.4,1
1,Captain,70.95,80,1,76.02,1
3,Captain,80.42,70,1,72.232,1
4,Lieutenant,67.14,77,1,71.828,1
0,Captain,76.19,82,1,79.676,1
6,Captain,67.14,75,1,71.2,1
1,Captain,70.0,84,1,78.4,1
6,Captain,65.83,74,1,70.868,1
9,Captain,76.19,66,1,70.38,1
10,Lieutenant,79.05,61,1,69.132,1
10,Captain,70.48,67,1,69.132,1
3,Captain,79.05,74,1,76.02,1
13,Captain,65.83,71,1,67.332,1
14,Captain,67.62,67,1,67.152,1
4,Captain,82.38,70,1,74.952,1
16,Lieutenant,62.5,67,1,65.856,1
16,Captain,60.0,70,1,65.5,1
6,Captain,68.57,74,1,71.828,1
19,Captain,70.95,55,1,62.768,1
20,Captain,52.08,74,1,62.768,1
9,Captain,70.95,70,1,70.38,1
22,Captain,55.83,68,1,60.8,0
22,Captain,70.0,55,1,60.7,0
24,Lieutenant,60.48,60,1,60.4,0
25,Captain,60.48,60,1,60.4,0
26,Captain,55.0,70,1,60.4,0
10,Captain,60.48,75,1,69.192,0
26,Captain,52.38,68,1,59.132,0
13,Captain,52.38,77,1,67.152,0
14,Captain,67.14,65,1,65.856,0
31,Captain,51.67,60,1,57.132,0
16,Captain,58.57,65,1,62.428,0
33,Captain,42.86,61,1,55.8,0
19,Captain,67.62,56,1,60.648,0
20,Captain,57.14,61,1,59.456,0
22,Captain,70.48,50,1,58.192,0
24,Captain,42.86,67,1,57.344,0
38,Captain,48.33,49,1,45.932,0
25,Captain,60.0,53,1,55.8,0
26,Captain,54.76,49,1,51.304,0
38,Lieutenant,82.38,84,1,78.4,1
42,Lieutenant,79.05,80,1,76.6,1
43,Lieutenant,68.57,84,1,76.1,1
43,Lieutenant,77.5,77,1,75.968,1
45,Lieutenant,70.48,80,1,75.968,1
46,Lieutenant,65.83,84,1,74.952,1
47,Lieutenant,70.83,77,1,74.332,1
47,Lieutenant,62.5,82,1,74.332,1
49,Lieutenant,56.67,86,1,72.732,1
50,Lieutenant,58.75,84,1,72.732,1
51,Lieutenant,58.75,77,1,70.868,1
51,Lieutenant,65.83,74,1,70.7,1
53,Lieutenant,54.76,82,1,69.192,1
31,Lieutenant,77.5,76,1,76.6,1
33,Lieutenant,61.25,86,1,76.1,1
38,Lieutenant,80.42,73,1,75.968,1
57,Lieutenant,66.25,71,1,68.2,1
58,Lieutenant,56.25,76,1,67.152,1
58,Lieutenant,79.05,58,1,66.3,1
42,Lieutenant,65.83,80,1,74.332,1
61,Lieutenant,69.17,64,1,65.0,1
43,Lieutenant,70.83,74,1,72.732,1
63,Lieutenant,58.57,70,1,65.0,1
45,Lieutenant,89.52,59,1,72.232,1
63,Lieutenant,61.25,66,1,63.668,1
66,Lieutenant,62.5,65,1,63.268,1
46,Lieutenant,55.0,82,1,71.2,1
47,Lieutenant,69.17,72,1,70.868,1
69,Lieutenant,57.5,67,1,62.428,1
70,Lieutenant,53.75,72,1,62.428,1
49,Lieutenant,53.75,82,1,70.7,1
70,Lieutenant,68.57,58,1,61.068,1
73,Lieutenant,65.83,60,1,60.9,1
74,Lieutenant,60.83,61,1,60.8,1
75,Lieutenant,57.14,67,1,60.648,0
50,Lieutenant,70.83,68,1,69.132,0
75,Lieutenant,65.83,58,1,60.1,0
78,Lieutenant,54.76,70,1,60.1,0
79,Lieutenant,45.83,73,1,59.456,0
51,Lieutenant,62.5,72,1,68.2,0
81,Lieutenant,46.25,72,1,59.3,0
53,Lieutenant,70.83,65,1,67.332,0
81,Lieutenant,57.14,61,1,59.132,0
84,Lieutenant,70.0,50,1,58.192,0
57,Lieutenant,56.25,73,1,66.3,0
86,Lieutenant,51.25,67,1,57.344,0
58,Lieutenant,66.25,65,1,65.5,0
88,Lieutenant,44.17,68,1,57.268,0
61,Lieutenant,57.5,70,1,65.0,0
63,Lieutenant,69.17,60,1,63.668,0
66,Lieutenant,51.67,71,1,63.268,0
88,Lieutenant,60.83,46,1,57.132,0
69,Lieutenant,50.42,71,1,62.768,0
94,Lieutenant,51.67,58,1,56.5,0
70,Lieutenant,56.67,64,1,61.068,0
73,Lieutenant,56.25,64,1,60.9,0
74,Lieutenant,42.5,73,1,60.8,0
75,Lieutenant,51.25,67,1,60.7,0
78,Lieutenant,55.0,64,1,60.4,0
79,Lieutenant,51.25,66,1,60.1,0
101,Lieutenant,44.17,59,1,54.732,0
101,Lieutenant,55.0,53,1,54.732,0
81,Lieutenant,46.25,68,1,59.3,0
84,Lieutenant,60.83,58,1,59.132,0
105,Lieutenant,52.92,49,1,54.432,0
106,Lieutenant,45.83,55,1,54.132,0
107,Lieutenant,40.83,58,1,51.304,0
86,Lieutenant,44.17,66,1,57.268,0
107,Lieutenant,42.5,56,1,50.568,0
88,Lieutenant,55.83,58,1,57.132,0
111,Lieutenant,50.42,49,1,50.568,0
94,Captain,58.75,55,1,56.5,0
101,Lieutenant,40.83,64,1,54.732,0
105,Lieutenant,52.08,56,1,54.432,0
106,Lieutenant,48.33,58,1,54.132,0
107,Lieutenant,52.92,49,1,50.568,0
111,Lieutenant,45.83,46,1,45.932,0
