status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
A11,7,A34,A43,909,A65,A73,4,A93,A101,4,A121,61,A143,A152,1,A173,1,A192,A201,1
A12,48,A32,A43,5954,A61,A73,2,A92,A101,2,A121,21,A143,A152,1,A173,1,A191,A201,2
A14,12,A34,A42,1543,A61,A75,2,A93,A101,3,A121,43,A143,A152,1,A172,2,A191,A201,1
A11,36,A32,A42,7228,A61,A74,2,A93,A103,4,A122,39,A143,A153,1,A173,2,A191,A201,1
A11,21,A33,A40,3835,A61,A73,3,A93,A101,4,A124,45,A143,A151,1,A173,2,A191,A201,2
A14,33,A32,A46,7758,A65,A73,2,A93,A101,4,A121,33,A143,A153,1,A172,2,A192,A201,1
A12,21,A32,A42,2197,A63,A73,3,A93,A101,4,A121,45,A143,A152,1,A173,1,A191,A201,1
A12,33,A32,A41,5511,A61,A73,2,A93,A101,2,A123,33,A143,A151,1,A174,1,A192,A201,1
A14,12,A32,A43,2384,A64,A74,2,A93,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1
A12,27,A34,A40,6872,A61,A71,4,A93,A101,2,A123,33,A143,A152,1,A174,1,A191,A201,2
A12,12,A32,A40,1291,A61,A73,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2
A11,48,A32,A49,4454,A61,A72,3,A93,A101,4,A122,23,A143,A151,1,A173,1,A191,A201,2
A12,12,A32,A43,1554,A61,A73,1,A93,A101,1,A123,21,A143,A152,1,A173,1,A192,A201,1
A11,21,A34,A40,915,A61,A75,4,A93,A101,4,A123,50,A143,A152,1,A172,1,A191,A201,2
A11,15,A32,A43,1409,A61,A73,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A43,1274,A62,A73,4,A93,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2
A12,21,A34,A43,1887,A65,A72,4,A93,A101,4,A122,45,A143,A152,1,A173,1,A191,A201,1
A11,27,A30,A49,7228,A65,A72,2,A93,A101,3,A123,23,A141,A152,3,A173,1,A191,A201,1
A12,24,A32,A43,12579,A61,A75,4,A92,A101,2,A124,39,A143,A153,1,A174,1,A192,A201,2
A14,21,A32,A43,2675,A63,A72,3,A93,A101,2,A123,30,A143,A152,1,A173,2,A192,A201,1
A14,8,A34,A40,1544,A61,A73,4,A93,A101,4,A123,43,A143,A152,3,A173,1,A192,A201,1
A11,7,A32,A43,2028,A63,A73,2,A93,A101,3,A121,38,A143,A151,1,A173,2,A191,A201,1
A11,10,A34,A40,1597,A61,A72,1,A93,A101,3,A121,43,A143,A151,1,A172,2,A191,A202,1
A12,12,A34,A41,1391,A62,A72,3,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,1
A14,10,A34,A42,3160,A65,A73,2,A94,A101,1,A123,30,A143,A152,1,A173,1,A191,A201,1
A11,7,A32,A42,1188,A61,A73,1,A93,A101,2,A121,33,A141,A152,1,A172,1,A192,A201,1
A14,4,A30,A43,448,A61,A75,4,A93,A101,4,A123,44,A143,A152,1,A172,1,A191,A201,1
A13,12,A32,A43,362,A64,A73,3,A93,A101,3,A121,37,A143,A152,1,A173,1,A191,A201,1
A12,7,A32,A43,1887,A61,A73,3,A93,A103,2,A121,32,A143,A152,1,A173,1,A191,A201,1
A11,48,A33,A49,5084,A61,A73,3,A93,A101,4,A124,52,A143,A152,1,A173,1,A192,A201,2
A12,18,A32,A49,2775,A64,A72,3,A93,A101,3,A121,42,A141,A152,1,A173,1,A191,A201,1
A11,21,A32,A42,3342,A61,A73,2,A93,A101,2,A123,25,A142,A152,1,A173,1,A191,A201,1
A12,15,A32,A45,4308,A62,A73,2,A93,A101,2,A123,28,A143,A151,1,A173,1,A192,A201,1
A14,12,A32,A49,1042,A65,A75,4,A93,A101,4,A124,47,A143,A151,1,A172,1,A191,A201,1
A13,12,A32,A49,1455,A61,A72,4,A93,A101,1,A122,32,A141,A152,1,A174,1,A192,A201,1
A12,45,A34,A43,3711,A61,A72,4,A93,A101,2,A122,23,A143,A152,1,A172,1,A191,A201,2
A14,45,A34,A46,4351,A61,A73,1,A93,A101,3,A124,30,A141,A152,1,A173,1,A192,A201,1
A13,15,A32,A43,1543,A61,A73,4,A93,A102,2,A121,34,A143,A152,1,A173,1,A191,A201,2
A13,10,A32,A44,958,A61,A73,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A192,A201,1
A12,8,A32,A43,368,A61,A73,4,A93,A101,3,A121,23,A143,A152,1,A173,1,A191,A201,1
A14,27,A32,A43,1829,A63,A72,4,A93,A101,2,A123,28,A141,A152,1,A174,1,A191,A201,1
A12,12,A32,A43,781,A63,A73,3,A93,A101,1,A123,23,A143,A152,1,A173,1,A191,A201,1
A12,15,A32,A45,4370,A61,A73,2,A93,A101,4,A121,38,A143,A152,1,A172,2,A192,A201,1
A11,27,A34,A41,7865,A61,A74,1,A93,A101,4,A123,26,A143,A153,1,A173,1,A191,A201,1
A11,48,A34,A41,5965,A61,A75,4,A93,A101,4,A124,50,A142,A153,1,A172,1,A191,A201,2
A14,12,A34,A40,1382,A61,A72,4,A93,A101,4,A122,33,A143,A152,1,A174,1,A191,A201,1
A14,33,A32,A43,1747,A63,A75,4,A93,A101,4,A123,35,A143,A152,1,A173,1,A191,A201,1
A11,4,A32,A41,1297,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1
A14,10,A32,A40,5595,A61,A73,1,A93,A101,4,A122,35,A143,A152,1,A172,1,A191,A201,1
A14,12,A32,A43,2051,A62,A73,4,A93,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1
A12,21,A32,A42,1829,A65,A72,4,A93,A101,2,A122,28,A141,A152,1,A172,1,A191,A201,1
A12,24,A33,A42,4351,A61,A75,1,A93,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,1
A12,12,A32,A43,1042,A61,A73,3,A93,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,1
A14,15,A32,A43,2671,A62,A73,2,A93,A101,1,A122,30,A143,A152,1,A173,1,A192,A201,1
A12,33,A33,A40,1595,A61,A72,4,A93,A101,4,A124,47,A141,A153,1,A173,1,A192,A201,2
A14,7,A32,A40,682,A65,A73,1,A93,A103,2,A121,25,A143,A152,1,A172,2,A191,A201,1
A12,12,A32,A43,5045,A61,A71,2,A93,A101,1,A124,45,A143,A152,1,A173,1,A192,A201,2
A14,36,A34,A43,9960,A61,A73,2,A93,A101,2,A123,30,A142,A152,1,A173,1,A191,A201,1
A13,15,A32,A40,1961,A61,A75,3,A93,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1
A11,36,A34,A42,5965,A61,A72,4,A93,A102,4,A124,23,A143,A151,1,A172,1,A192,A201,2
A12,8,A32,A49,1797,A61,A73,2,A93,A101,1,A121,32,A143,A152,1,A173,1,A192,A201,1
A12,14,A34,A43,1291,A65,A75,4,A93,A103,4,A121,44,A143,A152,1,A173,1,A191,A201,1
A12,33,A30,A49,1449,A61,A72,4,A93,A101,4,A123,50,A143,A153,1,A174,1,A192,A201,2
A12,45,A30,A43,12612,A61,A73,2,A93,A101,2,A123,23,A143,A152,1,A173,1,A192,A201,2
A14,24,A32,A43,3190,A61,A72,4,A93,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1
A14,24,A32,A45,3850,A65,A72,4,A93,A101,4,A122,43,A143,A152,3,A173,2,A192,A201,1
A14,12,A32,A43,2134,A61,A72,2,A92,A101,2,A123,28,A141,A152,1,A173,1,A191,A201,1
A12,12,A32,A40,1246,A64,A72,4,A93,A101,1,A121,23,A143,A152,1,A173,1,A191,A201,1
A14,33,A32,A42,1393,A61,A73,4,A93,A101,4,A124,34,A142,A153,1,A173,1,A192,A201,2
A14,36,A32,A43,2329,A61,A73,4,A93,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
A14,36,A33,A41,8133,A61,A73,1,A93,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1
A14,7,A34,A43,674,A62,A73,4,A93,A101,2,A122,41,A143,A151,1,A172,1,A192,A201,1
A11,8,A34,A49,909,A61,A72,3,A93,A101,4,A124,44,A141,A152,1,A174,2,A192,A201,1
A12,36,A34,A49,5954,A61,A74,2,A93,A101,1,A121,37,A141,A152,1,A172,1,A191,A201,1
A11,33,A32,A46,1495,A65,A75,4,A93,A101,4,A121,35,A143,A152,1,A174,1,A192,A201,2
A11,12,A34,A42,1291,A61,A75,4,A93,A101,4,A121,61,A143,A153,1,A174,1,A191,A201,1
A11,36,A32,A43,3331,A61,A72,4,A93,A101,3,A123,32,A143,A152,1,A173,1,A191,A201,2
A12,10,A33,A43,3711,A61,A74,2,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1
A14,48,A30,A41,8318,A61,A73,2,A93,A101,2,A122,35,A143,A152,1,A172,2,A191,A201,1
A12,27,A32,A42,5742,A61,A72,2,A93,A101,1,A122,23,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A43,5954,A65,A72,1,A93,A101,1,A123,39,A143,A152,1,A173,1,A192,A201,2
