id,sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid,race,days_b_screening_arrest
1,Male,67,Greater than 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
3,Male,33,25 - 45,0,0,0,0,F,Felony Petit Theft,1,African-American,-1
5,Male,25,Less than 25,0,0,0,0,M,Battery,0,African-American,
6,Male,42,25 - 45,0,0,0,3,F,arrest case no charge,0,African-American,
7,Male,42,25 - 45,0,0,0,0,M,Battery,0,African-American,0
9,Male,42,25 - 45,0,0,0,3,F,arrest case no charge,0,African-American,-1
10,Female,34,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
13,Male,20,Less than 25,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,African-American,428
14,Male,25,25 - 45,0,0,0,0,F,Driving License Suspended,0,African-American,-1
16,Male,33,25 - 45,0,0,0,0,M,Battery,0,African-American,0
18,Male,38,Greater than 45,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,African-American,-1
21,Male,33,25 - 45,0,0,0,0,M,Battery,0,African-American,0
22,Male,25,25 - 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
23,Male,29,25 - 45,0,0,0,3,F,Driving While License Revoked,1,African-American,-1
28,Female,20,Less than 25,0,0,0,0,F,Battery,0,African-American,-2
32,Male,38,25 - 45,0,0,0,0,M,Burglary Dwelling Occupied,0,African-American,-1
33,Male,33,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
37,Male,25,25 - 45,0,0,0,3,F,Carrying Concealed Firearm,1,African-American,-1
38,Male,33,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,53
40,Male,29,25 - 45,0,0,0,0,F,Cause Anoth Phone Ring Repeat,1,African-American,0
45,Male,48,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
51,Male,25,25 - 45,0,0,0,3,M,Battery,0,African-American,81
55,Male,25,25 - 45,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,African-American,0
56,Female,20,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
57,Male,47,Greater than 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
61,Female,47,Greater than 45,0,0,0,3,F,Possession of Cocaine,0,African-American,-1
66,Male,25,25 - 45,0,0,0,5,M,arrest case no charge,1,African-American,-1
67,Male,33,25 - 45,0,0,0,6,F,Uttering a Forged Instrument,1,African-American,-1
68,Male,43,Greater than 45,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,African-American,0
70,Male,29,25 - 45,0,0,0,0,F,Battery,0,African-American,0
72,Female,29,25 - 45,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,-1
77,Female,60,Greater than 45,0,0,0,0,F,arrest case no charge,0,Hispanic,-219
79,Male,29,25 - 45,0,0,0,6,M,arrest case no charge,0,African-American,-1
83,Male,29,25 - 45,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,African-American,0
84,Male,47,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
85,Male,48,25 - 45,0,0,0,5,F,arrest case no charge,0,Caucasian,-13
87,Male,33,25 - 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,African-American,-1
97,Male,60,Greater than 45,0,0,0,0,M,arrest case no charge,0,African-American,0
99,Male,33,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
100,Female,51,Greater than 45,0,0,0,0,M,Battery,0,African-American,0
101,Male,42,Greater than 45,0,0,0,5,F,Possession of Cocaine,1,Hispanic,-1
102,Male,20,Less than 25,0,0,0,0,F,Battery,0,African-American,-1
105,Male,38,25 - 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
111,Male,38,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-15
114,Male,20,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
115,Female,25,25 - 45,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1,African-American,-1
116,Male,25,25 - 45,0,0,0,0,F,Felony Battery (Dom Strang),1,African-American,-43
119,Male,29,25 - 45,0,0,0,0,M,Felony Battery (Dom Strang),0,African-American,-1
120,Male,38,25 - 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
122,Male,29,25 - 45,0,0,0,3,M,Possess Cannabis/20 Grams Or Less,1,African-American,-1
