sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,sex-race
Male,69,Greater than 45,Other,0,0,0,0,F,Aggravated Assault w/Firearm,1,Low,0,Male-Other
Male,34,25 - 45,African-American,0,0,0,0,F,Felony Battery w/Prior Convict,3,Low,1,Male-African-American
Male,44,25 - 45,Other,0,0,0,0,M,Battery,1,Low,0,Male-Other
Male,43,25 - 45,Other,0,0,0,3,F,arrest case no charge,4,Low,0,Male-Other
Female,39,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Female-Caucasian
Male,27,25 - 45,Caucasian,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",4,Low,0,Male-Caucasian
Female,37,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Female-Caucasian
Male,41,25 - 45,African-American,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",4,Low,0,Male-African-American
Male,37,25 - 45,Hispanic,0,0,0,0,M,Battery,1,Low,0,Male-Hispanic
Male,25,25 - 45,African-American,0,0,0,3,F,Grand Theft in the 3rd Degree,10,High,0,Male-African-American
Male,31,25 - 45,Caucasian,0,0,0,6,F,Driving While License Revoked,5,Medium,1,Male-Caucasian
Female,21,Less than 25,Caucasian,0,0,0,0,F,Introduce Contraband Into Jail,4,Low,0,Female-Caucasian
Male,43,25 - 45,Caucasian,0,0,0,1,M,Susp Drivers Lic 1st Offense,1,Low,0,Male-Caucasian
Male,32,25 - 45,Other,0,0,0,0,M,Battery,3,Low,0,Male-Other
Male,27,25 - 45,African-American,0,0,0,8,F,Carrying Concealed Firearm,3,Low,1,Male-African-American
Male,33,25 - 45,African-American,0,0,0,0,F,Tampering With Physical Evidence,10,High,1,Male-African-American
Male,55,Greater than 45,Caucasian,0,0,0,0,F,arrest case no charge,1,Low,0,Male-Caucasian
Male,29,25 - 45,Caucasian,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,2,Low,0,Male-Caucasian
Female,21,Less than 25,African-American,0,0,0,2,F,arrest case no charge,8,High,0,Female-African-American
Male,51,Greater than 45,African-American,0,0,0,2,M,Unlaw Use False Name/Identity,1,Low,0,Male-African-American
Female,51,Greater than 45,African-American,0,0,0,7,F,Possession of Cocaine,2,Low,0,Female-African-American
Male,25,25 - 45,Caucasian,0,0,0,9,M,Battery,10,High,1,Male-Caucasian
Male,35,25 - 45,African-American,1,0,4,13,F,Uttering a Forged Instrument,8,High,1,Male-African-American
Male,49,Greater than 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Male-Caucasian
Male,29,25 - 45,African-American,0,0,0,0,F,Tampering With Physical Evidence,4,Low,0,Male-African-American
Female,28,25 - 45,Other,0,0,0,0,F,Grand Theft in the 3rd Degree,2,Low,0,Female-Other
Male,31,25 - 45,African-American,0,0,1,15,F,Attempt Armed Burglary Dwell,5,Medium,0,Male-African-American
Male,30,25 - 45,Hispanic,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,7,Medium,0,Male-Hispanic
Male,49,Greater than 45,African-American,0,0,0,4,M,Battery,1,Low,0,Male-African-American
Male,53,Greater than 45,Caucasian,0,0,0,8,F,arrest case no charge,5,Medium,0,Male-Caucasian
Male,35,25 - 45,African-American,0,0,0,5,F,Driving While License Revoked,3,Low,0,Male-African-American
Male,62,Greater than 45,Hispanic,0,0,0,0,M,Unlaw LicTag/Sticker Attach,1,Low,0,Male-Hispanic
Male,33,25 - 45,Other,0,0,0,0,M,Battery,1,Low,0,Male-Other
Female,56,Greater than 45,African-American,0,0,0,0,M,Battery,1,Low,0,Female-African-American
Male,45,Greater than 45,Hispanic,0,0,0,6,F,Possession of Cocaine,1,Low,1,Male-Hispanic
Male,22,Less than 25,Hispanic,0,0,0,1,F,Burglary Structure Unoccup,4,Low,0,Male-Hispanic
Male,39,25 - 45,African-American,0,0,0,1,M,arrest case no charge,4,Low,0,Male-African-American
Male,40,25 - 45,African-American,0,0,0,2,F,arrest case no charge,2,Low,0,Male-African-American
Male,22,Less than 25,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,8,High,0,Male-Caucasian
Female,26,25 - 45,African-American,0,0,0,1,F,Poss Cocaine/Intent To Del/Sel,4,Low,1,Female-African-American
Male,32,25 - 45,African-American,0,0,0,0,F,Felony Battery (Dom Strang),2,Low,0,Male-African-American
Male,41,25 - 45,African-American,0,0,0,1,M,arrest case no charge,2,Low,0,Male-African-American
Male,30,25 - 45,African-American,0,0,0,8,M,Possess Cannabis/20 Grams Or Less,10,High,1,Male-African-American
Male,25,25 - 45,African-American,1,6,1,14,F,arrest case no charge,10,High,1,Male-African-American
Male,20,Less than 25,Other,0,0,0,0,F,Tampering With Physical Evidence,5,Medium,1,Male-Other
Female,35,25 - 45,African-American,0,0,0,1,M,arrest case no charge,2,Low,0,Female-African-American
Male,25,25 - 45,Caucasian,0,0,0,9,F,Pos Cannabis W/Intent Sel/Del,8,High,1,Male-Caucasian
Female,20,Less than 25,Caucasian,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",7,Medium,0,Female-Caucasian
Female,54,Greater than 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Female-Caucasian
Female,44,25 - 45,Hispanic,0,0,0,0,M,Battery,1,Low,0,Female-Hispanic
Male,19,Less than 25,African-American,0,0,0,1,M,Battery,4,Low,1,Male-African-American
Male,30,25 - 45,African-American,0,0,0,1,F,Fail To Redeliv Hire/Leas Prop,2,Low,0,Male-African-American
Female,39,25 - 45,Caucasian,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Low,1,Female-Caucasian
Male,30,25 - 45,Caucasian,0,0,0,0,F,Possession Of Methamphetamine,4,Low,0,Male-Caucasian
Male,31,25 - 45,Caucasian,0,0,0,0,M,Battery,5,Medium,0,Male-Caucasian
Female,39,25 - 45,Caucasian,0,0,0,1,F,Possession of Morphine,4,Low,0,Female-Caucasian
Male,43,25 - 45,Caucasian,0,0,0,1,F,Possession of Cocaine,1,Low,0,Male-Caucasian
Male,34,25 - 45,Caucasian,0,0,0,0,F,Aggravated Assault w/Firearm,5,Medium,0,Male-Caucasian
Male,37,25 - 45,African-American,0,0,0,3,F,"Poss3,4 Methylenedioxymethcath",2,Low,0,Male-African-American
Male,31,25 - 45,African-American,0,0,0,1,M,Battery,7,Medium,0,Male-African-American
Female,30,25 - 45,Other,0,0,0,1,F,Crim Use of Personal ID Info,2,Low,0,Female-Other
Male,31,25 - 45,Caucasian,0,0,0,13,F,arrest case no charge,10,High,1,Male-Caucasian
Male,52,Greater than 45,Caucasian,0,0,0,3,M,Battery,9,High,0,Male-Caucasian
Male,42,25 - 45,Caucasian,0,0,0,6,F,Possession Of Alprazolam,3,Low,0,Male-Caucasian
Female,25,25 - 45,Caucasian,0,0,0,2,F,arrest case no charge,4,Low,0,Female-Caucasian
Male,30,25 - 45,Caucasian,0,0,0,1,M,Agg Fleeing and Eluding,2,Low,0,Male-Caucasian
Female,37,25 - 45,Other,0,0,0,2,M,Petit Theft,2,Low,0,Female-Other
Female,24,Less than 25,African-American,0,0,0,0,M,Battery,2,Low,0,Female-African-American
Male,31,25 - 45,African-American,0,0,0,1,M,Lewdness Violation,2,Low,0,Male-African-American
Female,20,Less than 25,African-American,1,0,0,1,F,arrest case no charge,10,High,0,Female-African-American
Female,43,25 - 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Female-Caucasian
Male,32,25 - 45,African-American,0,0,0,11,F,Poss Pyrrolidinovalerophenone,6,Medium,1,Male-African-American
Male,33,25 - 45,African-American,0,0,0,8,M,Assault,5,Medium,1,Male-African-American
Female,20,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,6,Medium,0,Female-African-American
Female,26,25 - 45,Caucasian,0,0,0,0,M,Fail To Obey Police Officer,6,Medium,0,Female-Caucasian
Male,63,Greater than 45,Hispanic,0,0,0,1,F,arrest case no charge,1,Low,0,Male-Hispanic
Female,32,25 - 45,African-American,0,0,0,4,F,arrest case no charge,10,High,1,Female-African-American
