Position,Oral,Written,Race,Combine
Captain,89.52,95,W,92.808
Captain,80,95,W,89
Captain,82.38,87,W,85.152
Captain,88.57,76,W,81.028
Captain,76.19,84,W,80.876
Captain,76.19,82,H,79.676
Captain,76.19,82,W,79.676
Captain,70,84,H,78.4
Captain,73.81,81,W,78.124
Captain,84.29,72,W,76.916
Captain,87.62,69,W,76.448
Captain,80,74,W,76.4
Captain,79.05,74,H,76.02
Captain,73.81,77,W,75.724
Captain,76.67,74,W,75.068
Captain,82.38,70,B,74.952
Captain,73.33,74,W,73.732
Captain,70,76,W,73.6
Captain,68.57,74,B,71.828
Captain,82.38,64,W,71.352
Captain,56.67,81,W,71.268
Captain,70.95,70,B,70.38
Captain,62.38,75,W,69.952
Captain,78.57,64,W,69.828
Captain,71.43,68,W,69.372
Captain,71.43,68,W,69.372
Captain,59.05,76,W,69.22
Captain,60.48,75,H,69.192
Captain,57.14,75,W,67.856
Captain,52.38,77,B,67.152
Captain,67.14,65,H,65.856
Captain,55.24,68,W,62.896
Captain,58.57,65,H,62.428
Captain,48.57,69,W,60.828
Captain,67.62,56,B,60.648
Captain,57.14,61,H,59.456
Captain,70.48,50,B,58.192
Captain,42.86,67,H,57.344
Captain,53.81,58,W,56.324
Captain,60,53,B,55.8
Captain,54.76,49,B,51.304
Lieutenant,88.75,91,W,90.1
Lieutenant,87.5,87,W,87.2
Lieutenant,77.5,91,W,85.6
Lieutenant,85,84,W,84.4
Lieutenant,80,87,W,84.2
Lieutenant,73.75,91,W,84.1
Lieutenant,80.83,84,W,82.732
Lieutenant,73.33,89,W,82.732
Lieutenant,63.75,95,W,82.5
Lieutenant,68.33,91,W,81.932
Lieutenant,69.58,86,W,79.432
Lieutenant,73.75,81,W,78.1
Lieutenant,58.75,89,W,76.9
Lieutenant,77.5,76,B,76.6
Lieutenant,61.25,86,B,76.1
Lieutenant,80.42,73,B,75.968
Lieutenant,74.17,77,W,75.868
Lieutenant,63.33,83,W,75.132
Lieutenant,87.5,66,W,74.6
Lieutenant,65.83,80,B,74.332
Lieutenant,78.33,70,W,73.332
Lieutenant,70.83,74,B,72.732
Lieutenant,66.67,76,W,72.268
Lieutenant,92.08,59,B,72.232
Lieutenant,72.5,72,W,72.2
Lieutenant,73.33,71,W,71.932
Lieutenant,55,82,H,71.2
Lieutenant,69.17,72,H,70.868
Lieutenant,65.83,74,W,70.732
Lieutenant,58.33,79,W,70.732
Lieutenant,53.75,82,H,70.7
Lieutenant,77.5,66,W,70.6
Lieutenant,73.75,68,W,70.3
Lieutenant,71.67,69,W,70.068
Lieutenant,64.58,73,W,69.632
Lieutenant,70.83,68,H,69.132
Lieutenant,73.75,66,W,69.1
Lieutenant,58.75,76,W,69.1
Lieutenant,51.25,80,W,68.5
Lieutenant,62.5,72,H,68.2
Lieutenant,51.67,79,W,68.068
Lieutenant,70.83,65,B,67.332
Lieutenant,64.58,69,W,67.232
Lieutenant,79.17,59,W,67.068
Lieutenant,56.25,73,H,66.3
Lieutenant,55,73,W,65.8
Lieutenant,66.25,65,B,65.5
Lieutenant,50.42,75,W,65.168
Lieutenant,57.5,70,H,65
Lieutenant,69.17,60,B,63.668
Lieutenant,51.67,71,H,63.268
Lieutenant,71.67,57,W,62.868
Lieutenant,50.42,71,H,62.768
Lieutenant,56.25,66,W,62.1
Lieutenant,56.67,64,B,61.068
Lieutenant,56.25,64,B,60.9
Lieutenant,42.5,73,H,60.8
Lieutenant,51.25,67,H,60.7
Lieutenant,55,64,B,60.4
Lieutenant,51.25,66,B,60.1
Lieutenant,49.58,67,W,60.032
Lieutenant,60,60,W,60
Lieutenant,46.25,68,H,59.3
Lieutenant,60.83,58,B,59.132
Lieutenant,57.92,58,W,57.968
Lieutenant,51.25,62,W,57.7
Lieutenant,44.58,66,W,57.432
Lieutenant,44.17,66,H,57.268
Lieutenant,45.42,65,W,57.168
Lieutenant,55.83,58,B,57.132
Lieutenant,54.58,58,W,56.632
Lieutenant,58.75,55,B,56.5
Lieutenant,40.83,64,H,54.732
Lieutenant,52.08,56,B,54.432
Lieutenant,48.33,58,H,54.132
Lieutenant,52.92,49,B,50.568
Lieutenant,45.83,46,B,45.932
