algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,H-accuracy,B-accuracy,W-accuracy,Race-accuracy,H-accuracy_over_W-accuracy,B-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoH-accuracy,diff:W-accuracytoB-accuracy,Race-accuracyDiff,H-TPR,B-TPR,W-TPR,Race-TPR,H-TPR_over_W-TPR,B-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoH-TPR,diff:W-TPRtoB-TPR,Race-TPRDiff,H-TNR,B-TNR,W-TNR,Race-TNR,H-TNR_over_W-TNR,B-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoH-TNR,diff:W-TNRtoB-TNR,Race-TNRDiff,H-FPR,B-FPR,W-FPR,Race-FPR,H-FPR_over_W-FPR,B-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoH-FPR,diff:W-FPRtoB-FPR,Race-FPRDiff,H-FNR,B-FNR,W-FNR,Race-FNR,H-FNR_over_W-FNR,B-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoH-FNR,diff:W-FNRtoB-FNR,Race-FNRDiff,H-calibration+,B-calibration+,W-calibration+,Race-calibration+,H-calibration+_over_W-calibration+,B-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toH-calibration+,diff:W-calibration+toB-calibration+,Race-calibration+Diff,H-calibration-,B-calibration-,W-calibration-,Race-calibration-,H-calibration-_over_W-calibration-,B-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toH-calibration-,diff:W-calibration-toB-calibration-,Race-calibration-Diff
Feldman-SVM-accuracy,lambda=0.0,0,0.85,0.6666666666666666,1.0,0.8333333333333333,0.723746864455746,0.45098039215686275,0.4380952380952381,0.7851662404092071,1.0,0.8571428571428571,0.782608695652174,0.8799171842650103,1.2777777777777777,1.0952380952380951,1.1865079365079363,1.2173913043478262,1.0745341614906831,1.1459627329192545,1.0,0.5,0.6428571428571429,0.7142857142857143,1.5555555555555554,0.7777777777777777,1.1666666666666665,1.3571428571428572,0.8571428571428571,1.1071428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3571428571428571,0.2857142857142857,0.0,1.4000000000000001,0.7000000000000001,0.6428571428571429,1.1428571428571428,0.8928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.35714285714285715,0.17460317460317462,0.0,0.4666666666666666,0.2333333333333333,0.6428571428571428,0.8095238095238095,0.7261904761904762
Feldman-SVM-accuracy,lambda=0.05,0,0.825,0.6111111111111112,1.0,0.8055555555555556,0.6808829066491902,0.5073529411764707,0.4928571428571429,0.8286445012787724,1.0,0.8571428571428571,0.7391304347826086,0.8654244306418221,1.3529411764705883,1.1596638655462186,1.2563025210084033,1.2608695652173914,1.1180124223602483,1.18944099378882,1.0,0.5,0.5714285714285714,0.6904761904761904,1.75,0.875,1.3125,1.4285714285714286,0.9285714285714286,1.1785714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.4285714285714286,0.30952380952380953,0.0,1.1666666666666665,0.5833333333333333,0.5714285714285714,1.0714285714285714,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.4,0.18888888888888888,0.0,0.41666666666666663,0.20833333333333331,0.6,0.7666666666666666,0.6833333333333333
Feldman-SVM-accuracy,lambda=0.1,0,0.85,0.6666666666666666,1.0,0.8333333333333333,0.723746864455746,0.45098039215686275,0.4380952380952381,0.7851662404092071,1.0,0.8571428571428571,0.782608695652174,0.8799171842650103,1.2777777777777777,1.0952380952380951,1.1865079365079363,1.2173913043478262,1.0745341614906831,1.1459627329192545,1.0,0.5,0.6428571428571429,0.7142857142857143,1.5555555555555554,0.7777777777777777,1.1666666666666665,1.3571428571428572,0.8571428571428571,1.1071428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3571428571428571,0.2857142857142857,0.0,1.4000000000000001,0.7000000000000001,0.6428571428571429,1.1428571428571428,0.8928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.35714285714285715,0.17460317460317462,0.0,0.4666666666666666,0.2333333333333333,0.6428571428571428,0.8095238095238095,0.7261904761904762
Feldman-SVM-accuracy,lambda=0.15,0,0.825,0.6111111111111112,1.0,0.8055555555555556,0.6808829066491902,0.5073529411764707,0.4928571428571429,0.8286445012787724,1.0,0.8571428571428571,0.7391304347826086,0.8654244306418221,1.3529411764705883,1.1596638655462186,1.2563025210084033,1.2608695652173914,1.1180124223602483,1.18944099378882,1.0,0.5,0.5714285714285714,0.6904761904761904,1.75,0.875,1.3125,1.4285714285714286,0.9285714285714286,1.1785714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.4285714285714286,0.30952380952380953,0.0,1.1666666666666665,0.5833333333333333,0.5714285714285714,1.0714285714285714,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.4,0.18888888888888888,0.0,0.41666666666666663,0.20833333333333331,0.6,0.7666666666666666,0.6833333333333333
Feldman-SVM-accuracy,lambda=0.2,0,0.825,0.6111111111111112,1.0,0.8055555555555556,0.6808829066491902,0.5073529411764707,0.4928571428571429,0.8286445012787724,1.0,0.8571428571428571,0.7391304347826086,0.8654244306418221,1.3529411764705883,1.1596638655462186,1.2563025210084033,1.2608695652173914,1.1180124223602483,1.18944099378882,1.0,0.5,0.5714285714285714,0.6904761904761904,1.75,0.875,1.3125,1.4285714285714286,0.9285714285714286,1.1785714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.4285714285714286,0.30952380952380953,0.0,1.1666666666666665,0.5833333333333333,0.5714285714285714,1.0714285714285714,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.4,0.18888888888888888,0.0,0.41666666666666663,0.20833333333333331,0.6,0.7666666666666666,0.6833333333333333
Feldman-SVM-accuracy,lambda=0.25,0,0.8,0.6111111111111112,0.9545454545454546,0.7828282828282829,0.6140882486291178,0.6764705882352942,0.6366071428571429,0.8874680306905371,0.9,0.8571428571428571,0.7391304347826086,0.8320910973084885,1.2176470588235295,1.1596638655462186,1.1886554621848742,1.1608695652173915,1.1180124223602483,1.13944099378882,1.0,0.5,0.5714285714285714,0.6904761904761904,1.75,0.875,1.3125,1.4285714285714286,0.9285714285714286,1.1785714285714286,0.875,1.0,1.0,0.9583333333333334,0.875,1.0,0.9375,0.875,1.0,0.9375,0.125,0.0,0.0,0.041666666666666664,0.0,1.0,0.5,1.125,1.0,1.0625,0.0,0.5,0.4285714285714286,0.30952380952380953,0.0,1.1666666666666665,0.5833333333333333,0.5714285714285714,1.0714285714285714,0.8214285714285714,0.6666666666666666,1.0,1.0,0.8888888888888888,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,0.0,0.16666666666666666,0.4,0.18888888888888888,0.0,0.41666666666666663,0.20833333333333331,0.6,0.7666666666666666,0.6833333333333333
Feldman-SVM-accuracy,lambda=0.3,0,0.775,0.5555555555555556,0.9545454545454546,0.7550505050505051,0.5683402774509769,0.7731092436974789,0.7275510204081632,0.9309462915601023,0.9,0.8571428571428571,0.6956521739130435,0.8175983436853002,1.2937500000000002,1.2321428571428572,1.2629464285714287,1.2043478260869565,1.1614906832298137,1.182919254658385,1.0,0.5,0.5,0.6666666666666666,2.0,1.0,1.5,1.5,1.0,1.25,0.875,1.0,1.0,0.9583333333333334,0.875,1.0,0.9375,0.875,1.0,0.9375,0.125,0.0,0.0,0.041666666666666664,0.0,1.0,0.5,1.125,1.0,1.0625,0.0,0.5,0.5,0.3333333333333333,0.0,1.0,0.5,0.5,1.0,0.75,0.6666666666666666,1.0,1.0,0.8888888888888888,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,0.0,0.16666666666666666,0.4375,0.20138888888888887,0.0,0.38095238095238093,0.19047619047619047,0.5625,0.7291666666666666,0.6458333333333333
Feldman-SVM-accuracy,lambda=0.35,0,0.775,0.5555555555555556,0.9545454545454546,0.7550505050505051,0.5683402774509769,0.7731092436974789,0.7275510204081632,0.9309462915601023,0.9,0.8571428571428571,0.6956521739130435,0.8175983436853002,1.2937500000000002,1.2321428571428572,1.2629464285714287,1.2043478260869565,1.1614906832298137,1.182919254658385,1.0,0.5,0.5,0.6666666666666666,2.0,1.0,1.5,1.5,1.0,1.25,0.875,1.0,1.0,0.9583333333333334,0.875,1.0,0.9375,0.875,1.0,0.9375,0.125,0.0,0.0,0.041666666666666664,0.0,1.0,0.5,1.125,1.0,1.0625,0.0,0.5,0.5,0.3333333333333333,0.0,1.0,0.5,0.5,1.0,0.75,0.6666666666666666,1.0,1.0,0.8888888888888888,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,0.0,0.16666666666666666,0.4375,0.20138888888888887,0.0,0.38095238095238093,0.19047619047619047,0.5625,0.7291666666666666,0.6458333333333333
Feldman-SVM-accuracy,lambda=0.4,0,0.75,0.5,0.9545454545454546,0.7272727272727273,0.5222329678670935,0.9019607843137255,0.8488095238095237,0.9744245524296675,0.9,0.8571428571428571,0.6521739130434783,0.8031055900621119,1.3800000000000001,1.3142857142857143,1.3471428571428572,1.2478260869565219,1.2049689440993787,1.2263975155279503,1.0,0.5,0.42857142857142855,0.6428571428571429,2.3333333333333335,1.1666666666666667,1.75,1.5714285714285714,1.0714285714285714,1.3214285714285714,0.875,1.0,1.0,0.9583333333333334,0.875,1.0,0.9375,0.875,1.0,0.9375,0.125,0.0,0.0,0.041666666666666664,0.0,1.0,0.5,1.125,1.0,1.0625,0.0,0.5,0.5714285714285714,0.35714285714285715,0.0,0.875,0.4375,0.4285714285714286,0.9285714285714286,0.6785714285714286,0.6666666666666666,1.0,1.0,0.8888888888888888,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,0.0,0.16666666666666666,0.47058823529411764,0.21241830065359477,0.0,0.35416666666666663,0.17708333333333331,0.5294117647058824,0.696078431372549,0.6127450980392157
Feldman-SVM-accuracy,lambda=0.45,0,0.725,0.4444444444444444,0.9545454545454546,0.6994949494949495,0.47534331694263005,1.0823529411764705,1.0185714285714285,1.0179028132992327,0.9,0.8571428571428571,0.6086956521739131,0.7886128364389234,1.4785714285714284,1.4081632653061222,1.4433673469387753,1.2913043478260868,1.2484472049689441,1.2698757763975155,1.0,0.5,0.35714285714285715,0.6190476190476191,2.8,1.4,2.0999999999999996,1.6428571428571428,1.1428571428571428,1.3928571428571428,0.875,1.0,1.0,0.9583333333333334,0.875,1.0,0.9375,0.875,1.0,0.9375,0.125,0.0,0.0,0.041666666666666664,0.0,1.0,0.5,1.125,1.0,1.0625,0.0,0.5,0.6428571428571428,0.38095238095238093,0.0,0.7777777777777779,0.38888888888888895,0.3571428571428572,0.8571428571428572,0.6071428571428572,0.6666666666666666,1.0,1.0,0.8888888888888888,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,1.0,0.8333333333333333,0.0,0.16666666666666666,0.5,0.2222222222222222,0.0,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,0.5833333333333333
