algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
ZafarFairness-DIavgall,c=0.0010000000000000002,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.0021544346900318843,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.004641588833612781,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.009999999999999995,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.02154434690031884,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.046415888336127795,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.09999999999999998,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.21544346900318834,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.46415888336127786,0,0.875,1.0,0.75,0.875,0.7745966692414834,1.1111111111111112,1.1111111111111112,1.0666666666666667,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=1.0,0,0.9,1.0,0.8,0.9,0.816496580927726,1.0,1.0,1.0,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.8,0.6,0.6,0.6,0.6,0.4,0.0,0.2,0.0,1.0,1.4,1.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,1.0,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.0010000000000000002,1,0.825,0.8571428571428571,0.7894736842105263,0.8233082706766917,0.6490612250874743,0.631578947368421,0.631578947368421,0.7543859649122807,0.7894736842105263,0.8571428571428571,0.8233082706766917,0.9210526315789475,0.9210526315789475,0.9323308270676692,0.9323308270676692,1.0,0.8235294117647058,0.9117647058823529,1.2142857142857144,1.2142857142857144,1.1764705882352942,1.1764705882352942,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.17647058823529416,0.08823529411764708,0.0,1.0,0.8235294117647058,0.8235294117647058,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.42857142857142855,0.21428571428571427,0.0,1.0,0.5714285714285714,0.5714285714285714
ZafarFairness-DIavgall,c=0.0021544346900318843,1,0.825,0.8571428571428571,0.7894736842105263,0.8233082706766917,0.6490612250874743,0.631578947368421,0.631578947368421,0.7543859649122807,0.7894736842105263,0.8571428571428571,0.8233082706766917,0.9210526315789475,0.9210526315789475,0.9323308270676692,0.9323308270676692,1.0,0.8235294117647058,0.9117647058823529,1.2142857142857144,1.2142857142857144,1.1764705882352942,1.1764705882352942,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.17647058823529416,0.08823529411764708,0.0,1.0,0.8235294117647058,0.8235294117647058,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.42857142857142855,0.21428571428571427,0.0,1.0,0.5714285714285714,0.5714285714285714
ZafarFairness-DIavgall,c=0.004641588833612781,1,0.825,0.8571428571428571,0.7894736842105263,0.8233082706766917,0.6490612250874743,0.631578947368421,0.631578947368421,0.7543859649122807,0.7894736842105263,0.8571428571428571,0.8233082706766917,0.9210526315789475,0.9210526315789475,0.9323308270676692,0.9323308270676692,1.0,0.8235294117647058,0.9117647058823529,1.2142857142857144,1.2142857142857144,1.1764705882352942,1.1764705882352942,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.17647058823529416,0.08823529411764708,0.0,1.0,0.8235294117647058,0.8235294117647058,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.42857142857142855,0.21428571428571427,0.0,1.0,0.5714285714285714,0.5714285714285714
ZafarFairness-DIavgall,c=0.009999999999999995,1,0.85,0.9047619047619048,0.7894736842105263,0.8471177944862156,0.7013017821381075,0.5894736842105263,0.5894736842105263,0.706766917293233,0.7894736842105263,0.9047619047619048,0.8471177944862156,0.8725761772853186,0.8725761772853186,0.8847117794486216,0.8847117794486216,1.0,0.8823529411764706,0.9411764705882353,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.11764705882352944,0.05882352941176472,0.0,1.0,0.8823529411764706,0.8823529411764706,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
ZafarFairness-DIavgall,c=0.02154434690031884,1,0.85,0.9047619047619048,0.7894736842105263,0.8471177944862156,0.7013017821381075,0.5894736842105263,0.5894736842105263,0.706766917293233,0.7894736842105263,0.9047619047619048,0.8471177944862156,0.8725761772853186,0.8725761772853186,0.8847117794486216,0.8847117794486216,1.0,0.8823529411764706,0.9411764705882353,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.11764705882352944,0.05882352941176472,0.0,1.0,0.8823529411764706,0.8823529411764706,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
ZafarFairness-DIavgall,c=0.046415888336127795,1,0.85,0.9047619047619048,0.7894736842105263,0.8471177944862156,0.7013017821381075,0.5894736842105263,0.5894736842105263,0.706766917293233,0.7894736842105263,0.9047619047619048,0.8471177944862156,0.8725761772853186,0.8725761772853186,0.8847117794486216,0.8847117794486216,1.0,0.8823529411764706,0.9411764705882353,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.11764705882352944,0.05882352941176472,0.0,1.0,0.8823529411764706,0.8823529411764706,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
ZafarFairness-DIavgall,c=0.09999999999999998,1,0.85,0.9047619047619048,0.7894736842105263,0.8471177944862156,0.7013017821381075,0.5894736842105263,0.5894736842105263,0.706766917293233,0.7894736842105263,0.9047619047619048,0.8471177944862156,0.8725761772853186,0.8725761772853186,0.8847117794486216,0.8847117794486216,1.0,0.8823529411764706,0.9411764705882353,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,0.7333333333333333,1.0,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2666666666666667,0.0,0.13333333333333336,0.0,1.0,1.2666666666666666,1.2666666666666666,0.0,0.11764705882352944,0.05882352941176472,0.0,1.0,0.8823529411764706,0.8823529411764706,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
ZafarFairness-DIavgall,c=0.21544346900318834,1,0.875,0.9047619047619048,0.8421052631578947,0.8734335839598997,0.7496908723878579,0.5157894736842105,0.5157894736842105,0.6541353383458646,0.8421052631578947,0.9047619047619048,0.8734335839598997,0.9307479224376731,0.9307479224376731,0.9373433583959899,0.9373433583959899,1.0,0.8823529411764706,0.9411764705882353,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,0.8,1.0,0.9,0.8,0.8,0.8,0.8,0.19999999999999996,0.0,0.09999999999999998,0.0,1.0,1.2,1.2,0.0,0.11764705882352944,0.05882352941176472,0.0,1.0,0.8823529411764706,0.8823529411764706,0.5714285714285714,1.0,0.7857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
ZafarFairness-DIavgall,c=0.46415888336127786,1,0.875,0.9047619047619048,0.8421052631578947,0.8734335839598997,0.7496908723878579,0.5157894736842105,0.5157894736842105,0.6541353383458646,0.8421052631578947,0.9047619047619048,0.8734335839598997,0.9307479224376731,0.9307479224376731,0.9373433583959899,0.9373433583959899,1.0,0.8823529411764706,0.9411764705882353,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.1176470588235294,0.8,1.0,0.9,0.8,0.8,0.8,0.8,0.19999999999999996,0.0,0.09999999999999998,0.0,1.0,1.2,1.2,0.0,0.11764705882352944,0.05882352941176472,0.0,1.0,0.8823529411764706,0.8823529411764706,0.5714285714285714,1.0,0.7857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
ZafarFairness-DIavgall,c=1.0,1,0.95,1.0,0.8947368421052632,0.9473684210526316,0.9038438130805211,0.3900928792569659,0.3900928792569659,0.506265664160401,0.8947368421052632,1.0,0.9473684210526316,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.1333333333333333,0.0,0.06666666666666665,0.0,1.0,1.1333333333333333,1.1333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ZafarFairness-DIavgall,c=0.0010000000000000002,2,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,1.3333333333333333,1.3333333333333333,1.125,0.8125,0.75,0.78125,1.0833333333333333,1.0833333333333333,1.0625,1.0625,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.7272727272727273,1.0,0.8636363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.0,1.0,1.2727272727272727,1.2727272727272727,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.625,1.0,0.8125,0.625,0.625,0.625,0.625,0.0,0.4,0.2,0.0,1.0,0.6,0.6
ZafarFairness-DIavgall,c=0.0021544346900318843,2,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,1.3333333333333333,1.3333333333333333,1.125,0.8125,0.75,0.78125,1.0833333333333333,1.0833333333333333,1.0625,1.0625,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.7272727272727273,1.0,0.8636363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.0,1.0,1.2727272727272727,1.2727272727272727,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.625,1.0,0.8125,0.625,0.625,0.625,0.625,0.0,0.4,0.2,0.0,1.0,0.6,0.6
ZafarFairness-DIavgall,c=0.004641588833612781,2,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,1.3333333333333333,1.3333333333333333,1.125,0.8125,0.75,0.78125,1.0833333333333333,1.0833333333333333,1.0625,1.0625,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.7272727272727273,1.0,0.8636363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.0,1.0,1.2727272727272727,1.2727272727272727,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.625,1.0,0.8125,0.625,0.625,0.625,0.625,0.0,0.4,0.2,0.0,1.0,0.6,0.6
ZafarFairness-DIavgall,c=0.009999999999999995,2,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,1.3333333333333333,1.3333333333333333,1.125,0.8125,0.75,0.78125,1.0833333333333333,1.0833333333333333,1.0625,1.0625,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.7272727272727273,1.0,0.8636363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.0,1.0,1.2727272727272727,1.2727272727272727,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.625,1.0,0.8125,0.625,0.625,0.625,0.625,0.0,0.4,0.2,0.0,1.0,0.6,0.6
ZafarFairness-DIavgall,c=0.02154434690031884,2,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,1.3333333333333333,1.3333333333333333,1.125,0.8125,0.75,0.78125,1.0833333333333333,1.0833333333333333,1.0625,1.0625,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.7272727272727273,1.0,0.8636363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.0,1.0,1.2727272727272727,1.2727272727272727,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.625,1.0,0.8125,0.625,0.625,0.625,0.625,0.0,0.4,0.2,0.0,1.0,0.6,0.6
ZafarFairness-DIavgall,c=0.046415888336127795,2,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,1.3333333333333333,1.3333333333333333,1.125,0.8125,0.75,0.78125,1.0833333333333333,1.0833333333333333,1.0625,1.0625,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.7272727272727273,1.0,0.8636363636363636,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.0,0.13636363636363635,0.0,1.0,1.2727272727272727,1.2727272727272727,0.0,0.4,0.2,0.0,1.0,0.6,0.6,0.625,1.0,0.8125,0.625,0.625,0.625,0.625,0.0,0.4,0.2,0.0,1.0,0.6,0.6
