algorithm,params,accuracy,MCC,DisparateImpact,CV
SVM,{},0.7692307692307693,0.5160468465421402,1.0,1.0
SVM,{},0.9743589743589743,0.9465727652959384,0.5277777777777778,1.0
SVM,{},0.7692307692307693,0.6241515980843952,0.9411764705882353,1.0
SVM,{},0.8974358974358975,0.811107105653813,0.375,1.0
SVM,{},0.9230769230769231,0.8539125638299669,0.6493506493506493,1.0
SVM,{},0.8205128205128205,0.6839855680567692,0.6470588235294117,1.0
SVM,{},0.8205128205128205,0.6949493114282119,0.7394957983193278,1.0
SVM,{},0.717948717948718,0.4310225322189356,0.5833333333333334,1.0
SVM,{},0.8974358974358975,0.7936507936507936,0.5714285714285715,1.0
SVM,{},0.7692307692307693,0.5855981301780488,0.3764705882352941,1.0
GaussianNB,{},0.8717948717948718,0.7721873425053444,0.5,1.0
GaussianNB,{},0.9487179487179487,0.899346167730627,0.39583333333333337,1.0
GaussianNB,{},0.8974358974358975,0.8129388446970602,0.22222222222222224,1.0
GaussianNB,{},0.8974358974358975,0.7930598024533708,0.0,1.0
GaussianNB,{},0.9487179487179487,0.9023778112773573,0.4464285714285714,1.0
GaussianNB,{},0.9230769230769231,0.8469686474269932,0.8235294117647058,1.0
GaussianNB,{},0.8717948717948718,0.7705517503711222,0.32352941176470584,1.0
GaussianNB,{},0.8717948717948718,0.7440659145620313,0.31111111111111106,1.0
GaussianNB,{},0.9487179487179487,0.8968253968253969,0.4000000000000001,1.0
GaussianNB,{},0.8974358974358975,0.7885486707941244,0.10666666666666666,1.0
LR,{},0.7948717948717948,0.6593804733957875,0.8,1.0
LR,{},0.7948717948717948,0.6593804733957869,0.5066666666666667,1.0
LR,{},0.7692307692307693,0.5630532705768136,0.33333333333333337,1.0
LR,{},0.8205128205128205,0.6424675480244514,0.0,1.0
LR,{},0.8717948717948718,0.7539682539682537,0.4201680672268907,1.0
LR,{},0.7948717948717948,0.5915306653120389,0.7058823529411765,1.0
LR,{},0.717948717948718,0.5590169943749475,0.685121107266436,1.0
LR,{},0.7435897435897436,0.49076687981751027,0.5,1.0
LR,{},0.8717948717948718,0.7539682539682538,0.625,1.0
LR,{},0.6410256410256411,0.3344379456577831,0.7466666666666667,1.0
DecisionTree,{},1.0,1.0,0.7272727272727273,1.0
DecisionTree,{},1.0,1.0,0.47500000000000003,1.0
DecisionTree,{},0.9743589743589743,0.9488180829198524,0.2666666666666667,1.0
DecisionTree,{},0.9743589743589743,0.9465727652959383,0.15384615384615385,1.0
DecisionTree,{},0.9743589743589743,0.9498713802919556,0.47619047619047616,1.0
DecisionTree,{},0.9743589743589743,0.9498713802919554,0.8235294117647058,1.0
DecisionTree,{},0.9487179487179487,0.899346167730627,0.2773109243697479,1.0
DecisionTree,{},1.0,1.0,0.44871794871794873,1.0
DecisionTree,{},0.9743589743589743,0.9498713802919556,0.375,1.0
DecisionTree,{},1.0,1.0,0.12307692307692308,1.0
Kamishima,{'eta': 1.0},0.5641025641025641,0.16576086956521738,0.0,1.0
Kamishima,{'eta': 1.0},0.6666666666666666,0.3253000243161778,0.0,1.0
Kamishima,{'eta': 1.0},0.717948717948718,0.483695652173913,0.1904761904761905,1.0
Kamishima,{'eta': 1.0},0.6666666666666666,0.3487760554311396,0.0,1.0
Kamishima,{'eta': 1.0},0.6923076923076923,0.4147575310031265,0.07763975155279502,1.0
Kamishima,{'eta': 1.0},0.5897435897435898,0.177724459981644,0.0,1.0
Kamishima,{'eta': 1.0},0.7435897435897436,0.5522311464689714,0.19411764705882356,1.0
Kamishima,{'eta': 1.0},0.6153846153846154,0.21957751641342005,0.17948717948717946,1.0
Kamishima,{'eta': 1.0},0.6923076923076923,0.41475753100312657,0.08695652173913045,1.0
Kamishima,{'eta': 1.0},0.6410256410256411,0.3016246734088948,0.5333333333333333,1.0
Kamishima-accuracy,{'eta': 1.0},0.5641025641025641,0.16576086956521738,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6666666666666666,0.3253000243161778,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.717948717948718,0.483695652173913,0.1904761904761905,1.0
Kamishima-accuracy,{'eta': 1.0},0.6666666666666666,0.3487760554311396,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.6923076923076923,0.4147575310031265,0.07763975155279502,1.0
Kamishima-accuracy,{'eta': 1.0},0.5897435897435898,0.177724459981644,0.0,1.0
Kamishima-accuracy,{'eta': 1.0},0.7435897435897436,0.5522311464689714,0.19411764705882356,1.0
Kamishima-accuracy,{'eta': 1.0},0.6153846153846154,0.21957751641342005,0.17948717948717946,1.0
Kamishima-accuracy,{'eta': 1.0},0.6923076923076923,0.41475753100312657,0.08695652173913045,1.0
Kamishima-accuracy,{'eta': 1.0},0.6410256410256411,0.3016246734088948,0.5333333333333333,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.5641025641025641,0.16576086956521738,0.0,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.6666666666666666,0.3253000243161778,0.0,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.48717948717948717,0.24077170617153834,1.1304347826086958,1.0
Kamishima-DisparateImpact,{'eta': 300.0},0.38461538461538464,0.0,1.0,1.0
Kamishima-DisparateImpact,{'eta': 1.0},0.6923076923076923,0.4147575310031265,0.07763975155279502,1.0
