algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
Feldman-GaussianNB-accuracy,lambda=0.0,0,0.9,1.0,0.8,0.9,0.816496580927726,0.6862745098039216,0.6862745098039216,0.7866666666666666,0.8666666666666667,0.92,0.8933333333333333,0.9420289855072463,0.9420289855072463,0.9466666666666667,0.9466666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.8823529411764706,0.7983193277310925,0.8095238095238095,0.8095238095238095,0.8319327731092437,0.8319327731092437,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.05,0,0.9,1.0,0.8,0.9,0.816496580927726,0.6862745098039216,0.6862745098039216,0.7866666666666666,0.8666666666666667,0.92,0.8933333333333333,0.9420289855072463,0.9420289855072463,0.9466666666666667,0.9466666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.8823529411764706,0.7983193277310925,0.8095238095238095,0.8095238095238095,0.8319327731092437,0.8319327731092437,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.1,0,0.9,1.0,0.8,0.9,0.816496580927726,0.6862745098039216,0.6862745098039216,0.7866666666666666,0.8666666666666667,0.92,0.8933333333333333,0.9420289855072463,0.9420289855072463,0.9466666666666667,0.9466666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.8823529411764706,0.7983193277310925,0.8095238095238095,0.8095238095238095,0.8319327731092437,0.8319327731092437,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.15,0,0.9,1.0,0.8,0.9,0.816496580927726,0.6862745098039216,0.6862745098039216,0.7866666666666666,0.8666666666666667,0.92,0.8933333333333333,0.9420289855072463,0.9420289855072463,0.9466666666666667,0.9466666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.8823529411764706,0.7983193277310925,0.8095238095238095,0.8095238095238095,0.8319327731092437,0.8319327731092437,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.2,0,0.925,1.0,0.85,0.925,0.8597269536210952,0.7291666666666666,0.7291666666666666,0.8266666666666667,0.8666666666666667,0.96,0.9133333333333333,0.9027777777777778,0.9027777777777778,0.9066666666666667,0.9066666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.8500000000000001,0.888888888888889,0.888888888888889,0.9,0.9,0.19999999999999996,0.09999999999999998,0.14999999999999997,2.0,2.0,1.1,1.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.9375,0.8258928571428572,0.761904761904762,0.761904761904762,0.7767857142857143,0.7767857142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.25,0,0.9,1.0,0.8,0.9,0.816496580927726,0.8333333333333333,0.8333333333333333,0.8933333333333333,0.8,0.96,0.88,0.8333333333333334,0.8333333333333334,0.8400000000000001,0.8400000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.8,0.7777777777777777,0.7777777777777777,0.7999999999999999,0.7999999999999999,0.30000000000000004,0.09999999999999998,0.2,3.0000000000000013,3.0000000000000013,1.2000000000000002,1.2000000000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,0.9375,0.78125,0.6666666666666666,0.6666666666666666,0.6875,0.6875,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.3,0,0.875,1.0,0.75,0.875,0.7745966692414834,0.9375,0.9375,0.96,0.7333333333333333,0.96,0.8466666666666667,0.7638888888888888,0.7638888888888888,0.7733333333333333,0.7733333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.9,0.75,0.6666666666666666,0.6666666666666666,0.7,0.7,0.4,0.09999999999999998,0.25,4.000000000000001,4.000000000000001,1.3,1.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.9375,0.7465277777777778,0.5925925925925927,0.5925925925925927,0.6180555555555556,0.6180555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.35,0,0.875,1.0,0.75,0.875,0.7745966692414834,0.9375,0.9375,0.96,0.7333333333333333,0.96,0.8466666666666667,0.7638888888888888,0.7638888888888888,0.7733333333333333,0.7733333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.9,0.75,0.6666666666666666,0.6666666666666666,0.7,0.7,0.4,0.09999999999999998,0.25,4.000000000000001,4.000000000000001,1.3,1.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.9375,0.7465277777777778,0.5925925925925927,0.5925925925925927,0.6180555555555556,0.6180555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.4,0,0.875,1.0,0.75,0.875,0.7745966692414834,0.9375,0.9375,0.96,0.7333333333333333,0.96,0.8466666666666667,0.7638888888888888,0.7638888888888888,0.7733333333333333,0.7733333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.9,0.75,0.6666666666666666,0.6666666666666666,0.7,0.7,0.4,0.09999999999999998,0.25,4.000000000000001,4.000000000000001,1.3,1.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.9375,0.7465277777777778,0.5925925925925927,0.5925925925925927,0.6180555555555556,0.6180555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Feldman-GaussianNB-accuracy,lambda=0.45,0,0.875,1.0,0.75,0.875,0.7745966692414834,0.9375,0.9375,0.96,0.7333333333333333,0.96,0.8466666666666667,0.7638888888888888,0.7638888888888888,0.7733333333333333,0.7733333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.9,0.75,0.6666666666666666,0.6666666666666666,0.7,0.7,0.4,0.09999999999999998,0.25,4.000000000000001,4.000000000000001,1.3,1.3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.9375,0.7465277777777778,0.5925925925925927,0.5925925925925927,0.6180555555555556,0.6180555555555556,0.0,0.0,1.0,1.0,1.0,1.0,1.0
