algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,age-accuracy,0-accuracy_over_1-accuracy,age-accuracyRatio,diff:1-accuracyto0-accuracy,age-accuracyDiff,0-accuracy,1-accuracy,sex-age-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-age-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-age-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,age-TPR,0-TPR_over_1-TPR,age-TPRRatio,diff:1-TPRto0-TPR,age-TPRDiff,0-TPR,1-TPR,sex-age-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-age-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-age-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,age-TNR,0-TNR_over_1-TNR,age-TNRRatio,diff:1-TNRto0-TNR,age-TNRDiff,0-TNR,1-TNR,sex-age-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-age-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-age-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,age-FPR,0-FPR_over_1-FPR,age-FPRRatio,diff:1-FPRto0-FPR,age-FPRDiff,0-FPR,1-FPR,sex-age-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-age-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-age-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,age-FNR,0-FNR_over_1-FNR,age-FNRRatio,diff:1-FNRto0-FNR,age-FNRDiff,0-FNR,1-FNR,sex-age-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-age-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-age-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,age-calibration+,0-calibration+_over_1-calibration+,age-calibration+Ratio,diff:1-calibration+to0-calibration+,age-calibration+Diff,0-calibration+,1-calibration+,sex-age-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-age-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-age-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,age-calibration-,0-calibration-_over_1-calibration-,age-calibration-Ratio,diff:1-calibration-to0-calibration-,age-calibration-Diff,0-calibration-,1-calibration-,sex-age-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-age-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-age-calibration-Diff
Feldman-SVM-accuracy,lambda=0.0,0,0.6646706586826348,0.9559471365638766,0.04672897196261682,0.5013380542632467,0.006029309364701063,1.006492452523941,1.006492452523941,1.0061862047633776,0.625,0.6826086956521739,0.6538043478260869,0.9156050955414013,0.9156050955414013,0.9423913043478261,0.9423913043478261,0.5714285714285714,0.678082191780822,0.6247553816046967,0.8427128427128426,0.8427128427128426,0.8933463796477494,0.8933463796477494,0.6229508196721312,0.6886792452830188,0.655815032477575,None,None,1.0,None,None,1.0,0.9545454545454546,0.9565217391304348,0.9555335968379447,0.9979338842975207,0.9979338842975207,0.9980237154150198,0.9980237154150198,0.96,0.9554455445544554,0.9577227722772277,1.0047668393782383,1.0047668393782383,1.0045544554455446,1.0045544554455446,0.961038961038961,0.9533333333333334,0.9571861471861471,None,None,1.0,None,None,1.0,0.05263157894736842,0.043478260869565216,0.04805491990846682,1.2105263157894737,1.2105263157894737,1.0091533180778032,1.0091533180778032,0.0,0.05555555555555555,0.027777777777777776,0.0,1.0,0.9444444444444444,0.9444444444444444,0.044444444444444446,0.04838709677419355,0.04641577060931899,None,None,1.0,None,None,1.0,0.9473684210526316,0.9565217391304348,0.9519450800915332,0.9904306220095694,0.9904306220095694,0.9908466819221968,0.9908466819221968,1.0,0.9444444444444444,0.9722222222222222,1.0588235294117647,1.0588235294117647,1.0555555555555556,1.0555555555555556,0.9555555555555556,0.9516129032258065,0.9535842293906811,None,None,1.0,None,None,1.0,0.045454545454545414,0.04347826086956519,0.0444664031620553,1.0454545454545452,1.0454545454545452,1.0019762845849802,1.0019762845849802,0.040000000000000036,0.044554455445544594,0.042277227722772315,0.8977777777777778,0.8977777777777778,0.9954455445544554,0.9954455445544554,0.038961038961038974,0.046666666666666634,0.042813852813852804,None,None,1.0,None,None,1.0,0.6363636363636364,0.7,0.6681818181818182,0.9090909090909092,0.9090909090909092,0.9363636363636364,0.9363636363636364,0.5853658536585366,0.6942446043165468,0.6398052289875417,0.8431694679641096,0.8431694679641096,0.8911212493419898,0.8911212493419898,0.6324786324786325,0.7079207920792079,0.6701997122789202,None,None,1.0,None,None,1.0,0.6,0.7,0.6499999999999999,0.8571428571428572,0.8571428571428572,0.9,0.9,1.0,0.6428571428571429,0.8214285714285714,1.5555555555555554,1.5555555555555554,1.3571428571428572,1.3571428571428572,0.6,0.7,0.6499999999999999,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.05,0,0.6766467065868264,0.9823788546255506,0.028037383177570093,0.5052081189015604,0.03393069906582353,1.0073651698740793,1.0073651698740793,1.0071914630374266,0.6346153846153846,0.6956521739130435,0.665133779264214,0.9122596153846153,0.9122596153846153,0.9389632107023411,0.9389632107023411,0.5952380952380952,0.6883561643835616,0.6417971298108285,0.8647239990523573,0.8647239990523573,0.9068819308545336,0.9068819308545336,0.6311475409836066,0.7028301886792453,0.6669888648314259,None,None,1.0,None,None,1.0,0.9848484848484849,0.9813664596273292,0.983107472237907,1.003548139624089,1.003548139624089,1.0034820252211558,1.0034820252211558,1.0,0.9801980198019802,0.9900990099009901,1.02020202020202,1.02020202020202,1.0198019801980198,1.0198019801980198,0.987012987012987,0.98,0.9835064935064934,None,None,1.0,None,None,1.0,0.02631578947368421,0.028985507246376812,0.027650648360030512,0.9078947368421052,0.9078947368421052,0.9973302822273074,0.9973302822273074,0.0,0.03333333333333333,0.016666666666666666,0.0,1.0,0.9666666666666667,0.9666666666666667,0.022222222222222223,0.03225806451612903,0.02724014336917563,None,None,1.0,None,None,1.0,0.9736842105263158,0.9710144927536232,0.9723493516399695,1.0027494108405341,1.0027494108405341,1.0026697177726926,1.0026697177726926,1.0,0.9666666666666667,0.9833333333333334,1.0344827586206897,1.0344827586206897,1.0333333333333332,1.0333333333333332,0.9777777777777777,0.967741935483871,0.9727598566308244,None,None,1.0,None,None,1.0,0.015151515151515138,0.018633540372670843,0.01689252776209299,0.8131313131313109,0.8131313131313109,0.9965179747788443,0.9965179747788443,0.0,0.01980198019801982,0.00990099009900991,0.0,1.0,0.9801980198019802,0.9801980198019802,0.012987012987012991,0.020000000000000018,0.016493506493506505,None,None,1.0,None,None,1.0,0.6372549019607843,0.7022222222222222,0.6697385620915033,0.9074832464631422,0.9074832464631422,0.9350326797385621,0.9350326797385621,0.5952380952380952,0.6947368421052632,0.6449874686716792,0.8567821067821068,0.8567821067821068,0.900501253132832,0.900501253132832,0.6333333333333333,0.7101449275362319,0.6717391304347826,None,None,1.0,None,None,1.0,0.5,0.6,0.55,0.8333333333333334,0.8333333333333334,0.9,0.9,1.0,0.5714285714285714,0.7857142857142857,1.75,1.75,1.4285714285714286,1.4285714285714286,0.5,0.6,0.55,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.1,0,0.6706586826347305,0.986784140969163,0.0,0.4933920704845815,-0.06536203884328375,1.001249024199844,1.001249024199844,1.0012372409526755,0.625,0.691304347826087,0.6581521739130435,0.9040880503144654,0.9040880503144654,0.933695652173913,0.933695652173913,0.5952380952380952,0.6815068493150684,0.6383724722765818,0.87341469251017,0.87341469251017,0.9137312459230268,0.9137312459230268,0.6229508196721312,0.6981132075471698,0.6605320136096504,None,None,1.0,None,None,1.0,0.9848484848484849,0.9875776397515528,0.9862130623000188,0.9972365161044406,0.9972365161044406,0.9972708450969321,0.9972708450969321,1.0,0.9851485148514851,0.9925742574257426,1.015075376884422,1.015075376884422,1.0148514851485149,1.0148514851485149,0.987012987012987,0.9866666666666667,0.9868398268398269,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.015151515151515138,0.012422360248447228,0.013786937699981183,1.2196969696969664,1.2196969696969664,1.002729154903068,1.002729154903068,0.0,0.014851485148514865,0.007425742574257432,0.0,1.0,0.9851485148514851,0.9851485148514851,0.012987012987012991,0.013333333333333308,0.01316017316017315,None,None,1.0,None,None,1.0,0.6310679611650486,0.6973684210526315,0.6642181911088401,0.9049276424253527,0.9049276424253527,0.9336995401124171,0.9336995401124171,0.5952380952380952,0.6885813148788927,0.641909705058494,0.86444125388849,0.86444125388849,0.9066567803592025,0.9066567803592025,0.628099173553719,0.7047619047619048,0.6664305391578119,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.15,0,0.6706586826347305,0.9779735682819384,0.018691588785046728,0.49833257853349255,-0.010863188238465276,1.0206907528250835,1.0206907528250835,1.0201051654809774,0.625,0.691304347826087,0.6581521739130435,0.9040880503144654,0.9040880503144654,0.933695652173913,0.933695652173913,0.5952380952380952,0.6815068493150684,0.6383724722765818,0.87341469251017,0.87341469251017,0.9137312459230268,0.9137312459230268,0.6229508196721312,0.6981132075471698,0.6605320136096504,None,None,1.0,None,None,1.0,0.9848484848484849,0.9751552795031055,0.9800018821757952,1.0099401659911216,1.0099401659911216,1.0096932053453793,1.0096932053453793,1.0,0.9752475247524752,0.9876237623762376,1.0253807106598984,1.0253807106598984,1.0247524752475248,1.0247524752475248,0.987012987012987,0.9733333333333334,0.9801731601731603,None,None,1.0,None,None,1.0,0.0,0.028985507246376812,0.014492753623188406,0.0,1.0,0.9710144927536232,0.9710144927536232,0.0,0.022222222222222223,0.011111111111111112,0.0,1.0,0.9777777777777777,0.9777777777777777,0.0,0.03225806451612903,0.016129032258064516,None,None,1.0,None,None,1.0,1.0,0.9710144927536232,0.9855072463768115,1.0298507462686568,1.0298507462686568,1.028985507246377,1.028985507246377,1.0,0.9777777777777777,0.9888888888888889,1.0227272727272727,1.0227272727272727,1.0222222222222221,1.0222222222222221,1.0,0.967741935483871,0.9838709677419355,None,None,1.0,None,None,1.0,0.015151515151515138,0.024844720496894457,0.019998117824204797,0.6098484848484832,0.6098484848484832,0.9903067946546207,0.9903067946546207,0.0,0.024752475247524774,0.012376237623762387,0.0,1.0,0.9752475247524752,0.9752475247524752,0.012987012987012991,0.026666666666666616,0.019826839826839804,None,None,1.0,None,None,1.0,0.6310679611650486,0.7008928571428571,0.6659804091539528,0.9003772184775216,0.9003772184775216,0.9301751040221915,0.9301751040221915,0.5952380952380952,0.6912280701754386,0.6432330827067669,0.8611312545322697,0.8611312545322697,0.9040100250626566,0.9040100250626566,0.628099173553719,0.7087378640776699,0.6684185188156945,None,None,1.0,None,None,1.0,1.0,0.6666666666666666,0.8333333333333333,1.5,1.5,1.3333333333333335,1.3333333333333335,1.0,0.7142857142857143,0.8571428571428572,1.4,1.4,1.2857142857142856,1.2857142857142856,1.0,0.6666666666666666,0.8333333333333333,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.2,0,0.6646706586826348,0.960352422907489,0.037383177570093455,0.49886780023879124,-0.005463031185808048,1.0100944843737383,1.0100944843737383,1.0096659449427776,0.625,0.6826086956521739,0.6538043478260869,0.9156050955414013,0.9156050955414013,0.9423913043478261,0.9423913043478261,0.5714285714285714,0.678082191780822,0.6247553816046967,0.8427128427128426,0.8427128427128426,0.8933463796477494,0.8933463796477494,0.6147540983606558,0.6933962264150944,0.6540751623878751,None,None,1.0,None,None,1.0,0.9696969696969697,0.9565217391304348,0.9631093544137023,1.0137741046831956,1.0137741046831956,1.013175230566535,1.013175230566535,0.96,0.9603960396039604,0.9601980198019802,0.9995876288659794,0.9995876288659794,0.9996039603960396,0.9996039603960396,0.961038961038961,0.96,0.9605194805194806,None,None,1.0,None,None,1.0,0.02631578947368421,0.043478260869565216,0.03489702517162471,0.6052631578947368,0.6052631578947368,0.982837528604119,0.982837528604119,0.0,0.044444444444444446,0.022222222222222223,0.0,1.0,0.9555555555555556,0.9555555555555556,0.022222222222222223,0.04838709677419355,0.03530465949820789,None,None,1.0,None,None,1.0,0.9736842105263158,0.9565217391304348,0.9651029748283753,1.0179425837320575,1.0179425837320575,1.017162471395881,1.017162471395881,1.0,0.9555555555555556,0.9777777777777779,1.0465116279069766,1.0465116279069766,1.0444444444444443,1.0444444444444443,0.9777777777777777,0.9516129032258065,0.9646953405017922,None,None,1.0,None,None,1.0,0.030303030303030276,0.04347826086956519,0.03689064558629773,0.6969696969696968,0.6969696969696968,0.9868247694334651,0.9868247694334651,0.040000000000000036,0.03960396039603964,0.03980198019801984,1.01,1.01,1.0003960396039604,1.0003960396039604,0.038961038961038974,0.040000000000000036,0.039480519480519505,None,None,1.0,None,None,1.0,0.6336633663366337,0.7,0.6668316831683168,0.9052333804809053,0.9052333804809053,0.9336633663366337,0.9336633663366337,0.5853658536585366,0.6928571428571428,0.6391114982578396,0.8448579331154136,0.8448579331154136,0.8925087108013937,0.8925087108013937,0.6271186440677966,0.7093596059113301,0.6682391249895634,None,None,1.0,None,None,1.0,0.6666666666666666,0.7,0.6833333333333333,0.9523809523809524,0.9523809523809524,0.9666666666666667,0.9666666666666667,1.0,0.6666666666666666,0.8333333333333333,1.5,1.5,1.3333333333333335,1.3333333333333335,0.75,0.6666666666666666,0.7083333333333333,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.25,0,0.6586826347305389,0.9559471365638766,0.028037383177570093,0.49199225987072337,-0.038638529659624214,1.0100944843737383,1.0100944843737383,1.0096659449427776,0.6346153846153846,0.6695652173913044,0.6520903010033445,0.9478021978021978,0.9478021978021978,0.9650501672240802,0.9650501672240802,0.5714285714285714,0.6712328767123288,0.6213307240704501,0.8513119533527697,0.8513119533527697,0.9001956947162426,0.9001956947162426,0.6311475409836066,0.6745283018867925,0.6528379214351996,None,None,1.0,None,None,1.0,0.9696969696969697,0.9503105590062112,0.9600037643515904,1.0204000792236085,1.0204000792236085,1.0193864106907586,1.0193864106907586,0.96,0.9554455445544554,0.9577227722772277,1.0047668393782383,1.0047668393782383,1.0045544554455446,1.0045544554455446,0.974025974025974,0.9466666666666667,0.9603463203463203,None,None,1.0,None,None,1.0,0.05263157894736842,0.014492753623188406,0.03356216628527841,3.631578947368421,3.631578947368421,1.0381388253241801,1.0381388253241801,0.0,0.03333333333333333,0.016666666666666666,0.0,1.0,0.9666666666666667,0.9666666666666667,0.044444444444444446,0.016129032258064516,0.03028673835125448,None,None,1.0,None,None,1.0,0.9473684210526316,0.9855072463768116,0.9664378337147217,0.9613003095975232,0.9613003095975232,0.96186117467582,0.96186117467582,1.0,0.9666666666666667,0.9833333333333334,1.0344827586206897,1.0344827586206897,1.0333333333333332,1.0333333333333332,0.9555555555555556,0.9838709677419355,0.9697132616487456,None,None,1.0,None,None,1.0,0.030303030303030276,0.0496894409937888,0.03999623564840954,0.6098484848484845,0.6098484848484845,0.9806135893092415,0.9806135893092415,0.040000000000000036,0.044554455445544594,0.042277227722772315,0.8977777777777778,0.8977777777777778,0.9954455445544554,0.9954455445544554,0.025974025974025983,0.053333333333333344,0.03965367965367966,None,None,1.0,None,None,1.0,0.64,0.6923076923076923,0.6661538461538461,0.9244444444444445,0.9244444444444445,0.9476923076923077,0.9476923076923077,0.5853658536585366,0.6892857142857143,0.6373257839721254,0.8492354353595349,0.8492354353595349,0.8960801393728223,0.8960801393728223,0.635593220338983,0.6995073891625616,0.6675503047507723,None,None,1.0,None,None,1.0,0.5,0.8888888888888888,0.6944444444444444,0.5625,0.5625,0.6111111111111112,0.6111111111111112,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,0.5,0.8888888888888888,0.6944444444444444,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.3,0,0.6646706586826348,0.9647577092511013,0.028037383177570093,0.4963975462143357,-0.018838036216520426,1.0272147298715981,1.0272147298715981,1.0260593875657285,0.6346153846153846,0.6782608695652174,0.656438127090301,0.9356508875739645,0.9356508875739645,0.9563545150501672,0.9563545150501672,0.5714285714285714,0.678082191780822,0.6247553816046967,0.8427128427128426,0.8427128427128426,0.8933463796477494,0.8933463796477494,0.6311475409836066,0.6839622641509434,0.657554902567275,None,None,1.0,None,None,1.0,0.9848484848484849,0.9565217391304348,0.9706851119894598,1.0296143250688705,1.0296143250688705,1.02832674571805,1.02832674571805,0.96,0.9653465346534653,0.9626732673267326,0.9944615384615385,0.9944615384615385,0.9946534653465346,0.9946534653465346,0.987012987012987,0.9533333333333334,0.9701731601731602,None,None,1.0,None,None,1.0,0.02631578947368421,0.028985507246376812,0.027650648360030512,0.9078947368421052,0.9078947368421052,0.9973302822273074,0.9973302822273074,0.0,0.03333333333333333,0.016666666666666666,0.0,1.0,0.9666666666666667,0.9666666666666667,0.022222222222222223,0.03225806451612903,0.02724014336917563,None,None,1.0,None,None,1.0,0.9736842105263158,0.9710144927536232,0.9723493516399695,1.0027494108405341,1.0027494108405341,1.0026697177726926,1.0026697177726926,1.0,0.9666666666666667,0.9833333333333334,1.0344827586206897,1.0344827586206897,1.0333333333333332,1.0333333333333332,0.9777777777777777,0.967741935483871,0.9727598566308244,None,None,1.0,None,None,1.0,0.015151515151515138,0.04347826086956519,0.029314888010540163,0.3484848484848484,0.3484848484848484,0.97167325428195,0.97167325428195,0.040000000000000036,0.034653465346534684,0.03732673267326736,1.1542857142857144,1.1542857142857144,1.0053465346534654,1.0053465346534654,0.012987012987012991,0.046666666666666634,0.029826839826839813,None,None,1.0,None,None,1.0,0.6372549019607843,0.6968325791855203,0.6670437405731523,0.9145021645021645,0.9145021645021645,0.9404223227752639,0.9404223227752639,0.5853658536585366,0.6914893617021277,0.6384276076803321,0.846529080675422,0.846529080675422,0.8938764919564088,0.8938764919564088,0.6333333333333333,0.7044334975369458,0.6688834154351395,None,None,1.0,None,None,1.0,0.5,0.7777777777777778,0.6388888888888888,0.6428571428571428,0.6428571428571428,0.7222222222222222,0.7222222222222222,1.0,0.7,0.85,1.4285714285714286,1.4285714285714286,1.3,1.3,0.5,0.7777777777777778,0.6388888888888888,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.35,0,0.6646706586826348,0.9691629955947136,0.018691588785046728,0.4939272921898802,-0.03499888939859775,1.0038198312907847,1.0038198312907847,1.0037117228580266,0.625,0.6826086956521739,0.6538043478260869,0.9156050955414013,0.9156050955414013,0.9423913043478261,0.9423913043478261,0.5952380952380952,0.6746575342465754,0.6349478147423353,0.8822818467488518,0.8822818467488518,0.9205805609915199,0.9205805609915199,0.6229508196721312,0.6886792452830188,0.655815032477575,None,None,1.0,None,None,1.0,0.9696969696969697,0.968944099378882,0.9693205345379259,1.0007770007770007,1.0007770007770007,1.0007528703180877,1.0007528703180877,1.0,0.9653465346534653,0.9826732673267327,1.035897435897436,1.035897435897436,1.0346534653465347,1.0346534653465347,0.974025974025974,0.9666666666666667,0.9703463203463203,None,None,1.0,None,None,1.0,0.02631578947368421,0.014492753623188406,0.02040427154843631,1.8157894736842104,1.8157894736842104,1.0118230358504958,1.0118230358504958,0.0,0.022222222222222223,0.011111111111111112,0.0,1.0,0.9777777777777777,0.9777777777777777,0.022222222222222223,0.016129032258064516,0.01917562724014337,None,None,1.0,None,None,1.0,0.9736842105263158,0.9855072463768116,0.9795957284515637,0.9880030959752322,0.9880030959752322,0.9881769641495042,0.9881769641495042,1.0,0.9777777777777777,0.9888888888888889,1.0227272727272727,1.0227272727272727,1.0222222222222221,1.0222222222222221,0.9777777777777777,0.9838709677419355,0.9808243727598567,None,None,1.0,None,None,1.0,0.030303030303030276,0.03105590062111796,0.030679465462074118,0.9757575757575765,0.9757575757575765,0.9992471296819123,0.9992471296819123,0.0,0.034653465346534684,0.017326732673267342,0.0,1.0,0.9653465346534653,0.9653465346534653,0.025974025974025983,0.033333333333333326,0.029653679653679654,None,None,1.0,None,None,1.0,0.6336633663366337,0.6964285714285714,0.6650459688826025,0.9098756029449099,0.9098756029449099,0.9372347949080623,0.9372347949080623,0.5952380952380952,0.6890459363957597,0.6421420158169275,0.8638583638583638,0.8638583638583638,0.9061921588423355,0.9061921588423355,0.6302521008403361,0.7038834951456311,0.6670677979929835,None,None,1.0,None,None,1.0,0.6666666666666666,0.8333333333333334,0.75,0.7999999999999999,0.7999999999999999,0.8333333333333333,0.8333333333333333,1.0,0.7777777777777778,0.8888888888888888,1.2857142857142856,1.2857142857142856,1.2222222222222223,1.2222222222222223,0.6666666666666666,0.8333333333333334,0.75,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.4,0,0.6736526946107785,0.9647577092511013,0.056074766355140186,0.5104162378031207,0.04850725428249241,0.9616425274550374,0.9616425274550374,0.9627281163006496,0.6538461538461539,0.6826086956521739,0.6682274247491639,0.9578637922586968,0.9578637922586968,0.97123745819398,0.97123745819398,0.5714285714285714,0.6883561643835616,0.6298923679060665,0.830135039090263,0.830135039090263,0.8830724070450098,0.8830724070450098,0.6475409836065574,0.6886792452830188,0.6681101144447881,None,None,1.0,None,None,1.0,0.9696969696969697,0.9627329192546584,0.9662149444758141,1.0072336265884654,1.0072336265884654,1.0069640504423112,1.0069640504423112,0.92,0.9702970297029703,0.9451485148514851,0.9481632653061225,0.9481632653061225,0.9497029702970298,0.9497029702970298,0.961038961038961,0.9666666666666667,0.9638528138528139,None,None,1.0,None,None,1.0,0.10526315789473684,0.028985507246376812,0.06712433257055682,3.631578947368421,3.631578947368421,1.07627765064836,1.07627765064836,0.058823529411764705,0.05555555555555555,0.05718954248366013,1.0588235294117647,1.0588235294117647,1.0032679738562091,1.0032679738562091,0.1111111111111111,0.016129032258064516,0.0636200716845878,None,None,1.0,None,None,1.0,0.8947368421052632,0.9710144927536232,0.9328756674294432,0.9214454045561665,0.9214454045561665,0.92372234935164,0.92372234935164,0.9411764705882353,0.9444444444444444,0.9428104575163399,0.9965397923875433,0.9965397923875433,0.9967320261437909,0.9967320261437909,0.8888888888888888,0.9838709677419355,0.9363799283154122,None,None,1.0,None,None,1.0,0.030303030303030276,0.037267080745341574,0.033785055524185925,0.8131313131313133,0.8131313131313133,0.9930359495576887,0.9930359495576887,0.07999999999999996,0.02970297029702973,0.054851485148514845,2.69333333333333,2.69333333333333,1.0502970297029703,1.0502970297029703,0.038961038961038974,0.033333333333333326,0.03614718614718615,None,None,1.0,None,None,1.0,0.6530612244897959,0.6981981981981982,0.6756297113439971,0.9353522053982883,0.9353522053982883,0.9548630262915977,0.9548630262915977,0.5897435897435898,0.697508896797153,0.6436262432703714,0.8454997383568813,0.8454997383568813,0.8922346929464368,0.8922346929464368,0.6491228070175439,0.7038834951456311,0.6765031510815875,None,None,1.0,None,None,1.0,0.3333333333333333,0.75,0.5416666666666666,0.4444444444444444,0.4444444444444444,0.5833333333333333,0.5833333333333333,0.6666666666666666,0.5454545454545454,0.606060606060606,1.2222222222222223,1.2222222222222223,1.121212121212121,1.121212121212121,0.375,0.8333333333333334,0.6041666666666667,None,None,1.0,None,None,1.0
Feldman-SVM-accuracy,lambda=0.45,0,0.6676646706586826,0.9559471365638766,0.056074766355140186,0.5060109514595084,0.026266637630801812,1.011499877660876,1.011499877660876,1.0109031858954531,0.625,0.6869565217391305,0.6559782608695652,0.9098101265822784,0.9098101265822784,0.9380434782608695,0.9380434782608695,0.6190476190476191,0.6746575342465754,0.6468525766470972,0.9175731206188059,0.9175731206188059,0.9443900848010437,0.9443900848010437,0.639344262295082,0.6839622641509434,0.6616532632230128,None,None,1.0,None,None,1.0,0.9696969696969697,0.9503105590062112,0.9600037643515904,1.0204000792236085,1.0204000792236085,1.0193864106907586,1.0193864106907586,0.96,0.9554455445544554,0.9577227722772277,1.0047668393782383,1.0047668393782383,1.0045544554455446,1.0045544554455446,0.974025974025974,0.9466666666666667,0.9603463203463203,None,None,1.0,None,None,1.0,0.02631578947368421,0.07246376811594203,0.04938977879481312,0.36315789473684207,0.36315789473684207,0.9538520213577422,0.9538520213577422,0.11764705882352941,0.044444444444444446,0.08104575163398693,2.6470588235294117,2.6470588235294117,1.073202614379085,1.073202614379085,0.06666666666666667,0.04838709677419355,0.057526881720430106,None,None,1.0,None,None,1.0,0.9736842105263158,0.927536231884058,0.9506102212051869,1.0497532894736843,1.0497532894736843,1.0461479786422578,1.0461479786422578,0.8823529411764706,0.9555555555555556,0.9189542483660131,0.923392612859097,0.923392612859097,0.926797385620915,0.926797385620915,0.9333333333333333,0.9516129032258065,0.9424731182795699,None,None,1.0,None,None,1.0,0.030303030303030276,0.0496894409937888,0.03999623564840954,0.6098484848484845,0.6098484848484845,0.9806135893092415,0.9806135893092415,0.040000000000000036,0.044554455445544594,0.042277227722772315,0.8977777777777778,0.8977777777777778,0.9954455445544554,0.9954455445544554,0.025974025974025983,0.053333333333333344,0.03965367965367966,None,None,1.0,None,None,1.0,0.6336633663366337,0.7050691244239631,0.6693662453802984,0.8987251666343106,0.8987251666343106,0.9285942419126706,0.9285942419126706,0.6153846153846154,0.6917562724014337,0.6535704438930245,0.8895974491829415,0.8895974491829415,0.9236283429831817,0.9236283429831817,0.6410256410256411,0.7064676616915423,0.6737466513585917,None,None,1.0,None,None,1.0,0.6666666666666666,0.6153846153846154,0.641025641025641,1.0833333333333333,1.0833333333333333,1.051282051282051,1.051282051282051,0.3333333333333333,0.6923076923076923,0.5128205128205128,0.48148148148148145,0.48148148148148145,0.641025641025641,0.641025641025641,0.4,0.7272727272727273,0.5636363636363637,None,None,1.0,None,None,1.0
