algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
Feldman-SVM-accuracy,lambda=0.0,0,0.75,0.6,0.9,0.75,0.5241424183609591,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.64,0.7866666666666666,1.4583333333333333,1.4583333333333333,1.2933333333333334,1.2933333333333334,0.8,0.5333333333333333,0.6666666666666667,1.5,1.5,1.2666666666666666,1.2666666666666666,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.19999999999999996,0.4666666666666667,0.3333333333333333,0.4285714285714285,0.4285714285714285,0.7333333333333333,0.7333333333333333,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.09090909090909091,0.4666666666666667,0.2787878787878788,0.19480519480519481,0.19480519480519481,0.6242424242424243,0.6242424242424243
Feldman-SVM-accuracy,lambda=0.05,0,0.75,0.6,0.9,0.75,0.5241424183609591,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.64,0.7866666666666666,1.4583333333333333,1.4583333333333333,1.2933333333333334,1.2933333333333334,0.8,0.5333333333333333,0.6666666666666667,1.5,1.5,1.2666666666666666,1.2666666666666666,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.19999999999999996,0.4666666666666667,0.3333333333333333,0.4285714285714285,0.4285714285714285,0.7333333333333333,0.7333333333333333,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.09090909090909091,0.4666666666666667,0.2787878787878788,0.19480519480519481,0.19480519480519481,0.6242424242424243,0.6242424242424243
Feldman-SVM-accuracy,lambda=0.1,0,0.775,0.7,0.85,0.7749999999999999,0.556293911166591,0.6944444444444444,0.6944444444444444,0.8533333333333333,0.8666666666666667,0.72,0.7933333333333333,1.2037037037037037,1.2037037037037037,1.1466666666666667,1.1466666666666667,0.8,0.6666666666666666,0.7333333333333334,1.2000000000000002,1.2000000000000002,1.1333333333333333,1.1333333333333333,0.9,0.8,0.8500000000000001,1.125,1.125,1.1,1.1,0.09999999999999998,0.19999999999999996,0.14999999999999997,0.5,0.5,0.9,0.9,0.19999999999999996,0.33333333333333337,0.26666666666666666,0.5999999999999998,0.5999999999999998,0.8666666666666666,0.8666666666666666,0.8,0.8333333333333334,0.8166666666666667,0.96,0.96,0.9666666666666667,0.9666666666666667,0.1,0.38461538461538464,0.24230769230769234,0.26,0.26,0.7153846153846154,0.7153846153846154
Feldman-SVM-accuracy,lambda=0.15,0,0.725,0.6,0.85,0.725,0.46475800154489,0.8333333333333333,0.8333333333333333,0.9333333333333333,0.8666666666666667,0.64,0.7533333333333334,1.3541666666666667,1.3541666666666667,1.2266666666666666,1.2266666666666666,0.8,0.5333333333333333,0.6666666666666667,1.5,1.5,1.2666666666666666,1.2666666666666666,0.9,0.8,0.8500000000000001,1.125,1.125,1.1,1.1,0.09999999999999998,0.19999999999999996,0.14999999999999997,0.5,0.5,0.9,0.9,0.19999999999999996,0.4666666666666667,0.3333333333333333,0.4285714285714285,0.4285714285714285,0.7333333333333333,0.7333333333333333,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.1,0.4666666666666667,0.2833333333333333,0.2142857142857143,0.2142857142857143,0.6333333333333333,0.6333333333333333
Feldman-SVM-accuracy,lambda=0.2,0,0.875,0.85,0.9,0.875,0.7509392614826383,0.7692307692307693,0.7692307692307693,0.88,0.9333333333333333,0.84,0.8866666666666667,1.1111111111111112,1.1111111111111112,1.0933333333333333,1.0933333333333333,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,1.0,1.0,1.0,1.0,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.8333333333333334,0.9230769230769231,0.8782051282051282,0.9027777777777778,0.9027777777777778,0.9102564102564102,0.9102564102564102,0.0,0.25,0.125,0.0,1.0,0.75,0.75
Feldman-SVM-accuracy,lambda=0.25,0,0.775,0.8,0.75,0.775,0.5506887917539348,1.0256410256410255,1.0256410256410255,1.0133333333333332,0.8,0.76,0.78,1.0526315789473684,1.0526315789473684,1.04,1.04,1.0,0.7333333333333333,0.8666666666666667,1.3636363636363638,1.3636363636363638,1.2666666666666666,1.2666666666666666,0.7,0.8,0.75,0.8749999999999999,0.8749999999999999,0.8999999999999999,0.8999999999999999,0.30000000000000004,0.19999999999999996,0.25,1.5000000000000007,1.5000000000000007,1.1,1.1,0.0,0.2666666666666667,0.13333333333333336,0.0,1.0,0.7333333333333333,0.7333333333333333,0.625,0.8461538461538461,0.7355769230769231,0.7386363636363636,0.7386363636363636,0.7788461538461539,0.7788461538461539,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
Feldman-SVM-accuracy,lambda=0.3,0,0.775,0.75,0.8,0.775,0.5506887917539348,1.2121212121212122,1.2121212121212122,1.0933333333333333,0.8,0.76,0.78,1.0526315789473684,1.0526315789473684,1.04,1.04,1.0,0.6666666666666666,0.8333333333333333,1.5,1.5,1.3333333333333335,1.3333333333333335,0.7,0.9,0.8,0.7777777777777777,0.7777777777777777,0.7999999999999999,0.7999999999999999,0.30000000000000004,0.09999999999999998,0.2,3.0000000000000013,3.0000000000000013,1.2000000000000002,1.2000000000000002,0.0,0.33333333333333337,0.16666666666666669,0.0,1.0,0.6666666666666666,0.6666666666666666,0.625,0.9090909090909091,0.7670454545454546,0.6875,0.6875,0.7159090909090909,0.7159090909090909,0.0,0.35714285714285715,0.17857142857142858,0.0,1.0,0.6428571428571428,0.6428571428571428
Feldman-SVM-accuracy,lambda=0.35,0,0.775,0.8,0.75,0.775,0.5506887917539348,1.0256410256410255,1.0256410256410255,1.0133333333333332,0.8,0.76,0.78,1.0526315789473684,1.0526315789473684,1.04,1.04,1.0,0.7333333333333333,0.8666666666666667,1.3636363636363638,1.3636363636363638,1.2666666666666666,1.2666666666666666,0.7,0.8,0.75,0.8749999999999999,0.8749999999999999,0.8999999999999999,0.8999999999999999,0.30000000000000004,0.19999999999999996,0.25,1.5000000000000007,1.5000000000000007,1.1,1.1,0.0,0.2666666666666667,0.13333333333333336,0.0,1.0,0.7333333333333333,0.7333333333333333,0.625,0.8461538461538461,0.7355769230769231,0.7386363636363636,0.7386363636363636,0.7788461538461539,0.7788461538461539,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.6666666666666667,0.6666666666666667
Feldman-SVM-accuracy,lambda=0.4,0,0.7,0.6,0.8,0.7,0.4082482904638631,1.6666666666666665,1.6666666666666665,1.2133333333333334,0.8,0.64,0.72,1.25,1.25,1.1600000000000001,1.1600000000000001,1.0,0.4666666666666667,0.7333333333333334,2.142857142857143,2.142857142857143,1.5333333333333332,1.5333333333333332,0.7,0.9,0.8,0.7777777777777777,0.7777777777777777,0.7999999999999999,0.7999999999999999,0.30000000000000004,0.09999999999999998,0.2,3.0000000000000013,3.0000000000000013,1.2000000000000002,1.2000000000000002,0.0,0.5333333333333333,0.26666666666666666,0.0,1.0,0.4666666666666667,0.4666666666666667,0.625,0.875,0.75,0.7142857142857143,0.7142857142857143,0.75,0.75,0.0,0.47058823529411764,0.23529411764705882,0.0,1.0,0.5294117647058824,0.5294117647058824
Feldman-SVM-accuracy,lambda=0.45,0,0.725,0.65,0.8,0.7250000000000001,0.4551495636817563,1.4814814814814816,1.4814814814814816,1.1733333333333333,0.8,0.68,0.74,1.1764705882352942,1.1764705882352942,1.12,1.12,1.0,0.5333333333333333,0.7666666666666666,1.875,1.875,1.4666666666666668,1.4666666666666668,0.7,0.9,0.8,0.7777777777777777,0.7777777777777777,0.7999999999999999,0.7999999999999999,0.30000000000000004,0.09999999999999998,0.2,3.0000000000000013,3.0000000000000013,1.2000000000000002,1.2000000000000002,0.0,0.4666666666666667,0.23333333333333334,0.0,1.0,0.5333333333333333,0.5333333333333333,0.625,0.8888888888888888,0.7569444444444444,0.703125,0.703125,0.7361111111111112,0.7361111111111112,0.0,0.4375,0.21875,0.0,1.0,0.5625,0.5625
