algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
Kamishima-accuracy,eta=0.0,0,0.75,0.8,0.7,0.75,0.502518907629606,0.07936507936507936,0.07936507936507936,0.22666666666666668,0.7333333333333333,0.76,0.7466666666666666,0.9649122807017543,0.9649122807017543,0.9733333333333333,0.9733333333333333,0.2,1.0,0.6,0.2,0.2,0.19999999999999996,0.19999999999999996,1.0,0.4,0.7,2.5,2.5,1.6,1.6,0.0,0.6,0.3,0.0,1.0,0.4,0.4,0.8,0.0,0.4,0.0,1.0,1.8,1.8,1.0,0.7142857142857143,0.8571428571428572,1.4,1.4,1.2857142857142856,1.2857142857142856,0.2857142857142857,0.0,0.14285714285714285,0.0,1.0,1.2857142857142856,1.2857142857142856
Kamishima-accuracy,eta=1.0,0,0.75,0.8,0.7,0.75,0.502518907629606,0.07936507936507936,0.07936507936507936,0.22666666666666668,0.7333333333333333,0.76,0.7466666666666666,0.9649122807017543,0.9649122807017543,0.9733333333333333,0.9733333333333333,0.2,1.0,0.6,0.2,0.2,0.19999999999999996,0.19999999999999996,1.0,0.4,0.7,2.5,2.5,1.6,1.6,0.0,0.6,0.3,0.0,1.0,0.4,0.4,0.8,0.0,0.4,0.0,1.0,1.8,1.8,1.0,0.7142857142857143,0.8571428571428572,1.4,1.4,1.2857142857142856,1.2857142857142856,0.2857142857142857,0.0,0.14285714285714285,0.0,1.0,1.2857142857142856,1.2857142857142856
Kamishima-accuracy,eta=2.0,0,0.75,0.75,0.75,0.75,0.5,0.0,1.0,0.19999999999999996,0.6666666666666666,0.8,0.7333333333333334,0.8333333333333333,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.0,0.5,0.25,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,2.0,2.0,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,0.3333333333333333,0.0,0.16666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333
Kamishima-accuracy,eta=3.0,0,0.75,0.75,0.75,0.75,0.5,0.0,1.0,0.19999999999999996,0.6666666666666666,0.8,0.7333333333333334,0.8333333333333333,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.0,0.5,0.25,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,2.0,2.0,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,0.3333333333333333,0.0,0.16666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333
Kamishima-accuracy,eta=4.0,0,0.75,0.75,0.75,0.75,0.5,0.0,1.0,0.19999999999999996,0.6666666666666666,0.8,0.7333333333333334,0.8333333333333333,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.0,0.5,0.25,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,2.0,2.0,1.0,0.75,0.875,1.3333333333333333,1.3333333333333333,1.25,1.25,0.3333333333333333,0.0,0.16666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333
Kamishima-accuracy,eta=5.0,0,0.775,0.75,0.8,0.775,0.5506887917539348,0.0,1.0,0.24,0.6666666666666666,0.84,0.7533333333333333,0.7936507936507936,0.7936507936507936,0.8266666666666667,0.8266666666666667,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.6,0.8,1.6666666666666667,1.6666666666666667,1.4,1.4,0.0,0.4,0.2,0.0,1.0,0.6,0.6,1.0,0.0,0.5,0.0,1.0,2.0,2.0,1.0,0.7894736842105263,0.8947368421052632,1.2666666666666666,1.2666666666666666,1.2105263157894737,1.2105263157894737,0.3333333333333333,0.0,0.16666666666666666,0.0,1.0,1.3333333333333333,1.3333333333333333
Kamishima-accuracy,eta=10.0,0,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,0.0,1.0,0.31999999999999995,0.6666666666666666,0.84,0.7533333333333333,0.7936507936507936,0.7936507936507936,0.8266666666666667,0.8266666666666667,0.0,0.9333333333333333,0.4666666666666667,0.0,1.0,0.06666666666666665,0.06666666666666665,1.0,0.7,0.85,1.4285714285714286,1.4285714285714286,1.3,1.3,0.0,0.30000000000000004,0.15000000000000002,0.0,1.0,0.7,0.7,1.0,0.06666666666666665,0.5333333333333333,15.000000000000004,15.000000000000004,1.9333333333333333,1.9333333333333333,1.0,0.8235294117647058,0.9117647058823529,1.2142857142857144,1.2142857142857144,1.1764705882352942,1.1764705882352942,0.3333333333333333,0.125,0.22916666666666666,2.6666666666666665,2.6666666666666665,1.2083333333333333,1.2083333333333333
Kamishima-accuracy,eta=15.0,0,0.775,0.7,0.85,0.7749999999999999,0.5562939111665911,0.0,1.0,0.31999999999999995,0.6666666666666666,0.84,0.7533333333333333,0.7936507936507936,0.7936507936507936,0.8266666666666667,0.8266666666666667,0.0,0.9333333333333333,0.4666666666666667,0.0,1.0,0.06666666666666665,0.06666666666666665,1.0,0.7,0.85,1.4285714285714286,1.4285714285714286,1.3,1.3,0.0,0.30000000000000004,0.15000000000000002,0.0,1.0,0.7,0.7,1.0,0.06666666666666665,0.5333333333333333,15.000000000000004,15.000000000000004,1.9333333333333333,1.9333333333333333,1.0,0.8235294117647058,0.9117647058823529,1.2142857142857144,1.2142857142857144,1.1764705882352942,1.1764705882352942,0.3333333333333333,0.125,0.22916666666666666,2.6666666666666665,2.6666666666666665,1.2083333333333333,1.2083333333333333
Kamishima-accuracy,eta=20.0,0,0.775,0.65,0.9,0.775,0.5680375574437545,0.0,1.0,0.4,0.6666666666666666,0.84,0.7533333333333333,0.7936507936507936,0.7936507936507936,0.8266666666666667,0.8266666666666667,0.0,0.8666666666666667,0.43333333333333335,0.0,1.0,0.1333333333333333,0.1333333333333333,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,1.0,0.1333333333333333,0.5666666666666667,7.500000000000002,7.500000000000002,1.8666666666666667,1.8666666666666667,1.0,0.8666666666666667,0.9333333333333333,1.1538461538461537,1.1538461538461537,1.1333333333333333,1.1333333333333333,0.3333333333333333,0.2,0.26666666666666666,1.6666666666666665,1.6666666666666665,1.1333333333333333,1.1333333333333333
Kamishima-accuracy,eta=30.0,0,0.55,0.1,1.0,0.55,0.22941573387056177,0.0,1.0,0.92,0.6666666666666666,0.48,0.5733333333333333,1.3888888888888888,1.3888888888888888,1.1866666666666665,1.1866666666666665,0.0,0.13333333333333333,0.06666666666666667,0.0,1.0,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.9333333333333333,1.1538461538461537,1.1538461538461537,1.1333333333333333,1.1333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5652173913043478,0.4492753623188406,0.5897435897435898,0.5897435897435898,0.7681159420289856,0.7681159420289856
