algorithm,params,accuracy,MCC,DisparateImpact
SVM,{},0.8591605331211458,0.599333073521228,0.25914485992662245
SVM,{},0.8541873881042371,0.5906380561721617,0.261137460136583
SVM,{},0.8518997413964591,0.5808308630934919,0.2383423599127208
SVM,{},0.8564750348120151,0.5844715372031978,0.24457854844464783
SVM,{},0.8573702009150587,0.5919279723285332,0.262913472314675
SVM,{},0.8576685896160732,0.5914697573042866,0.24938619368200676
SVM,{},0.8606524766262185,0.6055984033067805,0.27663197729422895
SVM,{},0.856972349313706,0.5916772176121773,0.26320706374511543
SVM,{},0.8586632186194549,0.5890729213233151,0.25913621839031475
SVM,{},0.8577680525164114,0.5960578395773868,0.2766945158065028
GaussianNB,{},0.8226576486970361,0.5691951990008222,0.2986710715545546
GaussianNB,{},0.8202705390889198,0.566017785747873,0.32146991990247015
GaussianNB,{},0.8228565744977123,0.5614592181733287,0.29433923502535364
GaussianNB,{},0.8256415357071812,0.5672675239342736,0.30774698037732073
GaussianNB,{},0.8221603341953452,0.5644784401897868,0.30372285238408486
GaussianNB,{},0.8185796697831709,0.5607424759935828,0.30313670964166234
GaussianNB,{},0.8208673164909489,0.5581973267019367,0.3207059967191202
GaussianNB,{},0.8184802068828327,0.5644420340826801,0.3027215359780716
GaussianNB,{},0.8229560373980506,0.5705535945948331,0.3217854868074791
GaussianNB,{},0.8239506664014322,0.5638213357534079,0.3104304516347625
LR,{},0.8479212253829321,0.573565837449901,0.2876165462991774
LR,{},0.8425502287646708,0.5625104364682022,0.3354757658678874
LR,{},0.8457330415754923,0.5693114684584992,0.3024975806481159
LR,{},0.8463298189775214,0.5644532290997439,0.3265917005977649
LR,{},0.8451362641734633,0.5633232895832276,0.305924832569921
LR,{},0.8462303560771832,0.5653759392584728,0.31948324022346364
LR,{},0.8461308931768451,0.5706146800413745,0.33927661742231274
LR,{},0.8461308931768451,0.5669725814743385,0.3084065594059406
LR,{},0.8518997413964591,0.5757712757602517,0.3506298327822431
LR,{},0.8444400238710961,0.5617790519241384,0.31542320806522167
DecisionTree,{},0.8090312313507062,0.4904142813987342,0.40762586058329453
DecisionTree,{},0.8172866520787746,0.5123789014829107,0.4626550947846966
DecisionTree,{},0.818679132683509,0.5129242773404796,0.4397469344939682
DecisionTree,{},0.8113188780584842,0.4854625126728775,0.43077209047265574
DecisionTree,{},0.8207678535906107,0.5125863998143392,0.40168673902883395
DecisionTree,{},0.8214640938929779,0.5133822047949773,0.39349126496629205
DecisionTree,{},0.8108215635567934,0.49513621362644944,0.41533696354881977
DecisionTree,{},0.8173861149791128,0.5068717763903642,0.39821905577654537
DecisionTree,{},0.8201710761885816,0.5073329791786164,0.41266518801637764
DecisionTree,{},0.8091306942510443,0.4928941415298353,0.4454436802659706
Feldman-SVM,{'lambda': 1.0},0.7647702407002188,0.2099220218456237,0.7326249646303505
Feldman-SVM,{'lambda': 1.0},0.7634772229958225,0.24270811466840783,0.6643916468505106
Feldman-SVM,{'lambda': 1.0},0.7644718519992043,0.23405945208064904,0.8468962714619526
Feldman-SVM,{'lambda': 1.0},0.7755122339367416,0.2613668256578606,0.7169799878714374
Feldman-SVM,{'lambda': 1.0},0.7934155559976129,0.3635355709858725,0.3146156737706089
Feldman-SVM,{'lambda': 1.0},0.7787945096479013,0.28060748781351763,0.4509494959708565
Feldman-SVM,{'lambda': 1.0},0.7647702407002188,0.22565772636656647,0.6192052980132451
Feldman-SVM,{'lambda': 1.0},0.7863536900736026,0.3280716849664173,0.41677571419562337
Feldman-SVM,{'lambda': 1.0},0.7835687288641336,0.29126359476309327,0.25666157297743836
Feldman-SVM,{'lambda': 1.0},0.7680525164113785,0.2425010912544555,0.5719634319796458
Feldman-GaussianNB,{'lambda': 1.0},0.8270340163119156,0.5269134267592437,0.3626292517840785
Feldman-GaussianNB,{'lambda': 1.0},0.8191764471851999,0.5257010555532409,0.4138094858172942
Feldman-GaussianNB,{'lambda': 1.0},0.8260393873085339,0.5130764416173259,0.3719149449168852
Feldman-GaussianNB,{'lambda': 1.0},0.8236522777004177,0.5346027989164388,0.4038927914946928
Feldman-GaussianNB,{'lambda': 1.0},0.8257409986075194,0.519309510634113,0.37313889371926456
