algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
ZafarFairness-accuracy,c=0.0010000000000000002,0,0.8333333333333334,0.8285714285714286,0.8372093023255814,0.832890365448505,0.6642377839077189,1.043859649122807,1.043859649122807,1.0198412698412698,0.8055555555555556,0.8571428571428571,0.8313492063492063,0.9398148148148149,0.9398148148148149,0.9484126984126985,0.9484126984126985,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.7307692307692307,1.0,0.8653846153846154,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2692307692307693,0.0,0.13461538461538464,0.0,1.0,1.2692307692307692,1.2692307692307692,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.5882352941176471,1.0,0.7941176470588236,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.0021544346900318843,0,0.8333333333333334,0.8285714285714286,0.8372093023255814,0.832890365448505,0.6642377839077189,1.043859649122807,1.043859649122807,1.0198412698412698,0.8055555555555556,0.8571428571428571,0.8313492063492063,0.9398148148148149,0.9398148148148149,0.9484126984126985,0.9484126984126985,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.7307692307692307,1.0,0.8653846153846154,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2692307692307693,0.0,0.13461538461538464,0.0,1.0,1.2692307692307692,1.2692307692307692,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.5882352941176471,1.0,0.7941176470588236,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.004641588833612781,0,0.8333333333333334,0.8285714285714286,0.8372093023255814,0.832890365448505,0.6642377839077189,1.043859649122807,1.043859649122807,1.0198412698412698,0.8055555555555556,0.8571428571428571,0.8313492063492063,0.9398148148148149,0.9398148148148149,0.9484126984126985,0.9484126984126985,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.7307692307692307,1.0,0.8653846153846154,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2692307692307693,0.0,0.13461538461538464,0.0,1.0,1.2692307692307692,1.2692307692307692,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.5882352941176471,1.0,0.7941176470588236,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.009999999999999995,0,0.8333333333333334,0.8285714285714286,0.8372093023255814,0.832890365448505,0.6642377839077189,1.043859649122807,1.043859649122807,1.0198412698412698,0.8055555555555556,0.8571428571428571,0.8313492063492063,0.9398148148148149,0.9398148148148149,0.9484126984126985,0.9484126984126985,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.7307692307692307,1.0,0.8653846153846154,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2692307692307693,0.0,0.13461538461538464,0.0,1.0,1.2692307692307692,1.2692307692307692,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.5882352941176471,1.0,0.7941176470588236,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.02154434690031884,0,0.8333333333333334,0.8285714285714286,0.8372093023255814,0.832890365448505,0.6642377839077189,1.043859649122807,1.043859649122807,1.0198412698412698,0.8055555555555556,0.8571428571428571,0.8313492063492063,0.9398148148148149,0.9398148148148149,0.9484126984126985,0.9484126984126985,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.7307692307692307,1.0,0.8653846153846154,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2692307692307693,0.0,0.13461538461538464,0.0,1.0,1.2692307692307692,1.2692307692307692,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.5882352941176471,1.0,0.7941176470588236,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.046415888336127795,0,0.8589743589743589,0.8285714285714286,0.8837209302325582,0.8561461794019933,0.7144317366332061,0.9210526315789475,0.9210526315789475,0.9642857142857143,0.8611111111111112,0.8571428571428571,0.8591269841269842,1.0046296296296298,1.0046296296296298,1.003968253968254,1.003968253968254,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.8076923076923077,1.0,0.9038461538461539,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.1923076923076923,0.0,0.09615384615384615,0.0,1.0,1.1923076923076923,1.1923076923076923,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.09999999999999998,0,0.8846153846153846,0.8285714285714286,0.9302325581395349,0.8794019933554817,0.767262458294132,0.7982456140350876,0.7982456140350876,0.9087301587301587,0.9166666666666666,0.8571428571428571,0.8869047619047619,1.0694444444444444,1.0694444444444444,1.0595238095238095,1.0595238095238095,1.0,0.76,0.88,1.3157894736842106,1.3157894736842106,1.24,1.24,0.8846153846153846,1.0,0.9423076923076923,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.11538461538461542,0.0,0.05769230769230771,0.0,1.0,1.1153846153846154,1.1153846153846154,0.0,0.24,0.12,0.0,1.0,0.76,0.76,0.7692307692307693,1.0,0.8846153846153846,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.0,0.2608695652173913,0.13043478260869565,0.0,1.0,0.7391304347826086,0.7391304347826086
ZafarFairness-accuracy,c=0.21544346900318834,0,0.8974358974358975,0.8571428571428571,0.9302325581395349,0.893687707641196,0.7926598733513023,0.7583333333333334,0.7583333333333334,0.8849206349206349,0.9166666666666666,0.8809523809523809,0.8988095238095237,1.0405405405405406,1.0405405405405406,1.0357142857142856,1.0357142857142856,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.8846153846153846,1.0,0.9423076923076923,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.11538461538461542,0.0,0.05769230769230771,0.0,1.0,1.1153846153846154,1.1153846153846154,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.7692307692307693,1.0,0.8846153846153846,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.0,0.22727272727272727,0.11363636363636363,0.0,1.0,0.7727272727272727,0.7727272727272727
ZafarFairness-accuracy,c=0.46415888336127786,0,0.9102564102564102,0.8857142857142857,0.9302325581395349,0.9079734219269102,0.8183975490537101,0.7222222222222222,0.7222222222222222,0.8611111111111112,0.9166666666666666,0.9047619047619048,0.9107142857142857,1.013157894736842,1.013157894736842,1.0119047619047619,1.0119047619047619,1.0,0.84,0.9199999999999999,1.1904761904761905,1.1904761904761905,1.1600000000000001,1.1600000000000001,0.8846153846153846,1.0,0.9423076923076923,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.11538461538461542,0.0,0.05769230769230771,0.0,1.0,1.1153846153846154,1.1153846153846154,0.0,0.16000000000000003,0.08000000000000002,0.0,1.0,0.84,0.84,0.7692307692307693,1.0,0.8846153846153846,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.0,0.19047619047619047,0.09523809523809523,0.0,1.0,0.8095238095238095,0.8095238095238095
ZafarFairness-accuracy,c=1.0,0,0.9743589743589743,0.9428571428571428,1.0,0.9714285714285714,0.9491851141649772,0.5072463768115941,0.5072463768115941,0.7301587301587301,1.0,0.9523809523809523,0.9761904761904762,1.05,1.05,1.0476190476190477,1.0476190476190477,1.0,0.92,0.96,1.0869565217391304,1.0869565217391304,1.08,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07999999999999996,0.03999999999999998,0.0,1.0,0.92,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10526315789473684,0.05263157894736842,0.0,1.0,0.8947368421052632,0.8947368421052632
