Algorithms,Acc,Acc_SD,DI,DI_SD,BER,BER_SD,BCR,BCR_SD,CV,CV_SD,MCC,MCC_SD,Run Time
SVM,0.7157142857142857,0.0,1.004044357469015,0.0,0.3192857142857143,0.0,0.6807142857142857,0.0,0.0035314555862500097,0.0,0.2075121794518005,0.0,0:00:00.029821
NB,0.4157142857142857,0.0,0.28423314531291966,0.0,0.2092857142857143,0.0,0.7907142857142857,0.0,-0.12648686621289362,0.0,0.20373315222812202,0.0,0:00:00.001786
LR,0.77,0.0,0.8372213933722138,0.0,0.335,0.0,0.665,0.0,-0.13672049288487653,0.0,0.404858312631747,0.0,0:00:00.036995
Calders,0.42142857142857143,0.0,6.7988505747126435,0.0,0.07071428571428572,0.0,0.9292857142857143,0.0,0.6863945578231293,0.0,-0.007720518856568403,0.0,0:00:00.019563
Feldman SVM,0.6946107784431138,0.0,0.9989547558608333,0.0,0.3023952095808383,0.0,0.6976047904191617,0.0,-0.0008483820143012633,0.0,0.18045174488172439,0.0,0:00:16.063548
Feldman WDT,0.688622754491018,0.0,0.9038628472222221,0.0,0.3263473053892215,0.0,0.6736526946107785,0.0,-0.07755602240896364,0.0,0.2213382476516318,0.0,0:00:16.224044
Kamishima,0.7485714285714286,0.0,1.0056308039608024,0.0,0.29428571428571426,0.0,0.7057142857142857,0.0,0.004167497318182223,0.0,0.3751671465107972,0.0,0:00:27.232125
Zafar Unconstrained,0.7,0.0,1.0,0.0,0.3457142857142857,0.0,0.6542857142857144,0.0,0.0,0.0,0.0,0.0,0:00:00.025159
Zafar w Accuracy Constraint,0.6971428571428572,0.0,1.0,0.0,0.3514285714285714,0.0,0.6485714285714286,0.0,0.0,0.0,0.0,0.0,0:00:00.062189
Zafar w Fairness Constraint,0.7,0.0,1.006104033970276,0.0,0.33714285714285713,0.0,0.6628571428571428,0.0,0.006039915966386533,0.0,0.1064852302592866,0.0,0:00:00.072862
Zafar No Pos Misclassification,0.6957142857142857,0.0,1.0,0.0,0.34714285714285714,0.0,0.6528571428571428,0.0,0.0,0.0,0.0,0.0,0:00:01.998887
