algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,age-accuracy,0-accuracy_over_1-accuracy,age-accuracyRatio,diff:1-accuracyto0-accuracy,age-accuracyDiff,0-accuracy,1-accuracy,sex-age-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,sex-age-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,sex-age-accuracyDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,age-TPR,0-TPR_over_1-TPR,age-TPRRatio,diff:1-TPRto0-TPR,age-TPRDiff,0-TPR,1-TPR,sex-age-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,sex-age-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,sex-age-TPRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,age-TNR,0-TNR_over_1-TNR,age-TNRRatio,diff:1-TNRto0-TNR,age-TNRDiff,0-TNR,1-TNR,sex-age-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,sex-age-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,sex-age-TNRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,age-FPR,0-FPR_over_1-FPR,age-FPRRatio,diff:1-FPRto0-FPR,age-FPRDiff,0-FPR,1-FPR,sex-age-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,sex-age-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,sex-age-FPRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,age-FNR,0-FNR_over_1-FNR,age-FNRRatio,diff:1-FNRto0-FNR,age-FNRDiff,0-FNR,1-FNR,sex-age-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,sex-age-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,sex-age-FNRDiff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,age-calibration+,0-calibration+_over_1-calibration+,age-calibration+Ratio,diff:1-calibration+to0-calibration+,age-calibration+Diff,0-calibration+,1-calibration+,sex-age-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,sex-age-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,sex-age-calibration+Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,age-calibration-,0-calibration-_over_1-calibration-,age-calibration-Ratio,diff:1-calibration-to0-calibration-,age-calibration-Diff,0-calibration-,1-calibration-,sex-age-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,sex-age-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,sex-age-calibration-Diff
ZafarFairness-DIavgall,c=1.0,0,0.6796407185628742,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6346153846153846,0.7,0.6673076923076923,0.9065934065934066,0.9065934065934066,0.9346153846153846,0.9346153846153846,0.5952380952380952,0.6917808219178082,0.6435094585779517,0.8604431871758604,0.8604431871758604,0.903457273320287,0.903457273320287,0.6311475409836066,0.7075471698113207,0.6693473553974636,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6346153846153846,0.7,0.6673076923076923,0.9065934065934066,0.9065934065934066,0.9346153846153846,0.9346153846153846,0.5952380952380952,0.6917808219178082,0.6435094585779517,0.8604431871758604,0.8604431871758604,0.903457273320287,0.903457273320287,0.6311475409836066,0.7075471698113207,0.6693473553974636,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,1,0.6946107784431138,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.7037037037037037,0.6902654867256637,0.6969845952146837,1.019468186134853,1.019468186134853,1.01343821697804,1.01343821697804,0.6530612244897959,0.7017543859649122,0.677407805227354,0.9306122448979591,0.9306122448979591,0.9513068385248836,0.9513068385248836,0.6923076923076923,0.696078431372549,0.6941930618401206,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.7037037037037037,0.6902654867256637,0.6969845952146837,1.019468186134853,1.019468186134853,1.01343821697804,1.01343821697804,0.6530612244897959,0.7017543859649122,0.677407805227354,0.9306122448979591,0.9306122448979591,0.9513068385248836,0.9513068385248836,0.6923076923076923,0.696078431372549,0.6941930618401206,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,2,0.7215568862275449,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6636363636363637,0.75,0.7068181818181818,0.8848484848484849,0.8848484848484849,0.9136363636363637,0.9136363636363637,0.6153846153846154,0.7411347517730497,0.6782596835788326,0.8303275671696725,0.8303275671696725,0.8742498636115658,0.8742498636115658,0.656934306569343,0.766497461928934,0.7117158842491385,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6636363636363637,0.75,0.7068181818181818,0.8848484848484849,0.8848484848484849,0.9136363636363637,0.9136363636363637,0.6153846153846154,0.7411347517730497,0.6782596835788326,0.8303275671696725,0.8303275671696725,0.8742498636115658,0.8742498636115658,0.656934306569343,0.766497461928934,0.7117158842491385,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,3,0.718562874251497,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6421052631578947,0.7489539748953975,0.6955296190266461,0.8573360776242281,0.8573360776242281,0.8931512882624972,0.8931512882624972,0.6538461538461539,0.7304964539007093,0.6921713038734316,0.8950709484690067,0.8950709484690067,0.9233496999454446,0.9233496999454446,0.6695652173913044,0.7442922374429224,0.7069287274171134,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6421052631578947,0.7489539748953975,0.6955296190266461,0.8573360776242281,0.8573360776242281,0.8931512882624972,0.8931512882624972,0.6538461538461539,0.7304964539007093,0.6921713038734316,0.8950709484690067,0.8950709484690067,0.9233496999454446,0.9233496999454446,0.6695652173913044,0.7442922374429224,0.7069287274171134,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,4,0.688622754491018,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6354166666666666,0.7100840336134454,0.672750350140056,0.8948471400394477,0.8948471400394477,0.9253326330532212,0.9253326330532212,0.6111111111111112,0.7035714285714286,0.65734126984127,0.8685843203609701,0.8685843203609701,0.9075396825396825,0.9075396825396825,0.6341463414634146,0.7203791469194313,0.677262744191423,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6354166666666666,0.7100840336134454,0.672750350140056,0.8948471400394477,0.8948471400394477,0.9253326330532212,0.9253326330532212,0.6111111111111112,0.7035714285714286,0.65734126984127,0.8685843203609701,0.8685843203609701,0.9075396825396825,0.9075396825396825,0.6341463414634146,0.7203791469194313,0.677262744191423,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,5,0.688622754491018,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5943396226415094,0.7324561403508771,0.6633978814961933,0.8114337363009829,0.8114337363009829,0.8618834822906323,0.8618834822906323,0.66,0.6936619718309859,0.676830985915493,0.9514720812182742,0.9514720812182742,0.9663380281690142,0.9663380281690142,0.6178861788617886,0.7298578199052133,0.673871999383501,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.5943396226415094,0.7324561403508771,0.6633978814961933,0.8114337363009829,0.8114337363009829,0.8618834822906323,0.8618834822906323,0.66,0.6936619718309859,0.676830985915493,0.9514720812182742,0.9514720812182742,0.9663380281690142,0.9663380281690142,0.6178861788617886,0.7298578199052133,0.673871999383501,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,6,0.7245508982035929,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6601941747572816,0.7532467532467533,0.7067204640020175,0.8764646802812186,0.8764646802812186,0.9069474215105283,0.9069474215105283,0.5454545454545454,0.7517241379310344,0.6485893416927899,0.725604670558799,0.725604670558799,0.793730407523511,0.793730407523511,0.6311475409836066,0.7783018867924528,0.7047247138880297,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6601941747572816,0.7532467532467533,0.7067204640020175,0.8764646802812186,0.8764646802812186,0.9069474215105283,0.9069474215105283,0.5454545454545454,0.7517241379310344,0.6485893416927899,0.725604670558799,0.725604670558799,0.793730407523511,0.793730407523511,0.6311475409836066,0.7783018867924528,0.7047247138880297,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,7,0.6916167664670658,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6116504854368932,0.7272727272727273,0.6694616063548102,0.8410194174757281,0.8410194174757281,0.8843777581641659,0.8843777581641659,0.5384615384615384,0.7198581560283688,0.6291598472449536,0.7480106100795756,0.7480106100795756,0.8186033824331697,0.8186033824331697,0.6048387096774194,0.7428571428571429,0.6738479262672812,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6116504854368932,0.7272727272727273,0.6694616063548102,0.8410194174757281,0.8410194174757281,0.8843777581641659,0.8843777581641659,0.5384615384615384,0.7198581560283688,0.6291598472449536,0.7480106100795756,0.7480106100795756,0.8186033824331697,0.8186033824331697,0.6048387096774194,0.7428571428571429,0.6738479262672812,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,8,0.6946107784431138,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6451612903225806,0.7136929460580913,0.679427118190336,0.9039759939984996,0.9039759939984996,0.9314683442644893,0.9314683442644893,0.47368421052631576,0.722972972972973,0.5983285917496444,0.6551893753074274,0.6551893753074274,0.7507112375533427,0.7507112375533427,0.6261682242990654,0.7268722466960352,0.6765202354975504,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6451612903225806,0.7136929460580913,0.679427118190336,0.9039759939984996,0.9039759939984996,0.9314683442644893,0.9314683442644893,0.47368421052631576,0.722972972972973,0.5983285917496444,0.6551893753074274,0.6551893753074274,0.7507112375533427,0.7507112375533427,0.6261682242990654,0.7268722466960352,0.6765202354975504,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
ZafarFairness-DIavgall,c=1.0,9,0.6976047904191617,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.6371681415929203,0.7285067873303167,0.6828374644616185,0.8746221074039466,0.8746221074039466,0.9086613542626036,0.9086613542626036,0.5961538461538461,0.7163120567375887,0.6562329514457175,0.8322543792840822,0.8322543792840822,0.8798417894162575,0.8798417894162575,0.6268656716417911,0.745,0.6859328358208956,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,None,None,1.0,None,None,1.0,0.6371681415929203,0.7285067873303167,0.6828374644616185,0.8746221074039466,0.8746221074039466,0.9086613542626036,0.9086613542626036,0.5961538461538461,0.7163120567375887,0.6562329514457175,0.8322543792840822,0.8322543792840822,0.8798417894162575,0.8798417894162575,0.6268656716417911,0.745,0.6859328358208956,None,None,1.0,None,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,None,1.0,None,None,1.0
