algorithm,params,accuracy,MCC,DisparateImpact
SVM,{},0.696696696697,-0.0371542053377,1.0109105603448276
SVM,{},0.711711711712,-0.0487490298505,0.9809523809523809
SVM,{},0.66966966967,0.0,1.0
SVM,{},0.693693693694,-0.050924062259,0.9795918367346939
SVM,{},0.660660660661,-0.0390700379114,1.0043668122270741
SVM,{},0.717717717718,-0.0584677889449,0.9848645440284902
SVM,{},0.681681681682,-0.0814638206755,0.9932920536635707
SVM,{},0.690690690691,-0.0991235020013,0.9634932920536635
SVM,{},0.684684684685,-0.0520182449376,0.9945012787723785
SVM,{},0.675675675676,-0.030642008707,1.00884070058382
GaussianNB,{},0.702702702703,0.331014893901,1.013658940397351
GaussianNB,{},0.687687687688,0.34438664141,0.7388888888888889
GaussianNB,{},0.6996996997,0.375599063041,0.8917111396338581
GaussianNB,{},0.681681681682,0.331232276513,0.9077988338192421
GaussianNB,{},0.723723723724,0.410667842813,0.7996588821831541
GaussianNB,{},0.696696696697,0.322187822569,0.920362109682498
GaussianNB,{},0.714714714715,0.408574906086,0.9158737024221452
GaussianNB,{},0.675675675676,0.299502671556,1.0174765558397272
GaussianNB,{},0.693693693694,0.314429392855,0.94487728866381
GaussianNB,{},0.714714714715,0.362026125394,0.9712203091617443
LR,{},0.75975975976,0.391368361976,1.006808659217877
LR,{},0.756756756757,0.3753084229,0.9027287319422151
LR,{},0.732732732733,0.356853148822,1.0022516625648008
LR,{},0.747747747748,0.376811200433,0.9295459756936483
LR,{},0.735735735736,0.365910266949,0.9414851744948832
LR,{},0.756756756757,0.360936838346,0.9480935076205457
LR,{},0.765765765766,0.422813888273,0.9084413426387503
LR,{},0.726726726727,0.302658308461,0.9287838730998017
LR,{},0.750750750751,0.372298231379,0.9034730913642054
LR,{},0.750750750751,0.387695623444,0.9566592850363809
DecisionTree,{},0.714714714715,0.323819470739,1.0210262345679013
DecisionTree,{},0.693693693694,0.258662888492,0.8401360544217688
DecisionTree,{},0.657657657658,0.212011678155,0.9546103339994291
DecisionTree,{},0.693693693694,0.279454742198,0.9100688468158348
DecisionTree,{},0.681681681682,0.274593906834,1.0034410716480275
DecisionTree,{},0.630630630631,0.145682330179,0.997411003236246
DecisionTree,{},0.657657657658,0.248552045686,0.7845059592464437
DecisionTree,{},0.696696696697,0.282104329383,0.9483455882352941
DecisionTree,{},0.690690690691,0.254903962885,1.0035223670306446
DecisionTree,{},0.642642642643,0.187202570319,1.0988786952089704
Feldman-SVM,{'lambda': 1.0},0.696696696697,-0.070690639798,1.0022702991452992
Feldman-SVM,{'lambda': 1.0},0.696696696697,-0.0633812394857,1.0120232708468002
Feldman-SVM,{'lambda': 1.0},0.666666666667,0.000608772300166,1.0138248847926268
Feldman-SVM,{'lambda': 1.0},0.696696696697,0.00687097521675,0.9982920206709294
Feldman-SVM,{'lambda': 1.0},0.663663663664,0.0269272718602,0.9946156781277822
Feldman-SVM,{'lambda': 1.0},0.723723723724,0.0510648865454,0.9880573932468425
Feldman-SVM,{'lambda': 1.0},0.687687687688,0.0108878986674,0.9964705882352941
Feldman-SVM,{'lambda': 1.0},0.708708708709,0.0144135663073,0.983359133126935
Feldman-SVM,{'lambda': 1.0},0.708708708709,0.202417032895,0.983359133126935
Feldman-SVM,{'lambda': 1.0},0.684684684685,0.0,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.702702702703,0.321975315285,0.9875
Feldman-GaussianNB,{'lambda': 1.0},0.690690690691,0.348550351835,0.7337931034482759
Feldman-GaussianNB,{'lambda': 1.0},0.696696696697,0.374763161257,0.8904438499005284
Feldman-GaussianNB,{'lambda': 1.0},0.672672672673,0.318393323298,0.8564139941690962
Feldman-GaussianNB,{'lambda': 1.0},0.726726726727,0.425241798897,0.7647293523074877
Feldman-GaussianNB,{'lambda': 1.0},0.696696696697,0.338072258146,0.9149137001078748
Feldman-GaussianNB,{'lambda': 1.0},0.705705705706,0.400132542658,0.8555555555555556
Feldman-GaussianNB,{'lambda': 1.0},0.681681681682,0.313081213371,0.9705882352941176
Feldman-GaussianNB,{'lambda': 1.0},0.708708708709,0.342550458693,0.9058823529411764
Feldman-GaussianNB,{'lambda': 1.0},0.711711711712,0.353457951695,0.9442102653111828
Feldman-LR,{'lambda': 1.0},0.75975975976,0.382151629187,0.992866847826087
Feldman-LR,{'lambda': 1.0},0.756756756757,0.378954917773,0.878330658105939
