algorithm,params,accuracy,MCC,DisparateImpact
SVM,{},0.8653272329421126,0.6143959311248899,0.2758805682290297
SVM,{},0.8582653670181023,0.5978515346896123,0.2513899100553395
SVM,{},0.8586632186194549,0.5925319630428777,0.28618126808734545
SVM,{},0.8640342152377163,0.6124880111030517,0.2576593769341861
SVM,{},0.8566739606126915,0.5859298663188389,0.24389405248087123
SVM,{},0.8619454943306146,0.6082601315470907,0.24706074046111204
SVM,{},0.8590610702208077,0.6036922991902581,0.255744139356215
SVM,{},0.8571712751143823,0.5861127316568493,0.24675248489227178
SVM,{},0.862144420131291,0.6003818697676545,0.2363910447761194
SVM,{},0.8529938333001791,0.5862913857940263,0.243997529413537
GaussianNB,{},0.8268350905112393,0.5651132705932863,0.3163321310124055
GaussianNB,{},0.8265367018102248,0.5750152054243333,0.3057727915977562
GaussianNB,{},0.8265367018102248,0.5713463141596352,0.3145275866462793
GaussianNB,{},0.8200716132882435,0.5638119422703429,0.2984795453875119
GaussianNB,{},0.819773224587229,0.5511770382376474,0.30572794166265216
GaussianNB,{},0.8268350905112393,0.5712033012625152,0.3120677560276938
GaussianNB,{},0.8156952456733638,0.5623486654675066,0.3183958383057459
GaussianNB,{},0.8260393873085339,0.5702762486759313,0.31563282132938003
GaussianNB,{},0.8258404615078576,0.5622137968091627,0.29479787345424086
GaussianNB,{},0.8212651680923015,0.5635582636183036,0.30586322555964673
LR,{},0.8506067236920629,0.5757077679127158,0.3206786022166021
LR,{},0.8462303560771832,0.5694995087863408,0.30862166040689654
LR,{},0.8487169285856375,0.570321943491309,0.33817429592444487
LR,{},0.8502088720907102,0.5767190806090189,0.3077834073191009
LR,{},0.8466282076785359,0.5629360930131078,0.3080954627663757
LR,{},0.8497115575890193,0.5796912911186657,0.31951181310733817
LR,{},0.8434453948677143,0.5639788382164357,0.3359655068226917
LR,{},0.8458325044758305,0.5598409855390005,0.30012465708848707
LR,{},0.8519992042967973,0.5778221830994441,0.3165212333746739
LR,{},0.8434453948677143,0.5651907122564778,0.30481813677754427
DecisionTree,{},0.8153968569723493,0.5032939493582999,0.41557275829794255
DecisionTree,{},0.8149990053709966,0.5020255289649678,0.387645322786852
DecisionTree,{},0.8158941714740402,0.4976222306809492,0.45288122548289395
DecisionTree,{},0.8181818181818182,0.5078805448340282,0.41402178902178904
DecisionTree,{},0.8182812810821564,0.5021110826165692,0.4016051263723517
DecisionTree,{},0.8192759100855381,0.5120102302427243,0.40946972988262437
DecisionTree,{},0.8108215635567934,0.496670401616454,0.4557880426187289
DecisionTree,{},0.8167893375770837,0.49941430090869515,0.4232649995776577
DecisionTree,{},0.8148995424706584,0.49487703871948746,0.3958515345544326
DecisionTree,{},0.8070419733439427,0.4879373591763658,0.3843709821525856
Kamishima,{'eta': 1.0},0.8495126317883429,0.57540095300916,0.31506913417482524
Kamishima,{'eta': 1.0},0.8461308931768451,0.5703748882368009,0.27997791887944157
Kamishima,{'eta': 1.0},0.8462303560771832,0.5612742687940137,0.3185688327420611
Kamishima,{'eta': 1.0},0.8491147801869903,0.5739275846397719,0.28665965736903953
Kamishima,{'eta': 1.0},0.8456335786751542,0.5605219483609277,0.28672997964688396
Kamishima,{'eta': 1.0},0.8504077978913865,0.5807411210597121,0.30517585342239195
Kamishima,{'eta': 1.0},0.8424507658643327,0.5652431777968899,0.2998875707006685
Kamishima,{'eta': 1.0},0.8464292818778596,0.5639372992768592,0.3024449292291245
Kamishima,{'eta': 1.0},0.8528943703998408,0.5815301302343792,0.2922840748690793
Kamishima,{'eta': 1.0},0.8464292818778596,0.5745915868439274,0.28228405273976037
Kamishima-accuracy,{'eta': 1.0},0.8495126317883429,0.57540095300916,0.31506913417482524
Kamishima-accuracy,{'eta': 1.0},0.8461308931768451,0.5703748882368009,0.27997791887944157
Kamishima-accuracy,{'eta': 1.0},0.8462303560771832,0.5612742687940137,0.3185688327420611
Kamishima-accuracy,{'eta': 1.0},0.8491147801869903,0.5739275846397719,0.28665965736903953
Kamishima-accuracy,{'eta': 1.0},0.8456335786751542,0.5605219483609277,0.28672997964688396
Kamishima-accuracy,{'eta': 1.0},0.8504077978913865,0.5807411210597121,0.30517585342239195
Kamishima-accuracy,{'eta': 1.0},0.8424507658643327,0.5652431777968899,0.2998875707006685
