Algorithms,Acc,Acc_SD,DI,DI_SD,BER,BER_SD,BCR,BCR_SD,CV,CV_SD,Run Time
SVM,0.9285285285285287,0.009088736306559486,NA,NA,0.134984984984985,0.009671581330443192,0.865015015015015,0.0096715813304432,0.0,0.0,0:00:00.044060
NB,0.9279279279279281,0.008493775149387952,3.0120481927710845,0.0,0.134984984984985,0.009671581330443192,0.865015015015015,0.0096715813304432,0.0008048192771084338,0.0024144578313253016,0:00:00.001553
LR,0.9285285285285287,0.009088736306559486,NA,NA,0.134984984984985,0.009671581330443192,0.865015015015015,0.0096715813304432,0.0,0.0,0:00:00.002648
Calders,0.93003003003003,0.012312312312312317,NA,NA,0.13573573573573575,0.010428681894405609,0.8642642642642644,0.010428681894405606,0.0,0.0,0:00:00.012632
Feldman SVM,0.9251497005988025,0.013456410212122315,NA,NA,0.1372754491017964,0.014729352223267125,0.8627245508982035,0.014729352223267113,-0.0021389789888250055,0.0034522956915998223,0:02:46.055782
Feldman WDT,0.9332335329341317,0.006833959407493002,1.707623106060606,1.08783143939,0.1377245508982036,0.009491537415657099,0.8622754491017964,0.0094915374156571,-0.004432184910794043,0.006742822196855362,0:02:47.446085
Kamishima eta=1,0.9318318318318319,0.011634456833519817,NA,NA,0.13753753753753756,0.009964360374196428,0.8624624624624625,0.00996436037419643,0.0,0.0,0:00:00.478415
Kamishima eta=30,0.927927927927928,0.007945199132326112,NA,NA,0.1421921921921922,0.011014309270326308,0.8578078078078077,0.011014309270326303,0.0,0.0,0:00:00.469760
Kamishima eta=100,0.9312312312312313,0.01009026883868556,NA,NA,0.14024024024024023,0.00751351111303111,0.8597597597597598,0.007513511113031112,0.0,0.0,0:00:00.374510
Kamishima eta=500,0.9363363363363364,0.006551779047829269,NA,NA,0.1391891891891892,0.010447041313392766,0.8608108108108107,0.010447041313392767,0.0,0.0,0:00:00.330311
Kamishima eta=1000,0.9375375375375373,0.0114587291461495,NA,NA,0.13483483483483485,0.010947583263398309,0.8651651651651651,0.010947583263398312,0.0,0.0,0:00:00.328120
Zafar Unconstrained,0.06906906906906907,0.005697797585888975,1.0,0.0,0.35855855855855856,0.010549049892042216,0.6414414414414414,0.010549049892042233,0.0,0.0,0:00:00.009221
Zafar w Accuracy Constraint,0.06816816816816816,0.009309309309309307,1.0,0.0,0.36696696696696696,0.005504595429376378,0.633033033033033,0.00550459542937639,0.0,0.0,0:00:00.202461
Zafar w Fairness Constraint,0.07147147147147147,0.007331264634074299,1.0,0.0,0.3659159159159159,0.009060165069997352,0.6340840840840842,0.009060165069997335,0.0,0.0,0:00:00.196183
Zafar No Pos Misclassification,0.07507507507507508,0.008169051356597866,1.0,0.0,0.36276276276276276,0.01413645921434212,0.6372372372372374,0.014136459214342135,0.0,0.0,0:00:07.398375
