Algorithms,Acc,Acc_SD,DI,DI_SD,BER,BER_SD,BCR,BCR_SD,CV,CV_SD,Run Time
SVM,0.6389830508474577,0.07805816230284376,1.2734993854776464,0.953601068482,0.24237288135593218,0.0383140832388,0.757627118644068,0.0383140832388,-0.027962561407316382,0.114908664118,0:00:00.000813
NB,0.9237288135593221,0.03238131046532677,0.37928141080604844,0.0972357288077,0.3593220338983051,0.0201260035374,0.640677966101695,0.0201260035374,-0.4401644588134978,0.080300981783,0:00:00.000744
LR,0.7016949152542373,0.05631609398588526,0.5520706596046456,0.193836743342,0.3161016949152543,0.0273428233981,0.6838983050847457,0.0273428233981,-0.2757588178392774,0.117195971216,0:00:00.000498
Calders,0.8033898305084743,0.02536716872389113,1.1500554759997483,0.0903959229701,0.2330508474576271,0.0102047411685,0.766949152542373,0.0102047411685,0.06721644947332803,0.0383806589565,0:00:00.011043
Feldman SVM,0.5661016949152543,0.07078173904346136,1.0165384447106416,0.210471801565,0.2483050847457627,0.0207756791053,0.7516949152542374,0.0207756791053,0.012164859643455738,0.0890061078665,0:00:05.438432
Feldman WDT,0.5220338983050848,0.09671418723855665,0.8961330085907484,0.240554709732,0.26864406779661015,0.0373362555456,0.7313559322033898,0.0373362555456,-0.06096892719986393,0.148401763058,0:00:05.403768
Kamishima eta=1,0.7305084745762712,0.0599003289731264,0.42024441841053684,0.260882984274,0.34491525423728814,0.0509955470621,0.6550847457627118,0.0509955470621,-0.3952080898322958,0.210775416635,0:00:00.066650
Kamishima eta=30,0.735593220338983,0.10343150035520242,0.6434755795319919,0.176693070138,0.3067796610169492,0.0172848119105,0.6932203389830508,0.0172848119105,-0.20564713829518277,0.0984594171067,0:00:00.049518
Kamishima eta=100,0.759322033898305,0.03619348560010614,0.630060680497826,0.177004484302,0.30847457627118646,0.0257604816162,0.6915254237288136,0.0257604816162,-0.2275106146215986,0.104951011295,0:00:00.057626
Kamishima eta=500,0.7898305084745763,0.05370501531442326,0.5941684301911817,0.142820329823,0.3220338983050848,0.0273296872824,0.6779661016949152,0.0273296872824,-0.2778021988365607,0.112122024947,0:00:00.055095
Kamishima eta=1000,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zafar Unconstrained,0.4728813559322034,0.038239031093825336,1.0,0.0,0.2813559322033899,0.0283106662517,0.7186440677966102,0.0283106662517,0.0,0.0,0:00:00.000537
Zafar w Accuracy Constraint,0.5084745762711864,0.06157932923588118,0.9667779072379347,0.064067586566,0.2864406779661017,0.0253671687239,0.7135593220338983,0.0253671687239,-0.03266701245051408,0.0522149208081,0:00:00.031046
Zafar w Fairness Constraint,0.4898305084745763,0.055416212624650234,0.9831609227268621,0.0714182949006,0.2872881355932203,0.0246928852277,0.7127118644067797,0.0246928852277,-0.012830094175445218,0.0598030235328,0:00:00.012832
Zafar No Pos Misclassification,0.48305084745762716,0.03494157309845474,0.9862733860342555,0.0211160879963,0.2872881355932204,0.0212541291593,0.7127118644067797,0.0212541291593,-0.013573316283034941,0.020840563045,0:00:01.354492
