algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,B-accuracy,H-accuracy,W-accuracy,Race-accuracy,B-accuracy_over_W-accuracy,H-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoB-accuracy,diff:W-accuracytoH-accuracy,Race-accuracyDiff,B-TPR,H-TPR,W-TPR,Race-TPR,B-TPR_over_W-TPR,H-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoB-TPR,diff:W-TPRtoH-TPR,Race-TPRDiff,B-TNR,H-TNR,W-TNR,Race-TNR,B-TNR_over_W-TNR,H-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoB-TNR,diff:W-TNRtoH-TNR,Race-TNRDiff,B-FPR,H-FPR,W-FPR,Race-FPR,B-FPR_over_W-FPR,H-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoB-FPR,diff:W-FPRtoH-FPR,Race-FPRDiff,B-FNR,H-FNR,W-FNR,Race-FNR,B-FNR_over_W-FNR,H-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoB-FNR,diff:W-FNRtoH-FNR,Race-FNRDiff,B-calibration+,H-calibration+,W-calibration+,Race-calibration+,B-calibration+_over_W-calibration+,H-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toB-calibration+,diff:W-calibration+toH-calibration+,Race-calibration+Diff,B-calibration-,H-calibration-,W-calibration-,Race-calibration-,B-calibration-_over_W-calibration-,H-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toB-calibration-,diff:W-calibration-toH-calibration-,Race-calibration-Diff
Feldman-SVM,lambda=1.0,0,0.775,1.0,0.55,0.775,0.6158817620514397,1.0185185185185184,0.9722222222222223,1.0133333333333332,0.7,0.4,0.88,0.66,0.7954545454545454,0.4545454545454546,0.625,0.82,0.52,0.6699999999999999,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.5,1.0,0.0,0.5,0.4,1.0,0.7,0.6999999999999998,0.5714285714285715,1.4285714285714286,1.0,0.7000000000000001,1.3,1.0,0.6,0.0,0.30000000000000004,0.3,1.9999999999999996,0.0,0.9999999999999998,1.2999999999999998,0.7,0.9999999999999999,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.5,1.0,2.0,1.5,0.625,0.0,0.8333333333333334,0.48611111111111116,0.75,0.0,0.375,0.7916666666666666,0.16666666666666663,0.47916666666666663,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,1,0.5,0.3333333333333333,0.6842105263157895,0.5087719298245614,0.01870501384281765,1.768421052631579,1.8136363636363637,1.1829573934837092,0.5,0.6363636363636364,0.42857142857142855,0.5216450216450216,1.1666666666666667,1.4848484848484849,1.3257575757575757,1.0714285714285714,1.2077922077922079,1.1396103896103895,0.5,0.5,0.29411764705882354,0.43137254901960786,1.7,1.7,1.7,1.2058823529411764,1.2058823529411764,1.2058823529411764,0.5,0.6666666666666666,1.0,0.7222222222222222,0.5,0.6666666666666666,0.5833333333333333,0.5,0.6666666666666666,0.5833333333333333,0.5,0.33333333333333337,0.0,0.2777777777777778,0.0,0.0,1.0,1.5,1.3333333333333335,1.4166666666666667,0.5,0.5,0.7058823529411764,0.5686274509803921,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7941176470588236,0.7941176470588236,0.7941176470588236,0.25,0.25,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.14285714285714285,0.75,0.38095238095238093,0.3333333333333333,0.19047619047619047,0.26190476190476186,0.5,0.3928571428571428,0.4464285714285714
Feldman-SVM,lambda=1.0,2,0.7,1.0,0.4,0.7,0.5,1.1666666666666667,1.1393939393939394,1.125,0.5454545454545454,0.2,0.875,0.5401515151515152,0.6233766233766234,0.2285714285714286,0.425974025974026,0.6704545454545454,0.32499999999999996,0.4977272727272727,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.5,1.0,0.0,0.5,0.16666666666666666,1.0,0.6666666666666666,0.6111111111111112,0.25,1.5,0.875,0.5,1.3333333333333335,0.9166666666666667,0.8333333333333334,0.0,0.33333333333333337,0.3888888888888889,2.5,0.0,1.25,1.5,0.6666666666666666,1.0833333333333333,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.5,1.0,2.0,1.5,0.5,0.0,0.8333333333333334,0.4444444444444445,0.6,0.0,0.3,0.6666666666666666,0.16666666666666663,0.41666666666666663,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,3,0.6,1.0,0.38461538461538464,0.6923076923076923,0.4236592728681617,0.8452012383900929,0.8352272727272727,0.87468671679198,0.5454545454545454,0.5,0.6666666666666666,0.5707070707070706,0.8181818181818181,0.75,0.7840909090909091,0.8787878787878788,0.8333333333333334,0.8560606060606061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.42857142857142855,0.36363636363636365,0.38906926406926406,1.03125,1.1785714285714284,1.1049107142857142,1.0113636363636362,1.0649350649350648,1.0381493506493507,0.625,0.5714285714285714,0.6363636363636364,0.610930735930736,0.9821428571428572,0.8979591836734694,0.9400510204081634,0.9886363636363636,0.935064935064935,0.9618506493506493,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.2,0.5882352941176471,0.38774509803921564,0.6375,0.34,0.48875,0.7867647058823529,0.611764705882353,0.6992647058823529,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feldman-SVM,lambda=1.0,4,0.7,0.9285714285714286,0.5769230769230769,0.7527472527472527,0.49215456638754973,0.8333333333333333,0.8370535714285714,0.8933333333333333,0.7142857142857143,0.625,0.72,0.6864285714285714,0.9920634920634921,0.8680555555555556,0.9300595238095238,0.9942857142857143,0.905,0.9496428571428572,1.0,1.0,0.9090909090909091,0.9696969696969697,1.1,1.1,1.1,1.0909090909090908,1.0909090909090908,1.0909090909090908,0.6,0.5714285714285714,0.5714285714285714,0.5809523809523809,1.05,1.0,1.025,1.0285714285714285,1.0,1.0142857142857142,0.4,0.4285714285714286,0.4285714285714286,0.41904761904761906,0.9333333333333333,1.0,0.9666666666666667,0.9714285714285714,1.0,0.9857142857142858,0.0,0.0,0.09090909090909094,0.030303030303030314,0.0,0.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.5,0.25,0.625,0.4583333333333333,0.8,0.4,0.6000000000000001,0.875,0.625,0.75,0.0,0.0,0.1111111111111111,0.037037037037037035,0.0,0.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
Feldman-SVM,lambda=1.0,5,0.675,0.5263157894736842,0.8095238095238095,0.6679197994987469,0.3516152143630945,1.25,1.2555803571428572,1.08,0.625,0.7142857142857143,0.68,0.6730952380952382,0.9191176470588235,1.050420168067227,0.9847689075630253,0.945,1.0342857142857143,0.989642857142857,0.5,1.0,0.5,0.6666666666666666,1.0,2.0,1.5,1.0,1.5,1.25,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.0,0.22222222222222224,0.0,0.0,1.0,1.3333333333333335,1.3333333333333335,1.3333333333333335,0.5,0.0,0.5,0.3333333333333333,1.0,0.0,0.5,1.0,0.5,0.75,0.3333333333333333,0.3333333333333333,1.0,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.2,0.0,0.47058823529411764,0.2235294117647059,0.42500000000000004,0.0,0.21250000000000002,0.7294117647058824,0.5294117647058824,0.6294117647058823
Feldman-SVM,lambda=1.0,6,0.7,0.2,1.0,0.6,0.36760731104690386,0.5,0.41666666666666663,0.95,0.75,1.0,0.55,0.7666666666666666,1.3636363636363635,1.8181818181818181,1.5909090909090908,1.2,1.45,1.325,0.25,0.0,0.18181818181818182,0.14393939393939395,1.375,0.0,0.6875,1.0681818181818181,0.8181818181818181,0.9431818181818181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8181818181818181,0.8560606060606061,0.9166666666666667,1.2222222222222223,1.0694444444444446,0.9318181818181819,1.1818181818181819,1.0568181818181819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,0.0,0.5,0.25757575757575757,0.5454545454545454,0.0,0.2727272727272727,0.7727272727272727,0.5,0.6363636363636364
Feldman-SVM,lambda=1.0,7,0.525,0.9333333333333333,0.28,0.6066666666666667,0.25819888974716115,0.8362573099415205,0.8345864661654135,0.8585858585858586,0.45454545454545453,0.5714285714285714,0.5454545454545454,0.5238095238095238,0.8333333333333334,1.0476190476190477,0.9404761904761905,0.9090909090909092,1.025974025974026,0.9675324675324676,0.75,1.0,1.0,0.9166666666666666,0.75,1.0,0.875,0.75,1.0,0.875,0.2857142857142857,0.4,0.23076923076923078,0.3054945054945055,1.238095238095238,1.7333333333333334,1.4857142857142858,1.054945054945055,1.1692307692307693,1.1120879120879121,0.7142857142857143,0.6,0.7692307692307692,0.6945054945054944,0.9285714285714287,0.78,0.8542857142857143,0.9450549450549451,0.8307692307692308,0.887912087912088,0.25,0.0,0.0,0.08333333333333333,0.0,1.0,0.5,1.25,1.0,1.125,0.375,0.4,0.47368421052631576,0.4162280701754386,0.7916666666666667,0.8444444444444446,0.8180555555555556,0.9013157894736843,0.9263157894736842,0.9138157894736842,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,1.0,0.5,1.3333333333333333,1.0,1.1666666666666665
Feldman-SVM,lambda=1.0,8,0.5,0.09523809523809523,0.9473684210526315,0.5213032581453634,0.08077946716088191,1.8095238095238095,1.9182692307692308,1.0426065162907268,0.6923076923076923,0.375,0.42105263157894735,0.49612010796221323,1.6442307692307694,0.890625,1.2674278846153846,1.271255060728745,0.9539473684210527,1.112601214574899,0.2,0.0,0.08333333333333333,0.09444444444444444,2.4000000000000004,0.0,1.2000000000000002,1.1166666666666667,0.9166666666666666,1.0166666666666666,1.0,0.75,1.0,0.9166666666666666,1.0,0.75,0.875,1.0,0.75,0.875,0.0,0.25,0.0,0.08333333333333333,1.0,0.0,0.5,1.0,1.25,1.125,0.8,1.0,0.9166666666666666,0.9055555555555556,0.8727272727272728,1.090909090909091,0.9818181818181819,0.8833333333333334,1.0833333333333335,0.9833333333333334,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.5,1.0,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6111111111111112,0.5052910052910052,0.5454545454545454,0.9350649350649349,0.7402597402597402,0.7222222222222221,0.9603174603174602,0.8412698412698412
Feldman-SVM,lambda=1.0,9,0.625,0.5294117647058824,0.6956521739130435,0.6125319693094629,0.22710603822921688,1.163265306122449,1.1597402597402597,1.0601503759398496,0.5,0.6363636363636364,0.6842105263157895,0.6068580542264752,0.7307692307692307,0.93006993006993,0.8304195804195804,0.8157894736842105,0.9521531100478469,0.8839712918660287,0.0,0.6666666666666666,0.5384615384615384,0.40170940170940167,0.0,1.2380952380952381,0.6190476190476191,0.46153846153846156,1.1282051282051282,0.7948717948717949,0.5555555555555556,0.625,1.0,0.7268518518518517,0.5555555555555556,0.625,0.5902777777777778,0.5555555555555556,0.625,0.5902777777777778,0.4444444444444444,0.375,0.0,0.27314814814814814,0.0,0.0,1.0,1.4444444444444444,1.375,1.4097222222222223,1.0,0.33333333333333337,0.46153846153846156,0.5982905982905984,2.1666666666666665,0.7222222222222222,1.4444444444444444,1.5384615384615383,0.8717948717948718,1.205128205128205,0.0,0.4,1.0,0.4666666666666666,0.0,0.4,0.2,0.0,0.4,0.2,0.16666666666666666,0.16666666666666666,0.5,0.27777777777777773,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
