algorithm,params,accuracy,MCC,DisparateImpact
SVM,{},0.846153846154,0.691751160994,0.6698564593301435
SVM,{},0.74358974359,0.54554472559,0.6
SVM,{},0.794871794872,0.643065964413,0.9142857142857143
SVM,{},0.769230769231,0.585598130178,0.7189542483660131
SVM,{},0.820512820513,0.660832239014,0.9705882352941176
SVM,{},0.794871794872,0.616654812594,0.8088235294117647
SVM,{},0.820512820513,0.667620306541,1.235
SVM,{},0.74358974359,0.516477268109,0.4464285714285714
SVM,{},0.769230769231,0.602475233129,0.1597222222222222
SVM,{},0.820512820513,0.694949311428,0.6039215686274509
GaussianNB,{},0.769230769231,0.624151598084,0.4953560371517028
GaussianNB,{},0.923076923077,0.845756645578,0.5882352941176471
GaussianNB,{},0.923076923077,0.847368421053,0.5333333333333333
GaussianNB,{},0.923076923077,0.85391256383,0.43137254901960786
GaussianNB,{},0.923076923077,0.847368421053,0.5546218487394958
GaussianNB,{},0.923076923077,0.856791053344,0.6039215686274509
GaussianNB,{},0.923076923077,0.845756645578,1.06875
GaussianNB,{},0.897435897436,0.813841300462,0.3968253968253968
GaussianNB,{},0.846153846154,0.694982216645,0.30803571428571425
GaussianNB,{},0.948717948718,0.899346167731,0.7058823529411765
LR,{},0.717948717949,0.515482346632,0.5921052631578947
LR,{},0.769230769231,0.538260448832,0.5
LR,{},0.871794871795,0.770551750371,0.6588235294117647
LR,{},0.666666666667,0.327132287441,0.6039215686274509
LR,{},0.769230769231,0.546436399347,0.6039215686274509
LR,{},0.820512820513,0.649887950679,0.6039215686274509
LR,{},0.74358974359,0.484126984127,1.1875
LR,{},0.769230769231,0.585598130178,0.4464285714285714
LR,{},0.74358974359,0.486842105263,0.6634615384615385
LR,{},0.820512820513,0.694949311428,0.7394957983193278
DecisionTree,{},0.948717948718,0.900885232923,0.5263157894736842
DecisionTree,{},1.0,1.0,0.8000000000000002
DecisionTree,{},0.974358974359,0.949871380292,0.45714285714285713
DecisionTree,{},0.974358974359,0.949481517206,0.4852941176470588
DecisionTree,{},1.0,1.0,0.7549019607843137
DecisionTree,{},0.974358974359,0.949871380292,0.8235294117647058
DecisionTree,{},1.0,1.0,1.1875
DecisionTree,{},1.0,1.0,0.510204081632653
DecisionTree,{},0.974358974359,0.949871380292,0.1796875
DecisionTree,{},1.0,1.0,0.6470588235294118
Kamishima,{'eta': 1.0},0.666666666667,0.318069698252,0.0
Kamishima,{'eta': 1.0},0.641025641026,0.272179412618,0.1739130434782609
Kamishima,{'eta': 1.0},0.794871794872,0.593669612682,0.26666666666666666
Kamishima,{'eta': 1.0},0.666666666667,0.34126984127,0.0
Kamishima,{'eta': 1.0},0.641025641026,0.284961414088,0.06470588235294118
Kamishima,{'eta': 1.0},0.666666666667,0.334267617063,0.0
Kamishima,{'eta': 1.0},0.512820512821,-0.00879224935567,0.0
Kamishima,{'eta': 1.0},0.666666666667,0.353919198648,0.0
Kamishima,{'eta': 1.0},0.74358974359,0.486842105263,0.3833333333333333
Kamishima,{'eta': 1.0},0.589743589744,0.203312515198,0.0
Kamishima-accuracy,{'eta': 1.0},0.666666666667,0.318069698252,0.0
Kamishima-accuracy,{'eta': 1.0},0.641025641026,0.272179412618,0.1739130434782609
Kamishima-accuracy,{'eta': 1.0},0.794871794872,0.593669612682,0.26666666666666666
Kamishima-accuracy,{'eta': 1.0},0.666666666667,0.34126984127,0.0
Kamishima-accuracy,{'eta': 1.0},0.641025641026,0.284961414088,0.06470588235294118
Kamishima-accuracy,{'eta': 1.0},0.666666666667,0.334267617063,0.0
Kamishima-accuracy,{'eta': 1.0},0.512820512821,-0.00879224935567,0.0
Kamishima-accuracy,{'eta': 1.0},0.666666666667,0.353919198648,0.0
Kamishima-accuracy,{'eta': 1.0},0.74358974359,0.486842105263,0.3833333333333333
Kamishima-accuracy,{'eta': 1.0},0.589743589744,0.203312515198,0.0
Kamishima-DisparateImpact,{'eta': 1.0},0.666666666667,0.318069698252,0.0
Kamishima-DisparateImpact,{'eta': 1.0},0.641025641026,0.272179412618,0.1739130434782609
Kamishima-DisparateImpact,{'eta': 1.0},0.794871794872,0.593669612682,0.26666666666666666
Kamishima-DisparateImpact,{'eta': 1.0},0.666666666667,0.34126984127,0.0
Kamishima-DisparateImpact,{'eta': 1.0},0.641025641026,0.284961414088,0.06470588235294118
Kamishima-DisparateImpact,{'eta': 1.0},0.666666666667,0.334267617063,0.0
Kamishima-DisparateImpact,{'eta': 1.0},0.512820512821,-0.00879224935567,0.0
Kamishima-DisparateImpact,{'eta': 1.0},0.666666666667,0.353919198648,0.0
Kamishima-DisparateImpact,{'eta': 1.0},0.74358974359,0.486842105263,0.3833333333333333
Kamishima-DisparateImpact,{'eta': 1.0},0.589743589744,0.203312515198,0.0
Feldman-SVM,{'lambda': 1.0},0.487179487179,-0.104257207029,0.7518796992481203
Feldman-SVM,{'lambda': 1.0},0.589743589744,0.355035801248,3.0
Feldman-SVM,{'lambda': 1.0},0.589743589744,0.240001289986,2.4000000000000004
Feldman-SVM,{'lambda': 1.0},0.641025641026,0.351689974227,1.0784313725490198
Feldman-SVM,{'lambda': 1.0},0.538461538462,0.0788337214591,0.9705882352941176
Feldman-SVM,{'lambda': 1.0},0.615384615385,0.2952980815,1.2941176470588238
Feldman-SVM,{'lambda': 1.0},0.589743589744,0.163098084666,2.216666666666667
Feldman-SVM,{'lambda': 1.0},0.74358974359,0.486623798317,1.3392857142857142
Feldman-SVM,{'lambda': 1.0},0.589743589744,0.240001289986,0.9583333333333334
Feldman-SVM,{'lambda': 1.0},0.615384615385,0.433012701892,0.9896193771626297
Feldman-GaussianNB,{'lambda': 1.0},0.820512820513,0.695652173913,0.9649122807017545
Feldman-GaussianNB,{'lambda': 1.0},0.948717948718,0.896825396825,1.0
Feldman-GaussianNB,{'lambda': 1.0},0.846153846154,0.694982216645,0.8727272727272728
Feldman-GaussianNB,{'lambda': 1.0},0.717948717949,0.436435780472,1.2941176470588234
Feldman-GaussianNB,{'lambda': 1.0},0.923076923077,0.847368421053,1.0588235294117647
Feldman-GaussianNB,{'lambda': 1.0},0.923076923077,0.846968647427,1.035294117647059
Feldman-GaussianNB,{'lambda': 1.0},0.846153846154,0.731925054711,0.9500000000000001
Feldman-GaussianNB,{'lambda': 1.0},0.846153846154,0.690476190476,1.1363636363636365
Feldman-GaussianNB,{'lambda': 1.0},0.692307692308,0.440195331443,0.71875
Feldman-GaussianNB,{'lambda': 1.0},0.794871794872,0.659380473396,0.995475113122172
Feldman-LR,{'lambda': 1.0},0.564102564103,0.14478512672,0.6477732793522266
Feldman-LR,{'lambda': 1.0},0.333333333333,-0.327132287441,0.4285714285714286
Feldman-LR,{'lambda': 1.0},0.692307692308,0.387864146953,1.2
Feldman-LR,{'lambda': 1.0},0.589743589744,0.174603174603,1.423529411764706
Feldman-LR,{'lambda': 1.0},0.717948717949,0.471559562572,0.8088235294117647
Feldman-LR,{'lambda': 1.0},0.74358974359,0.500064355126,0.995475113122172
Feldman-LR,{'lambda': 1.0},0.666666666667,0.34126984127,1.5437500000000002
Feldman-LR,{'lambda': 1.0},0.769230769231,0.534582030696,0.974025974025974
Feldman-LR,{'lambda': 1.0},0.641025641026,0.283887486979,1.2578125
Feldman-LR,{'lambda': 1.0},0.666666666667,0.4472135955,0.8088235294117647
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.487179487179,-0.104257207029,0.7518796992481203
Feldman-SVM-DisparateImpact,{'lambda': 0.85},0.538461538462,0.267261241912,1.0
Feldman-SVM-DisparateImpact,{'lambda': 0.6},0.846153846154,0.694982216645,0.8727272727272728
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.641025641026,0.351689974227,1.0784313725490198
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.538461538462,0.0788337214591,0.9705882352941176
Feldman-SVM-DisparateImpact,{'lambda': 0.9},0.615384615385,0.250027221748,0.8627450980392157
Feldman-SVM-DisparateImpact,{'lambda': 0.85},0.74358974359,0.54554472559,0.95
Feldman-SVM-DisparateImpact,{'lambda': 0.75},0.820512820513,0.638306902323,0.974025974025974
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.589743589744,0.240001289986,0.9583333333333334
Feldman-SVM-DisparateImpact,{'lambda': 1.0},0.615384615385,0.433012701892,0.9896193771626297
Feldman-SVM-accuracy,{'lambda': 0.6},0.564102564103,0.0906648150919,1.2030075187969924
Feldman-SVM-accuracy,{'lambda': 0.65},0.666666666667,0.425867221072,0.8571428571428572
Feldman-SVM-accuracy,{'lambda': 0.7},0.717948717949,0.521197524057,1.6
Feldman-SVM-accuracy,{'lambda': 0.85},0.666666666667,0.394330783236,0.9243697478991597
Feldman-SVM-accuracy,{'lambda': 0.65},0.615384615385,0.267113731079,2.1568627450980395
Feldman-SVM-accuracy,{'lambda': 0.75},0.717948717949,0.461690258438,1.811764705882353
Feldman-SVM-accuracy,{'lambda': 0.8},0.820512820513,0.650793650794,1.2666666666666666
Feldman-SVM-accuracy,{'lambda': 0.8},0.769230769231,0.54554472559,1.5306122448979589
Feldman-SVM-accuracy,{'lambda': 0.75},0.717948717949,0.521197524057,0.4791666666666667
Feldman-SVM-accuracy,{'lambda': 0.7},0.717948717949,0.559016994375,1.1092436974789917
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.820512820513,0.695652173913,0.9649122807017545
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.948717948718,0.896825396825,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.846153846154,0.694982216645,0.8727272727272728
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.9},0.794871794872,0.608640991517,0.8897058823529412
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.95},0.923076923077,0.847368421053,1.0588235294117647
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.923076923077,0.846968647427,1.035294117647059
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.846153846154,0.731925054711,0.9500000000000001
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.9},0.846153846154,0.690476190476,1.1363636363636365
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.95},0.692307692308,0.440195331443,0.71875
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.794871794872,0.659380473396,0.995475113122172
Feldman-GaussianNB-accuracy,{'lambda': 1.0},0.820512820513,0.695652173913,0.9649122807017545
Feldman-GaussianNB-accuracy,{'lambda': 0.95},0.948717948718,0.896825396825,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.9},0.871794871795,0.744065914562,0.8
Feldman-GaussianNB-accuracy,{'lambda': 0.8},0.794871794872,0.608640991517,0.8897058823529412
Feldman-GaussianNB-accuracy,{'lambda': 0.95},0.923076923077,0.847368421053,1.0588235294117647
Feldman-GaussianNB-accuracy,{'lambda': 0.95},0.923076923077,0.846968647427,1.035294117647059
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.871794871795,0.772187342505,0.8708333333333335
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.871794871795,0.744065914562,1.0416666666666667
Feldman-GaussianNB-accuracy,{'lambda': 0.75},0.74358974359,0.529067907085,0.5390625
Feldman-GaussianNB-accuracy,{'lambda': 0.8},0.769230769231,0.625,0.9243697478991597
